keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Lancio,Ha il 10% di possibilità di respingere +
5002,Lanciare,Ha il 20% di possibilità di respingere +
5003,Lancio,Ha una probabilità del 30% di respingere +
6001,Affilato,Attacco corpo a corpo+
6002,Affilato,Attacco corpo a corpo+
6003,Affilato,Attacco corpo a corpo+
7001,Cacciatore umano,Cacciatore umano+
7002,Cacciatore umano,Cacciatore umano+
7003,Cacciatore umano,Cacciatore umano+
8001,Cacciatore di Bestie,Cacciatore di Bestie +
8002,Cacciatore di bestie,Beast Hunter +
8003,Beast Hunter,Beast Hunter +
9001,Elite Cacciatore,Elite Cacciatore +
9002,Elite Hunter,Elite Hunter +
9003,Elite Hunter,Elite Hunter +
10001,Cocente,Livello di masterizzazione
10002,Cocente,Livello di masterizzazione
10003,Cocente,Livello di masterizzazione
11001,Aumento della distanza di respinta,Aumento della distanza di respinta
11002,Aumentata la distanza spinta indietro,Aumentata la distanza spinta indietro
11003,Aumentata la distanza di respinta,Aumentata la distanza di respinta
12001,Caccia fortunata,Livello di caccia fortunato
12002,Caccia fortunata,Livello di caccia fortunato
12003,Caccia fortunata,Livello di caccia fortunato
13001,Riprese potenti,Danni ad arco e frecce+
13002,Riprese potenti,Danni ad arco e frecce+
13003,Riprese potenti,Danni ad arco e frecce+
14001,Tiro illimitato,Tiro illimitato
14002,Tiro illimitato,Tiro illimitato
14003,Tiro illimitato,Tiro illimitato
15001,Durabilità,Durabilità+
15002,Durabilità,Durabilità+
15003,Durabilità,Durabilità+
16001,Resistenza corpo a corpo,Resistenza corpo a corpo+
16002,Resistenza corpo a corpo,Resistenza corpo a corpo+
16003,Resistenza corpo a corpo,Resistenza corpo a corpo+
17001,Resistenza a distanza,Resistenza a distanza+
17002,Resistenza a distanza,Resistenza a distanza+
17003,Resistenza a distanza,Resistenza a distanza+
18001,Resistenza all'esplosione,Resistenza all'esplosione+
18002,Resistenza all'esplosione,Resistenza all'esplosione+
18003,Resistenza all'esplosione,Resistenza all'esplosione+
19001,Resistenza alla combustione,Resistenza alla combustione+
19002,Resistenza alla combustione,Resistenza alla combustione+
19003,Resistenza alla combustione,Resistenza alla combustione+
20001,Resistenza al veleno,Resistenza al veleno+
20002,Resistenza al veleno,Resistenza al veleno+
20003,Resistenza al veleno,Resistenza al veleno+
21001,Resistenza al caos,Resistenza al caos+
21002,Resistenza al caos,Resistenza al caos+
21003,Resistenza al caos,Resistenza al caos+
22001,Contrattacco,Ha il 15% di probabilità di contrattaccare le unità melee +
22002,Contrattacco,Ha il 30% di possibilità di contrattaccare le unità melee +
22003,Contrattacco,Ha il 45% di possibilità di contrattaccare le unità melee +
23001,Distanza di respinta ridotta,Distanza di respinta ridotta
23002,Distanza di respinta ridotta,Distanza di respinta ridotta
23003,Distanza di spinta ridotta,Distanza di spinta ridotta
24001,Acquisizione completa,Acquisizione completa
24002,Acquisizione completa,Acquisizione completa
24003,Acquisizione completa,Acquisizione completa
25001,Velocità di scavo,Velocità di scavo +
25002,Velocità di Scavo,Velocità di Scavo +
25003,Velocità di scavo,Velocità di scavo +
26001,Scavo fortunato,Livello di scavo fortunato
26002,Scavo fortunato,Livello di scavo fortunato
26003,Scavo fortunato,Livello di scavo fortunato
27001,Colpo di esplosione,Blast Shot+
27002,Colpo di esplosione,Blast Shot+
27003,Colpo di esplosione,Blast Shot+
28001,La caduta del drago,Danno caduta-
28002,La caduta del drago,Danno caduta-
28003,La caduta del drago,Danno caduta-
29001,Spear Goblin,Spear Goblin+
29002,Spear Goblin,Spear Goblin+
29003,Spear Goblin,Spear Goblin+
30001,Discesa (Ciccioli),"accovacciati nell'aria, velocità di caduta +"
30002,Discesa (Ciccioli),"accovacciati nell'aria, velocità di caduta +"
30003,Discesa (Ciccioli),"accovacciati nell'aria, velocità di caduta +"
31001,Wall Climbing (Scarpe),"Abilita l'arrampicata su parete, ma la velocità"
31002,Wall Climbing (Scarpe),"Abilita l'arrampicata su parete, ma la velocità"
31003,Wall Climbing (Scarpe),"Abilita l'arrampicata su parete, ma la velocità"
32001,Sanguinare,Livello di spurgo
32002,Sanguinare,Livello di spurgo
32003,Sanguinare,Livello di spurgo
33001,Frusta Lightning,Frusta Lightning Lvl 1
33002,Frusta Lightning,Frusta Lightning Lvl 2
33003,Frusta Lightning,Frusta Fulmine Lvl 3
34003,Frusta Lightning,Frusta Fulmine Lvl 4
35003,Frusta Lightning,Frusta Fulmine Lvl 5
36001,Pesca fortunata,Livello di pesca fortunato
36002,Pesca fortunata,Livello di pesca fortunato
36003,Pesca fortunata,Livello di pesca fortunato
37001,Resistente al freddo,Resistente al freddo+
37002,Resistente al freddo,Resistente al freddo+
37003,Resistente al freddo,Resistente al freddo+
38001,Resistenza al gelo,Resistenza al gelo+
38002,Resistenza al gelo,Resistenza al gelo+
38003,Resistenza al gelo,Resistenza al gelo+
39003,Benedizione degli strumenti,Benedizione degli strumenti
40003,Benedizione delle armi,Benedizione delle armi
41003,Benedizione dell'attrezzatura,Benedizione dell'attrezzatura
42001,Danni da ghiaccio,Livello di danno da ghiaccio
