ID,内容
ID,Content
1000000,Non dormire! Svegliati!
1000001,"Finalmente ti sei svegliato, puff! Mi ha spaventato a morte!"
1000002,"Stava andando bene, ma una grande quantità di Void Power si è improvvisamente condensata nella catena stellare prima di arrivare a Myra Star!"
1000003,"In un istante, tutti erano dispersi. Al momento, sembra che solo noi abbiamo raggiunto a malapena Myra. Non so cosa sia successo agli altri..."
1000004,"Come stai, è meglio controllare prima lo stato."
1000011,"Guarda questo, questo pezzo mostra punti di salute e valori di resistenza."
1000012,"Quello rosso indica il tuo attuale livello di salute. Se è troppo basso, sarà molto pericoloso. Si prega di prestare sempre attenzione!"
1000013,Quello giallo è la tua forza fisica residua.
1000014,"Se è troppo basso, sarà molto stanco e l'efficienza sarà ridotta. Una volta che incontri un pericolo, potresti essere sopraffatto, quindi per favore presta sempre attenzione!"
1000021,"Nella parte inferiore c'è un'area chiamata ""barra di scelta rapida"". Se fai clic su queste griglie, puoi passare rapidamente da un elemento all'altro."
1000022,"Il tuo stato attuale non è molto buono, mangiamo qualcosa per recuperare!"
1000023,Fare clic sulla griglia e tenerlo in mano.
1000031,"Il pezzo inferiore è un'area chiamata ""barra di scelta rapida"". Puoi cambiare rapidamente gli oggetti nella tua mano premendo i corrispondenti ""tasti numerici""."
1000032,"Il tuo stato attuale non è molto buono, mangiamo qualcosa per recuperare!"
1000033,"Trova il corrispondente ""tasto numerico"" per passare a questa griglia e tienilo in mano."
1000041,"Guarda! Hai il cibo! Ora premi e tieni premuto il ""pulsante usa"" per mangiare."
1000051,"Guarda! Ho il cibo, buhehe. Ora premi a lungo il ""pulsante destro del mouse"" per mangiare."
1000061,"Ora va molto meglio, controlliamo le nostre condizioni fisiche."
1000062,Seguimi e fai due passi avanti. Fai clic sul joystick per andare avanti e sarai in grado di andare avanti.
1000063,"Nessun problema andando avanti, ora torniamo un po 'indietro. Fai clic sul joystick per spingere indietro per tornare indietro."
1000064,"Bene, ora andiamo a sinistra. Prova a spingere il bilanciere a sinistra."
1000065,"Esatto, finalmente a destra. Spingi il bilanciere a destra."
