ID,类型/英文名,显示名,Icon,"过期时间(0/不配置为永久)",说明
ID,label,name,icon,expire_time,desc
100010,,迷你水枪 ,icon100010,,可在迷你宝库兑换奖励。
100036,,迷你榴莲 ,icon100036,,可在迷你宝库兑换奖励。
100021,,迷你山竹 ,icon100021,,可在迷你宝库兑换奖励。
100022,,迷你小象 ,icon100022,,可在迷你宝库兑换奖励。
100037,,迷你牛牛 ,icon100037,,可在迷你宝库兑换奖励。
100023,,迷你斗笠 ,icon100023,,可在迷你宝库兑换奖励。
100012,,迷你荷花 ,icon100012,,可在迷你宝库兑换奖励。
100032,,迷你足球 ,icon100032,,可在迷你宝库兑换奖励。
100034,,迷你椰串 ,icon100034,,可在迷你宝库兑换奖励。
100033,,迷你人字拖 ,icon100033,,可在迷你宝库兑换奖励。
100024,,迷你巧克力球 ,icon100024,,可在迷你宝库兑换奖励。
100035,,迷你夹饼 ,icon100035,,可在迷你宝库兑换奖励。
100025,,迷你龙舌兰 ,icon100025,,可在迷你宝库兑换奖励。
100016,,Mini Guayaba ,icon100016,,可在迷你宝库兑换奖励。
100009,,迷你樱花 ,icon100009,,可在迷你宝库兑换奖励。
100029,,迷你猫咪 ,icon100029,,可在迷你宝库兑换奖励。
100030,,迷你寿司 ,icon100030,,可在迷你宝库兑换奖励。
100031,,迷你舞狮 ,icon100031,,可在迷你宝库兑换奖励。
100014,,迷你大红花 ,icon100014,,可在迷你宝库兑换奖励。
100018,,迷你马来粽 ,icon100018,,可在迷你宝库兑换奖励。
100028,,迷你马来貘 ,icon100028,,可在迷你宝库兑换奖励。
100019,,迷你地标 ,icon100019,,可在迷你宝库兑换奖励。
100015,,Mini Wayang ,icon100015,,可在迷你宝库兑换奖励。
100013,,迷你奶茶 ,icon100013,,可在迷你宝库兑换奖励。
100027,,迷你袋子 ,icon100027,,可在迷你宝库兑换奖励。
100020,,迷你蓝白拖鞋 ,icon100020,,可在迷你宝库兑换奖励。
100011,,迷你斋月灯,icon100011,,可在迷你宝库兑换奖励。,斋月活动
100008,,迷你幸运蛋  ,icon100008,,可在迷你宝库兑换奖励。
100026,,迷你烟花 ,icon100026,,可在迷你宝库兑换奖励。
10017,,迷你圣诞袜,icon10017,,圣诞活动期间可在迷你宝库兑换奖励
10018,,迷你铃铛,icon10018,,圣诞活动期间可在迷你宝库兑换奖励
10019,,迷你金蛋,icon10019,,可在迷你宝库兑换奖励
10003,,迷你宝盒,icon10003,,可在迷你宝库兑换奖励。
100038,,迷你梅花,icon100038,,可在迷你宝库兑换奖励。
100039,,迷你圣诞铃铛,icon100039,,可在迷你宝库兑换奖励。
100040,,迷你过年粽子,icon100040,,可在迷你宝库兑换奖励。
100041,,迷你万圣节铃铛,icon100041,,可在迷你宝库兑换奖励。
100042,,迷你牡丹花,icon100042,,可在迷你宝库兑换奖励。
100043,,迷你灯笼,icon100043,,可在迷你宝库兑换奖励。
100044,,迷你小丑,icon100044,,可在迷你宝库兑换奖励。
100045,,迷你糖果,icon100045,,可在迷你宝库兑换奖励。
100046,,迷你冲浪板,icon100046,,可在迷你宝库兑换奖励。
100047,,迷你宝箱,icon100047,,可在迷你宝库兑换奖励。
100048,,迷你福袋,icon100048,,可在迷你宝库兑换奖励。
100049,,世界杯,icon100049,,可在迷你宝库兑换奖励。
100050,,铃铛,icon100050,,可在迷你宝库兑换奖励。
100051,,圣洁星月,icon100051,,可在迷你宝库兑换奖励。
100052,,迷你麦克风,icon100052,,可在迷你宝库兑换奖励。
100053,,迷你闪电,icon100053,,
100054,,星能方块,icon100054,,
100055,,碎片1-1,icon100055,,
100056,,碎片1-2,icon100056,,
100057,,碎片1-3,icon100057,,
100058,,碎片1-4,icon100058,,
100059,,碎片2-1,icon100059,,
100060,,碎片2-2,icon100060,,
100061,,碎片2-3,icon100061,,
100062,,碎片2-4,icon100062,,
100063,,碎片3-1,icon100063,,
100064,,碎片3-2,icon100064,,
100065,,碎片3-3,icon100065,,
100066,,碎片3-4,icon100066,,
100067,,碎片4-1,icon100067,,
100068,,碎片4-2,icon100068,,
100069,,碎片4-3,icon100069,,
100070,,碎片4-4,icon100070,,
