渠道ID,备注,"防沉迷(开1,关0,默认1)","实名认证(开1,关0,默认0)","强制认证(可跳过1,不可跳过2,默认1)","认证方式(本地1,腾讯云2,默认1)","认证总数(前一列为50000时才读,所有渠道的总和)"
ApiID,Name,AntiAddiction,Auth,ForceAuth,AuthType,AuthNum
1,官网移动,1,1,1,2,50000
2,4399移动,0,0,1,1,50000
3,UC,0,0,1,1,50000
4,咪咕,0,0,1,1,50000
5,沃商店,0,0,1,1,50000
6,爱游戏,0,0,1,1,50000
7,华为,0,0,1,1,50000
8,百度91,0,0,1,1,50000
9,当乐,0,0,1,1,50000
10,联想应用中心,1,1,1,1,50000
11,魅族,0,0,1,1,50000
12,小米,0,0,1,1,50000
13,oppo,0,0,1,1,50000
14,安智,0,0,1,1,50000
15,360移动,0,0,1,1,50000
17,百度多酷,0,0,1,1,50000
18,百度手机助手,0,0,1,1,50000
19,百度贴吧,0,0,1,1,50000
21,腾讯应用宝,0,0,1,1,50000
29,美图,0,0,1,1,50000
30,拇指玩,1,1,1,1,50000
31,机锋,1,1,1,1,50000
32,金立,0,0,1,1,50000
33,木蚂蚁,1,1,1,1,50000
34,豌豆荚,0,0,1,1,50000
35,酷派,0,0,1,1,50000
36,vivo,0,0,1,1,50000
37,乐视,1,1,1,1,50000
38,搜狗浏览器,1,1,1,1,50000
39,搜狗手机助手,1,1,1,1,50000
40,搜狗输入法,1,1,1,1,50000
41,搜狗搜索,1,1,1,1,50000
42,搜狗游戏,1,1,1,1,50000
45,苹果,1,1,1,1,50000
47,腾讯QQ大厅移动,0,0,1,1,50000
49,三星,1,1,1,1,50000
50,海信,1,1,1,1,50000
51,腾讯极光,1,0,1,1,50000
52,苹果分包1,0,0,1,1,50000
53,苹果分包4399,0,0,1,1,50000
60,快发助手,0,0,1,1,50000
61,天天游戏中心,0,0,1,1,50000
62,cpsGG助手,1,1,1,1,50000
63,cps捷酷,1,1,1,1,50000
64,cps聚丰,1,1,1,1,50000
65,cps酷比,1,1,1,1,50000
66,cps雷震,1,1,1,1,50000
67,cps努比亚,1,1,1,1,50000
68,cps青橙,1,1,1,1,50000
69,cps锤子,1,1,1,1,50000
70,cps友方,1,1,1,1,50000
71,cps中兴,1,1,1,1,50000
72,CPS多玩,1,1,1,1,50000
73,CPS应用汇,1,1,1,1,50000
74,CPS移动MM,0,0,1,1,50000
75,CPS青柠,1,1,1,1,50000
303,海外谷歌,0,0,1,1,50000
345,海外IOS,0,0,1,1,50000
999,内网pc,0,0,1,2,50000
110,官网PC,1,1,1,2,50000
99,国内先遣服移动,0,0,1,1,50000
199,国内先遣服PC,0,0,1,1,50000
