搴忓垪ID,鐗╁搧ID,鐗╁搧鍚嶇О,绯诲垪ID,澶х被ID,澶х被鍚嶇О
ID,ItemID,ItemName,SeriesID,TypeID,TypeName
1,862,璞＄墮鐧界幓鐠冪伅,1,1,瀹跺叿
2,863,鏈辩爞姗欑幓鐠冪伅,1,1,瀹跺叿
3,864,鑳鑴傜孩鐜荤拑鐏,1,1,瀹跺叿
4,865,澶╅潚钃濈幓鐠冪伅,1,1,瀹跺叿
5,866,楣呮瘺榛勭幓鐠冪伅,1,1,瀹跺叿
6,867,鏉捐姳缁跨幓鐠冪伅,1,1,瀹跺叿
7,868,娴锋犵孩鐜荤拑鐏,1,1,瀹跺叿
8,869,鑻嶇煶鐏扮幓鐠冪伅,1,1,瀹跺叿
9,861,鏈ㄧ汗鐏,2,1,瀹跺叿
10,870,娴呰媿鐏扮幓鐠冪伅,2,1,瀹跺叿
11,871,闈掔ⅶ缁跨幓鐠冪伅,2,1,瀹跺叿
12,872,闈掕幉绱鐜荤拑鐏,2,1,瀹跺叿
13,873,瀹濈煶钃濈幓鐠冪伅,2,1,瀹跺叿
14,874,娣辨牀绾㈢幓鐠冪伅,2,1,瀹跺叿
15,875,缈＄繝缁跨幓鐠冪伅,2,1,瀹跺叿
16,876,璧璧ょ孩鐜荤拑鐏,2,1,瀹跺叿
17,877,鐓や箤榛戠幓鐠冪伅,2,1,瀹跺叿
18,965,妞呭瓙,3,1,瀹跺叿
19,966,妗屽瓙,3,1,瀹跺叿
20,967,娌欏彂,3,1,瀹跺叿
21,968,妫曡壊澹佺倝,3,1,瀹跺叿
22,969,鏌滃瓙,3,1,瀹跺叿
23,970,璞＄墮鐧芥呭瓙,4,1,瀹跺叿
24,971,璞＄墮鐧芥屽瓙,4,1,瀹跺叿
25,972,璞＄墮鐧芥矙鍙,4,1,瀹跺叿
26,973,鐧借壊澹佺倝,4,1,瀹跺叿
27,974,璞＄墮鐧芥煖瀛,4,1,瀹跺叿
28,975,鏉炬湪妞呭瓙,5,1,瀹跺叿
29,976,鏉炬湪妗屽瓙,5,1,瀹跺叿
30,977,鏉炬湪娌欏彂,5,1,瀹跺叿
31,978,榛戣壊澹佺倝,5,1,瀹跺叿
32,979,鏉炬湪鏌滃瓙,5,1,瀹跺叿
33,854,钀芥棩姗欓棬,6,1,瀹跺叿
34,855,娣辨牀绾㈤棬,6,1,瀹跺叿
35,856,璞＄墮鐧介棬,6,1,瀹跺叿
36,857,鐐界値闂,6,1,瀹跺叿
37,858,娴锋犵孩闂,6,1,瀹跺叿
38,859,鐞ョ弨榛勯棬,6,1,瀹跺叿
39,860,绉嬪彾姗欐湪闂,6,1,瀹跺叿
40,883,绮捐嚧鏈ㄥ簥,7,1,瀹跺叿
41,884,璞鍗庢湪搴,7,1,瀹跺叿
42,885,鍏涓诲簥,7,1,瀹跺叿
43,960,鍩虹煶-娣峰嚌鍦,8,2,寤虹瓚
44,961,鍩虹煶-瑁傚湡,8,2,寤虹瓚
45,962,鐧借壊鍩虹煶,8,2,寤虹瓚
46,963,鍩虹煶-鍧氬啺,8,2,寤虹瓚
47,964,鍩虹煶-閽㈡澘,8,2,寤虹瓚
48,886,绉橀摱鏄熻兘骞曞竷,9,1,瀹跺叿
49,888,閽涢噾鏄熻兘骞曞竷,9,1,瀹跺叿
50,890,鐔斿博鏄熻兘骞曞竷,9,1,瀹跺叿
51,1159,閾伴摼鏂瑰潡,24,3,瑁呭
52,1160,鏈烘扮埅,24,3,瑁呭
53,1161,娑插帇鑷,24,3,瑁呭
54,1164,閬块渿鍣,24,3,瑁呭
55,12281,寮瑰紦,10,3,瑁呭
56,12280,澶х垎绔,10,3,瑁呭
57,12283,寮,10,3,瑁呭
58,12284,鐏绠绛,10,3,瑁呭
59,892,鏈ㄨ川瀛楃墝,11,1,瀹跺叿
60,893,鐭宠川瀛楃墝,11,1,瀹跺叿
61,894,绉橀摱瀛楃墝,11,1,瀹跺叿
62,895,鐐界値瀛楃墝,11,1,瀹跺叿
63,896,閽ㄩ噾瀛楃墝,11,1,瀹跺叿
64,897,鐔斿博瀛楃墝,11,1,瀹跺叿
65,898,鐏绗,12,1,瀹跺叿
