迷你币ID,名称,图标,迷你币数量,限购后的获得数量,购买价格,显示顺序仅海外在用,描述,推荐/折扣显示（1推荐 2折扣）,限购ID/与storeprop同字段不可重复,购买次数,是否隐藏（1隐藏）
ID,Name,IconId,Num,MiniCoinWithLimit,Cost,Order,Desc,Tag,PurchaseLimitID,BuyNum,IsHide
1,12 Xu Mini,14100,13,,5700,,Tặng thêm 1 Xu Mini,,,,
2,50 Xu Mini,14100,50,,23500,,,,,,
3,250 Xu Mini,14101,250,,118000,,,,,,
4,500 Xu Mini,14102,525,,237000,,Tặng thêm 25 Xu Mini,,,,
5,1000 Xu Mini,14103,1100,,475000,,Tặng thêm 100 Xu Mini,,,,
6,2500 Xu Mini,14105,3000,,1185000,,Tặng thêm 500 Xu Mini,,,,
7,5000 Xu Mini,14106,6500,,2375000,,Tặng thêm 1500 Xu Mini,,,,
8,100 Xu Mini,14101,200,100,47000,1,Tặng thêm 100 Xu Mini (giới hạn 1 lần),1,4,1,
9,300 Xu Mini,14102,600,300,142000,2,Tặng thêm 300 Xu Mini (giới hạn 1 lần),1,5,1,
