回收物品ID,名称,0级关联物品ID,类型（0普通物品1解锁型道具2角色3皮肤4坐骑5头像）,获得物品ID1,获得物品数量1,获得物品ID2,获得物品数量2
ID,,InvolvedID,Type,GetID1,GetNum1,GetID2,GetNum2
12950,原始护腕,1,2,10000,2,10001,1
12951,骨头发簪,7,2,10000,2,10001,1
12952,骨头项链,2,2,10000,2,10001,1
12953,羽毛头饰,8,2,10000,2,10001,1
12954,熊牌炸弹,6,2,10000,2,10001,1
12955,贝雷帽,4,2,10000,2,10001,2
12956,热辣唇印,9,2,10000,2,10001,2
12957,蝴蝶结,5,2,10000,2,10001,2
12958,护目镜,10,2,10000,2,10001,2
12959,探险家帽,3,2,10000,2,10001,2
12960,装扮卡片,,0,10000,3,10001,2
20000,楠木门,854,1,10000,8,10001,5
20001,胡桃木门,855,1,10000,8,10001,5
20002,白杨木门,856,1,10000,8,10001,5
20003,金铁门,857,1,10000,16,10001,5
20004,红杉木门,858,1,10000,16,10001,5
20005,果木门,859,1,10000,16,10001,5
20006,落叶松木门,860,1,10000,16,10001,5
20007,木纹灯,861,1,10000,16,10001,5
20008,白色玻璃灯,862,1,10000,3,10001,2
20009,橙色玻璃灯,863,1,10000,3,10001,2
20010,洋红玻璃灯,864,1,10000,3,10001,2
20011,淡蓝玻璃灯,865,1,10000,3,10001,2
20012,黄色玻璃灯,866,1,10000,3,10001,5
20013,黄绿色玻璃灯,867,1,10000,3,10001,5
20014,粉色玻璃灯,868,1,10000,3,10001,5
20015,灰色玻璃灯,869,1,10000,3,10001,5
20016,淡灰色玻璃灯,870,1,10000,16,10001,5
20017,青色玻璃灯,871,1,10000,16,10001,5
20018,紫色玻璃灯,872,1,10000,16,10001,5
20019,蓝色玻璃灯,873,1,10000,16,10001,5
20020,棕色玻璃灯,874,1,10000,16,10001,5
20021,绿色玻璃灯,875,1,10000,16,10001,5
20022,红色玻璃灯,876,1,10000,16,10001,5
20023,黑色玻璃灯,877,1,10000,16,10001,5
20024,强混凝土,960,1,10000,16,10001,5
20025,强裂土,961,1,10000,16,10001,5
20026,白色基石,962,1,10000,16,10001,5
20027,坚冰,963,1,10000,16,10001,5
20028,钢板,964,1,10000,16,10001,5
20029,琉璃酱,5,3,10000,3,10001,3
20030,墨家小飞,8,3,10000,3,10001,2
20031,化石龙,3430,4,10000,5,10001,3
20032,飞鼠,3433,4,10000,1,10001,1
20033,麒麟,3436,4,10000,5,10001,3
20034,陆行鸟碎片,3439,4,10000,1,10001,1
20035,迷梭梭碎片,27,3,10000,2,10001,1
20036,小白象碎片,3442,4,10000,2,10001,2
20037,安吉洛斯,39,3,10000,3,10001,1
20038,海豹水手,3445,4,10000,3,10001,2
20039,果木椅子,965,1,10000,3,10001,2
20040,果木桌子,966,1,10000,3,10001,2
20041,果木沙发,967,1,10000,3,10001,2
20042,棕色壁炉,968,1,10000,8,10001,2
20043,果木柜子,969,1,10000,8,10001,2
20044,白杨椅子,970,1,10000,8,10001,5
20045,白杨桌子,971,1,10000,8,10001,5
20046,白杨沙发,972,1,10000,8,10001,5
20047,白色壁炉,973,1,10000,8,10001,5
20048,白杨柜子,974,1,10000,8,10001,5
20049,松木椅子,975,1,10000,8,10001,5
20050,松木桌子,976,1,10000,8,10001,5
20051,松木沙发,977,1,10000,8,10001,5
20052,黑色壁炉,978,1,10000,16,10001,5
20053,松木柜子,979,1,10000,16,10001,5
20054,精致木床,883,1,10000,16,10001,5
20055,豪华木床,884,1,10000,8,10001,5
20056,公主床,885,1,10000,8,10001,5
20057,岩石留言板,886,1,10000,8,10001,5
20058,钢铁留言板,888,1,10000,3,10001,5
20059,熔岩留言板,890,1,10000,3,10001,5
20060,乔治,6,3,10000,16,10001,3
20061,安妮,7,3,10000,16,10001,3
20062,手持炸药,12280,1,10000,16,10001,5
20063,弹弓,12281,1,10000,0,10001,5
20064,连弩,12283,1,10000,12,10001,5
20065,火箭筒,12284,1,10000,12,10001,0
20066,木质牌匾,892,1,10000,12,10001,5
20067,石质牌匾,893,1,10000,12,10001,5
20068,铁制牌匾,894,1,10000,12,10001,5
20069,金制牌匾,895,1,10000,12,10001,5
20070,钻石牌匾,896,1,10000,12,10001,5
20071,熔岩牌匾,897,1,10000,12,10001,5
20072,灯笼,898,1,10000,12,10001,5
20073,古典路灯,899,1,10000,12,10001,5
20074,现代路灯,900,1,10000,12,10001,5
20075,黑色铁围栏,926,1,10000,12,10001,5
20076,白色铁围栏,927,1,10000,12,10001,5
20077,小花盆,928,1,10000,12,10001,5
20078,大花盆,929,1,10000,12,10001,5
20079,蜡烛灯,931,1,10000,12,10001,5
20080,吊灯,933,1,10000,12,10001,5
20081,壁灯1,934,1,10000,12,10001,5
20082,壁灯2,935,1,10000,12,10001,5
20083,台灯,936,1,10000,12,10001,5
20084,喷花烟花,881,1,10000,12,10001,5
20085,春节窗花-福,940,1,10000,12,10001,5
20086,春节窗花-禄,941,1,10000,12,10001,5
20087,春节窗花-寿,942,1,10000,12,10001,5
20088,春节窗花-喜,943,1,10000,12,10001,5
20089,元宵宫灯,945,1,10000,12,10001,5
20090,红色小陶花盆,946,1,10000,12,10001,5
20091,绿色小陶花盆,947,1,10000,12,10001,5
20092,大瓷花盆,948,1,10000,12,10001,5
20093,新春宫灯,949,1,10000,12,10001,5
20094,火箭背包,12253,1,10000,12,10001,5
20095,孔明灯,12830,1,10000,40,10001,5
20096,河灯,13808,1,10000,40,10001,5
20097,落叶松地板,419,1,10000,40,10001,15
20098,红杉地板,420,1,10000,40,10001,15
20099,沙石砖,424,1,10000,40,10001,15
20100,竖格釉面砖,427,1,10000,40,10001,15
20101,四格釉面砖,428,1,10000,40,10001,15
20102,不规则釉面砖,429,1,10000,40,10001,15
20103,白杨木栅栏,539,1,10000,40,10001,15
20104,石砖围栏,551,1,10000,40,10001,15
20105,白杨木围栏,552,1,10000,40,10001,15
20106,木栅栏,553,1,10000,40,10001,15
20107,铁围栏,554,1,10000,40,10001,15
20108,黄绿呆呆鱼,13609,1,10000,40,10001,15
20109,粉色呆呆鱼,13610,1,10000,60,10001,15
20110,灰色呆呆鱼,13611,1,10000,24,10001,15
20111,实验室门,1101,1,10000,36,10001,25
20112,坚冰,1102,1,10000,60,10001,10
20113,冰灯,1103,1,10000,24,10001,15
20114,花纹电石块,1104,1,10000,36,10001,25
20115,电石铁块,1105,1,10000,36,10001,10
20116,电石铁板,1106,1,10000,12,10001,15
20117,黑铁石,1107,1,10000,24,10001,15
20118,钢块,1108,1,10000,48,10001,5
20119,镂空铁板,1109,1,10000,60,10001,10
20120,实验室灯,1110,1,10000,12,10001,20
20121,锈铁门,1111,1,10000,12,10001,25
20122,铁丝网,1112,1,10000,12,10001,5
20123,花纹铁块,1113,1,10000,24,10001,5
20124,薄铁板,1114,1,10000,24,10001,5
20125,锈铁块,1115,1,10000,36,10001,10
20126,条纹锈铁块,1116,1,10000,48,10001,10
20127,锈铁板,1117,1,10000,24,10001,15
20128,电石锈铁块,1118,1,10000,72,10001,20
20129,荧光灯,1119,1,10000,15,10001,10
20130,旧铁块,1120,1,10000,15,10001,30
20131,荧光弹弓,12589,1,10000,15,10001,5
20132,巨型炸弹,15506,1,10000,15,10001,5
20133,巨型冰锥,15507,1,10000,15,10001,5
20134,熔岩球,15508,1,10000,15,10001,5
20135,脉冲弓,12291,1,10000,15,10001,5
20136,黑龙熔岩球,15519,1,10000,15,10001,5
20137,黑龙混乱球,15520,1,10000,12,10001,5
20138,反射镜,1060,1,10000,12,10001,5
20139,雪梅屏风,1136,1,10000,1,10001,5
20140,红烛灯,1137,1,10000,2,10001,5
20294,中式椅子-碎片,1811,1,10000,1,10001,1
20295,中式桌子-碎片,1812,1,10000,1,10001,1
20296,中式木椅-碎片,1813,1,10000,1,10001,1
20297,中式火炉-碎片,1814,1,10000,1,10001,1
20298,中式柜子-碎片,1815,1,10000,1,10001,1
24800,小猫咪碎片,3454,4,10000,2,10001,2
24801,小天马碎片,3457,4,10000,1,10001,2
24802,林千树碎片,57,3,10000,1,10001,1
24803,雪豹碎片,61,3,10000,1,10001,1
24804,小仓鼠碎片,3460,4,10000,1,10001,2
24805,蛙太郎碎片,63,3,10000,1,10001,1
24807,电玩少女铃音碎片,68,3,10000,1,10001,1
24808,全能玩家劳尔碎片,67,3,10000,1,10001,1
24809,魔龙碎片,3469,4,10000,1,10001,2
24810,色彩旅行者达奇碎片,77,3,10000,1,10001,1
20142,铰链方块碎片,1159,1,10000,5,10001,5
20143,机械爪碎片,1160,1,10000,5,10001,5
20144,液压臂碎片,1161,1,10000,5,10001,5
20145,避震器碎片,1164,1,10000,5,10001,5
24811,月亮坐骑碎片,3478,4,10000,1,10001,2
24812,塔莉娅碎片,78,3,10000,1,10001,1
24813,余小欢碎片,83,3,10000,1,10001,1
24814,章小丸碎片,84,3,10000,1,10001,1
24815,圣夜雪橇碎片,3483,4,10000,1,10001,2
24816,缤纷幻想碎片,3486,4,10000,1,10001,2
24817,奶牛坐骑,3488,4,10000,1,10001,2
24818,巨鲸坐骑,3490,4,10000,1,10001,2
20147,春节窗花-牛,1145,1,10000,1,10001,1
24819,莲花坐骑,3495,4,10000,1,10001,2
24820,九色鹿坐骑,4500,4,10000,1,10001,2
24821,临江仙碎片,109,3,10000,1,10001,1
24822,橘子碎片,111,3,10000,1,10001,1
24823,泡泡碎片,113,3,10000,1,10001,1
24824,迷小酷碎片,106,3,10000,1,10001,1
24825,哈鲁碎片,136,3,10000,1,10001,1
24828,烽灵碎片,211,3,10000,1,10001,1
24829,马红俊碎片,244,3,10000,1,10001,1
24831,菲菲碎片,281,3,10000,1,10001,1
24832,龙纳斯碎片,298,3,10000,1,10001,1
25001,皇家南瓜车碎片,4504,4,10000,1,10001,1
25002,精灵南瓜车碎片,4504,4,10000,1,10001,1
25003,源码螺旋碎片,4508,4,10000,1,10001,1
25004,三叶螺旋碎片,4508,4,10000,1,10001,1
25005,灰甜绒绒碎片,4511,4,10000,1,10001,1
25006,星愿雪霜碎片,4511,4,10000,1,10001,1
25007,天鹅碎片,4511,4,10000,1,10001,1
25008,勇士战机碎片,4516,4,10000,1,10001,1
25009,飞翼战机碎片,4519,4,10000,1,10001,1
25010,无敌旋风碎片,4522,4,10000,1,10001,1
25011,环海洛洛碎片,4524,4,10000,1,10001,1
25012,尼东洛洛碎片,4527,4,10000,1,10001,1
25013,九霄金龙碎片,4530,4,10000,1,10001,1
25014,画舫碎片,4534,4,10000,1,10001,1
25015,魔毯碎片,4538,4,10000,1,10001,1
25016,机械鸟碎片,4542,4,10000,1,10001,1
25017,咕咕碎片,4542,4,10000,1,10001,1
25018,打碟机碎片,4546,4,10000,1,10001,1
25019,花架碎片,4549,4,10000,1,10001,1
25020,扇子碎片,4552,4,10000,1,10001,1
25021,旺财碎片,4555,4,10000,1,10001,1
25022,帝皇驹碎片,4559,4,10000,1,10001,1
25023,布老虎碎片,4563,4,10000,1,10001,1
