id,坐骑名称备注,坐骑ID/真实ID=3430+1/2,头像ID,等级,解锁方式/1道具可用迷你币补2只迷你币3只道具,解锁消耗道具ID,解锁数量（改读服务器）,解锁道具跟迷你币比例（改读服务器）,音效,购买提示类型（1前往家园和取消 2只有确定 3前往礼包和取消 4-前往迷你点抽奖和取消 5-前往扭蛋和取消 6-前往坐骑抽奖&取消）,购买提示,能力1,能力2,能力3,商城显示(填1=不显示，不填=显示),能力4,品质标签（1稀有/2珍贵/3传说/4典藏）,IP动态标签,道具ID,道具数量,坐骑类型（1=普通，2=高级）,同一碎片的最高级（1=是）
ID,,BaseHorseID,HeadID,Level,UnlockType,UnlockItemID,UnlockNum,Ratio,Sound,BuyTipsType,BuyTips,Skill1,Skill2,Skill3,Show,Skill4,HorseTag,giflogo,GoodsID,GoodsNum,Type,FinalUnlockItem
1,化石龙,3430,3431,1,3,20031,300,1,horse1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,1,2,,,,,,,,1,
2,超级化石龙,3430,3432,2,3,20031,600,1,horse1,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,1,2,3,,,,,,,1,1
3,敏捷小飞鼠,3433,3434,1,3,20032,300,1,horse2,2,解锁道具可通过运营活动获得。,1,4,,,,,,,,1,
4,机灵小飞鼠,3433,3435,2,3,20032,600,1,horse2,2,解锁道具可通过运营活动获得。,1,4,5,,,,,,,1,1
5,麒麟,3436,3437,1,3,20033,300,1,horse3,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,1,6,,,,,,,,1,
6,祥瑞麒麟,3436,3438,2,3,20033,600,1,horse3,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,1,6,7,,,,,,,1,1
7,大陆行鸟,3439,3440,1,3,20034,300,1,horse4,2,家园果实≥10级，可通过开果实收集能量，达成条件后免费领取该坐骑。,1,9,,,,,,,,,1
8,迷你小白象,3442,3443,1,3,10009,300,1,horse5,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,1,,,,,,,,,1,
9,盛典小白象,3442,3444,2,3,20036,600,1,horse5,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,1,11,,,,,,,,1,1
10,海豹船长,3445,3446,1,3,20038,300,1,horse6,2,解锁道具可通过运营活动获得。,1,13,,,,,,,,1,
11,超能海豹,3445,3447,2,3,20038,600,1,horse6,2,解锁道具可通过运营活动获得。,1,13,14,,,,,,,1,1
12,,3448,3449,1,3,,600,1,horse7,2,,,15,,1,,,,,,,
13,,3450,3451,1,3,,600,1,horse8,2,,,16,,1,,,,,,,
14,,3452,3453,1,3,,600,1,horse7,2,,,17,,1,,,,,,,
15,猫咪1级,3454,3455,1,3,24800,300,1,horse9,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,18,,,,,,,,2,
16,猫咪2级,3454,3456,2,3,24800,600,1,horse9,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,18,19,,,,,,,2,1
17,天马1级,3457,3458,1,3,24801,300,1,horse10,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,20,,,,,,,,2,
18,天马2级,3457,3459,2,3,24801,600,1,horse10,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,21,,,,,,,,2,1
19,镶金轿子,3460,3461,1,3,24804,300,1,horse11,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,22,,,,,,,,2,
20,桃花轿子,3460,3462,2,3,24804,600,1,horse11,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,22,23,,,,,,,2,1
21,,3463,3464,1,3,,600,1,horse8,2,,,25,,1,,,,,,,
22,,3465,3466,1,3,,600,1,horse7,2,,,26,,1,,,,,,,
23,,3467,3468,1,3,,600,1,horse8,2,,,27,,1,,,,,,,
24,魔龙1级,3469,3470,1,3,24809,300,1,horse12,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,28,30,,,,,,,2,
25,魔龙2级,3469,3471,2,3,24809,600,1,horse12,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,29,31,,,,,,,2,1
26,,3472,3473,1,3,,600,1,horse8,2,,,32,,1,,,,,,,
27,,3474,3475,1,3,,600,1,horse7,2,,,33,,1,,,,,,,
28,,3476,3477,1,3,,600,1,horse8,2,,,34,,1,,,,,,,
29,玉兔桃花,3478,3479,1,3,24811,300,1,horse13,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,35,,,,,,,,2,
30,皎月仙宫,3478,3480,2,3,24811,600,1,horse13,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,35,36,,,,,,,2,1
31,,3481,3482,1,3,,600,1,horse14,2,,,37,,1,,,,,,2,
32,圣诞坐骑1级圣夜惊喜,3483,3484,1,3,24815,300,1,horse3485,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,38,,,,,,,,2,
33,圣诞坐骑2级冰雪传说,3483,3485,2,3,24815,600,1,horse3485,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,38,39,,,,,,,2,
34,缤纷幻想,3486,3487,1,3,24816,300,1,horse3487,2,解锁道具可在福利商店兑换获得,40,,,,,,,,,1,1
