迷你币ID,名称,繁体名称,英文名称,图标,迷你币数量,限购后的获得数量,购买价格,描述,繁体描述,英文描述,推荐/折扣显示（1推荐 2折扣）,限购ID/与storeprop同字段不可重复,购买次数,是否隐藏（1隐藏）
ID,Name,TWName,ENName,IconId,Num,MiniCoinWithLimit,Cost,Desc,TWDesc,ENDesc,Tag,PurchaseLimitID,BuyNum,IsHide
12,100迷你币,100迷你幣,100 Mini Coins,14104,200,100,10,赠送#c00FF00 100迷你币(限购1次)#n,,,1,4,1,
13,1000迷你币,1000迷你幣,1000 Mini Coins,14106,2000,1000,100,赠送#c00FF00 1000迷你币(限购1次)#n,,,1,5,1,
14,10迷你币,10迷你幣,10 Mini Coins,14100,10,,1,,,,,,,
15,13迷你币,13迷你幣,13 Mini Coins,14100,13,,0.24,,,,,,,0
16,14迷你币,14迷你幣,14 Mini Coins,14100,14,,0.33,,,,,,,1
17,27迷你币,27迷你幣,27 Mini Coins,14100,27,,0.65,,,,,,,0
18,41迷你币,41迷你幣,41 Mini Coins,14100,41,,0.79,,,,,,,0
19,50迷你币,50迷你幣,50 Mini Coins,14102,55,,5,赠送5迷你币,贈送5迷你幣,A gift of 5 Mini Coins,,,,
20,250迷你币,250迷你幣,250 Mini Coins,14104,280,,25,赠送30迷你币,贈送30迷你幣,A gift of 30 Mini Coins,,,,
21,500迷你币,500迷你幣,500 Mini Coins,14105,580,,50,赠送80迷你币,贈送80迷你幣,A gift of 80 Mini Coins,,,,
