序列ID,作者id,类型：1=单件avatar，2=avatar套装，3=皮肤,装扮ID,装扮名称（不生效）,装扮类型（不生效）,不生效的渠道ID,生效的最低版本号,缩放比例
ID,uin,type,avatarID,avatar_name,avatar_type,appids_no,version_min,zoom_percentage
1,1000,3,4,迷斯拉,皮肤本次不上，暂时别动,,0.57.2,
2,1000,3,21,花小楼,皮肤本次不上，暂时别动,,0.57.2,
3,1000,3,113,泡泡,皮肤本次不上，暂时别动,,0.57.2,
4,1000,2,"914,147,1410,1125",新增男生套1,,,0.57.2,
5,1000,2,"309,315,310,360",新增女生套1,,,0.57.2,
6,1000,2,"47,403,418,164",新增男生套2,,,0.57.2,
7,1000,2,"307,1029,312,942",新增女生套2,,,0.57.2,
8,1000,2,"948,1027,467,892",新增男生套3,,,0.57.2,
9,1000,2,"200,421,419,415",新增女生套3,,,0.57.2,
10,1000,2,"305,311,318,513",新增男生套4,,,0.57.2,
11,1000,2,"308,206,367,118",新增女生套4,,,0.57.2,
12,1000,2,"6,8,9,10",邻家男孩套,,,0.57.2,
13,1000,2,"11,13,101,14",邻家女孩套,,,0.57.2,
14,1000,2,"15,17,18,19",足球少年套,,,0.57.2,
15,1000,2,"20,22,23,24",足球宝贝套,,,0.57.2,
16,1000,2,"99,101,102,104",冬季俏皮套,,,0.57.2,
17,1000,2,"105,107,109",冬季暖风套,,,0.57.2,
18,1000,2,"41,43,44,45",海滨假日套,,,0.57.2,
19,1000,2,"35,37,38,39",冲浪男孩套,,,0.57.2,
20,1000,2,"1188,1189,1190",新手任务第一套,,,0.57.2,
21,1000,2,"1196,1197,1198",新手任务第二套,,,0.57.2,
22,1000,2,"805,806",新手任务第三套,,,0.57.2,
23,1000,1,1189,机能外套,,,0.57.2,
24,1000,1,1198,彩叠裙,,,0.57.2,
25,1000,1,806,奶牛睡衣,,,0.57.2,
26,1000,1,8,邻家男孩上衣,,,0.57.2,
27,1000,1,13,邻家女孩连衣裙,,,0.57.2,
28,1000,1,17,足球少年上衣,,,0.57.2,
29,1000,1,22,足球宝贝上衣,,,0.57.2,
30,1000,1,43,海滨假日上衣,,,0.57.2,
31,1000,1,37,冲浪男孩上衣,,,0.57.2,
32,1000,1,102,冬季俏皮衣服,,,0.57.2,
33,1000,1,107,冬季暖风衣服,,,0.57.2,
34,1000,1,147,胖哒帽衫,,,0.57.2,
35,1000,1,403,海豹夹克,,,0.57.2,
36,1000,1,1027,萌猫衬衣,,,0.57.2,
37,1000,1,311,个性少年裤子,,,0.57.2,
38,1000,1,315,水手衣服,,,0.57.2,
39,1000,1,1029,粉猫短衫,,,0.57.2,
40,1000,1,421,魔力少女外套,,,0.57.2,
41,1000,1,206,一字肩上衣,,,0.57.2,
42,1000,1,1190,休闲运动裤,,,0.57.2,
43,1000,1,9,邻家男孩裤子,,,0.57.2,
44,1000,1,18,足球少年裤子,,,0.57.2,
45,1000,1,23,足球宝贝裤子,,,0.57.2,
46,1000,1,38,冲浪男孩裤子,,,0.57.2,
47,1000,1,44,海滨假日裤子,,,0.57.2,
48,1000,1,101,冬季俏皮裙子,,,0.57.2,
49,1000,1,466,格子物语,,,0.57.2,
50,1000,1,681,热带风光,,,0.57.2,
51,1000,1,1410,白色带链裤,,,0.57.2,
52,1000,1,418,撞色风暴,,,0.57.2,
53,1000,1,467,破洞牛仔裤,,,0.57.2,
54,1000,1,318,酷炫街舞衣服,,,0.57.2,
55,1000,1,310,远洋海风裙子,,,0.57.2,
56,1000,1,312,小海军连衣裙,,,0.57.2,
57,1000,1,419,萌动百褶裙,,,0.57.2,
58,1000,1,367,千鸳短裤,,,0.57.2,
59,1000,1,10,邻家男孩鞋子,,,0.57.2,
60,1000,1,14,邻家女孩鞋子,,,0.57.2,
61,1000,1,19,足球少年鞋子,,,0.57.2,
62,1000,1,24,足球宝贝鞋子,,,0.57.2,
63,1000,1,39,冲浪男孩鞋子,,,0.57.2,
64,1000,1,45,海滨假日鞋子,,,0.57.2,
65,1000,1,99,冬季俏皮鞋子,,,0.57.2,
66,1000,1,105,冬季暖风鞋子,,,0.57.2,
67,1000,1,1125,海星短靴,,,0.57.2,
68,1000,1,164,青春校园鞋子,,,0.57.2,
69,1000,1,892,虚妄之海,,,0.57.2,
70,1000,1,513,轻松板鞋,,,0.57.2,
71,1000,1,360,玛丽珍鞋,,,0.57.2,
72,1000,1,942,风吹太阳花,,,0.57.2,
73,1000,1,415,摇滚皮靴,,,0.57.2,
74,1000,1,118,虎头鞋,,,0.57.2,
75,1000,1,1197,猫小白,,,0.57.2,
76,1000,1,1188,碎羽轻扬,,,0.57.2,
77,1000,1,6,邻家男孩头饰,,,0.57.2,
78,1000,1,11,邻家女孩头饰,,,0.57.2,
79,1000,1,15,足球少年头饰,,,0.57.2,
80,1000,1,20,足球宝贝头饰,,,0.57.2,
81,1000,1,35,冲浪男孩头饰,,,0.57.2,
82,1000,1,41,海滨假日头饰,,,0.57.2,
83,1000,1,104,冬季俏皮头饰,,,0.57.2,
84,1000,1,109,冬季暖风头饰,,,0.57.2,
85,1000,1,914,轻狂,,,0.57.2,105
86,1000,1,309,小水手头饰,,,0.57.2,110
87,1000,1,47,浪漫绅士头饰,,,0.57.2,100
88,1000,1,307,蝴蝶结包包头,,,0.57.2,107
89,1000,1,948,西柚太阳镜,,,0.57.2,107
90,1000,1,200,粉红俏皮头饰,,,0.57.2,110
91,1000,1,305,嘻哈风头饰,,,0.57.2,113
92,1000,1,308,暖暖小黄帽,,,0.57.2,110
93,1000,1,1196,溏心帽檐,,,0.57.2,
94,1000,1,805,奶牛头套,,,0.57.2,
