ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,วางผลไม้ศักดิ์สิทธิ์,"วาง@item_587#ไว้บนแท่นชีวิต@1#r(""ผลไม้ศักดิ์สิทธิ์""แสดงถึงเทคโนโลยีการดัดแปลงพันธุกรรมที่ยอดเยี่ยมที่สุดของ""คนโบราณ"")",วาง@item_587#ไว้บนแท่นชีวิต
1001002,วางดาบเพลิงแตกหัก,"วาง@item_588#ไว้บนแท่นกล้าหาญ@1#r(""ดาบเพลิงแตกหัก"" เป็นสัญลักษณ์ของความร่วมมือระยะยาวระหว่าง""คนโบราณ""และ ""มังกรดำ"")",วาง@item_588#ไว้บนแท่นกล้าหาญ
1001003,วางดวงตามนุษย์หิน,"วาง@item_589#ไว้บนแท่นปัญญา@1#r(""ดวงตามนุษย์หิน""แสดงถึงปัญญาประดิษฐ์ที่""คนโบราณ""เคยภาคภูมิใจ )",วาง@item_589#ไว้บนแท่นปัญญา
1001004,ต่อสู้กับปีศาจแห่งความว่างเปล่า!,เอาชนะปีศาจแห่งความว่างเปล่า!#r(ไม่มีทางเลือกอื่นแล้ว เพื่อมินิจักรวาล!),เอาชนะปีศาจแห่งความว่างเปล่า!
1001005,สัมผัสกับความว่างเปล่า,รับ@item_11333##r(นี่คือ ...... การเริ่มต้นใหม่? ....),รับ@item_11333#
1002001,กลับไปที่ดาวมิรา,ในที่สุดก็มาถึงดาวมิราอย่างปลอดภัย#rแต่ตอนฝ่าด่านห่วงโซ่ดวงดาวได้ก็แตกกันทั้งทีมเลย ไม่รู้ว่าเพื่อนๆ คนอื่นๆ ถึงดาวมิราหรือยัง?,ไปยังดาวมิรา
1002002,ฉันต้องการวัสดุหิน,เก็บ@item_110#เพื่อรับ@item_11627#@1#r(กดแตะค้างที่หินเพื่อเก็บ หรือสามารถคราฟต์ด้วย@item_104#ในโต๊ะคราฟต์เพื่อรับ@item_11627#),เก็บรวบรวม@item_110#เพื่อรับ@item_11627#@1
1002003,วัสดุเพิ่มเติม,ตัดกิ่งไม้บนต้นเพื่อรับ@item_11323#@1#r(กดแตะค้างที่กิ่งไม้เพื่อตัด กิ่งไม้ของต้นไม้บางชนิดเติบโตในที่สูง มีวิธีใดที่จะพยุงตัวให้สูงขึ้นได้บ้าง?),รับ@item_11323#@1จากการตัดกิ่งไม้
1002004,เริ่มต้นชีวิตที่ดี ~,ใช้@item_11627#และ@item_11323#เพื่อคราฟต์@item_11002#@1#r(เครื่องมือที่มีประโยชน์สามารถรวบรวมทรัพยากรได้เร็วขึ้น),คราฟต์@item_11002#@1
1002005,คนตัดไม้,ถือ@item_11002#ด้วยมือ กดแตะค้างที่ลำต้นของต้นไม้! เพื่อรับ@item_11323#@1#r(@item_11323#เป็นสิ่งสำคัญในการเดินทางข้างหน้า),ตัดต้นไม้เพื่อรวบรวม@item_11323#@1
1002006,ผู้เชี่ยวชาญด้านก่อสร้าง,ใช้@item_11323#เพื่อคราฟต์@item_206#@1#r(นอกจาก@item_206#แล้ว เครื่องมือไม้ส่วนใหญ่ต้องคราฟต์ด้วย@item_11323 #เหมือนกัน แนะนำให้เก็บเพิ่มเติม),คราฟต์@item_206#@1
1002007,ที่พักพิงของคุณ,วาง@item_206#@1#r(ดูเหมือนจะมีบ้านทรุดโทรมใกล้กับสถานีดวงดาวที่เพิ่งเข้ามา อาจซ่อมแซมด้วย@item_206#แล้ว น่าจะอาศัยต่อได้),วาง@item_206#@1
1002008,คราฟต์อาวุธให้ตัวเอง,ใช้@item_11323#และ@item_11627#เพื่อคราฟต์@item_12012#@1#r (การเอาชีวิตรอดในป่านั้นเต็มไปด้วยอันตราย อาวุธที่มีประโยชน์เป็นสิ่งจำเป็น!),เพื่อคราฟต์@item_12012#@1
1002009,ลุย!,เอาชนะสิ่งมีชีวิตใด ๆ@1#r(การป้องกันที่ดีที่สุดคือการโจมตี? ลองใช้ว่าอาวุธที่เพิ่งสร้างใหม่รู้สึกอย่างไร),เอาชนะสิ่งมีชีวิตใด ๆ@1
