id编号,标题,内容,作者,是否匿名
Id,Title,Context,Author,ShouldAnonymity
1,เธอ...,ช่วงนี้จำอะไรไม่ค่อยได้เลย… นอกจากเธอ,ข้อความจากเพื่อน,
2,เธอ...,ถึงไม่ใช่โซเดียม แต่คอลไลน์ได้นะ,ข้อความจากเพื่อน,
3,เธอ...,วันที่เหมาะกับการออกกำลังกายมากที่สุด คือ วันหลัง,ข้อความจากเพื่อน,
4,เธอ...,ถ้าเธอชอบคนเอวเล็ก โทษทีเราเอวดีอะ,ข้อความจากเพื่อน,
5,เธอ...,พยายามหาเลขเด็ด แต่ลืมไป เราเด็ดกว่าเลข,ข้อความจากเพื่อน,
6,เธอ...,แล้ววันหนึ่ง เราจะหัวเราะให้กับทุกเรื่อง ไม่ได้เก่งขึ้นนะ เป็นบ้า,ข้อความจากเพื่อน,
7,เธอ...,บางครั้งชีวิตก็ไม่ได้ต้องการกำลังใจ แต่ต้องการกำลังโอน,ข้อความจากเพื่อน,
8,เธอ...,ไม่อยากแข่งกับใครหรอก กลัวชนะเพราะเรามันน่ารักเกินไป,ข้อความจากเพื่อน,
9,ประกาศ!,โตแล้วแยกแยะได้ งานคืองาน เที่ยวคือเที่ยว งาน 10% เที่ยว 90%,ข้อความจากเพื่อน,
10,ประกาศ!,ไม่อยากติดตลกละ อยากติดเธอ,ข้อความจากเพื่อน,
11,ประกาศ!,อย่าหลอกตัวเองอีกเลยในเมื่อมึงก็รู้คำตอบอยู่แล้ว,ข้อความจากเพื่อน,
12,ประกาศ!,มันคือความโดดเดี่ยว ที่ทำให้เราอ่อนแอ😥,ข้อความจากเพื่อน,
13,ประกาศ!,มันคือความโดดเดี่ยว ที่ทำให้เราอ่อนแอ😥,ข้อความจากเพื่อน,
14,มินิเวิลด์ประกาศข่าวใหญ่!,เทได้เทไป..กูรินใหม่ได้เหมือนกัน 🐷🥛🥤,ข้อความจากเพื่อน,
15,มินิเวิลด์ประกาศข่าวใหญ่!,เบียร์ยังมีฟอง เมื่อไหร่คนที่เรามองจะมีใจ.😳😝,ข้อความจากเพื่อน,
16,มินิเวิลด์ประกาศข่าวใหญ่!,ถ้าอากาศมันหนาว❄️มาหลบอยู่ในใจเรา ก่อนได้นะ😊😘,ข้อความจากเพื่อน,
17,มินิเวิลด์ประกาศข่าวใหญ่!,เลือกคนที่เขารู้ด้านไม่ดีของเรา แต่เขายังไม่ไปไหนอะ,ข้อความจากเพื่อน,
18,มินิเวิลด์ประกาศข่าวใหญ่!,ก็ไม่เคยหวังอะไรอยู่แล้ว นอกจากหวังดี🍏,ข้อความจากเพื่อน,
19,มินิเวิลด์ประกาศข่าวใหญ่!,เราเป็นเจ้าหญิงให้คุณไม่ได้👸👎แต่เราเป็นเจ้าสาวให้คุณได้นะ👰😚,ข้อความจากเพื่อน,
20,มินิเวิลด์ประกาศข่าวใหญ่!,ไม่อยากเป็นเด็กดื้อ อยากเป็นเด็กพี่มากกว่า😘😗,ข้อความจากเพื่อน,
21,มินิเวิลด์ประกาศข่าวใหญ่!,ระหว่างนี้ก็ตัดใจไปทีละนิด จะได้ไม่เจ็บ 😂😂,ข้อความจากเพื่อน,
22,มินิเวิลด์ประกาศข่าวใหญ่!,อยู่กับเพื่อน มีแต่ปอดกับกับไตเท่านั้นแหละที่จะพัง🥃,ข้อความจากเพื่อน,
23,คืนนี้ว่างไหมน้า,บางทีการเป็นคนคุย มันก็อาจจะมุ้งมิ้งกระดิ่งแมวมากกว่าเป็นของกันและกัน,,
24,คืนนี้ว่างไหมน้า,หน้าตาอาจจะไม่น่ามอง แต่ถ้าได้ลองแล้วจะร้องว่า try again.,,
25,คืนนี้ว่างไหมน้า,คนดื้อเเบบผมพอจะไปซุกซนในห้องคุณได้มั้ยครับ 😳🌸,,
26,คืนนี้ว่างไหมน้า,ผิดหมดทุกอย่าง ตั้งแต่เดินเข้าไปในชีวิตมึงละ,,
27,คืนนี้ว่างไหมน้า,พี่มันซื่อ ไม่ดื้อหรอกน้อง ให้คางชื่อน้อง กี่ทีก็ได้ 🤘💕✨,,
28,คืนนี้ว่างไหมน้า,เราแม่งก็ไม่ได้ดีหรอก แต่ก็อยากเจอคนดีๆบ้าง.🐳,,
29,คืนนี้ว่างไหมน้า,เวลาไม่อาจย้อนกลับไป …😔แต่เวลามีให้เริ่มใหม่เสมอ..✌️⚙,,
30,คืนนี้ว่างไหมน้า,ถ้าเขา ไ ม่ รั ก ทำยังไง เขาก็ไม่รัก.,,
31,คืนนี้ว่างไหมน้า,ถึงจะคุยยาก ก็ชอบมากๆอยู่ดี,,
32,คืนนี้ว่างไหมน้า,ให้เลือกกี่ครั้งก็ยังเป็นคุณ😍,,
33,คืนนี้ว่างไหมน้า,คุณคือความชัดเจนของผม😘,,
34,คืนนี้ว่างไหมน้า,ดับเพลิงเบอร์อะไร ไฟไหม้ที่ดวงอาทิตย์😅😳🌋,,
35,คืนนี้ว่างไหมน้า,เวรกรรมของเธอ คือการได้เจอคนเอ๋อๆอย่างฉัน🥴💕,,
36,คืนนี้ว่างไหมน้า,ทุกคนรู้ แฟนคลับรู้ ว่าฉันชอบเที่ยว แต่บัตรเครดิตไม่รู้! 😔,,
37,คืนนี้ว่างไหมน้า,สนุกให้สุด แล้วหยุดที่ตังค์หมด,,
38,คืนนี้ว่างไหมน้า,วันหยุดมีค่า ค่าเที่ยว ค่ากิน ค่าโรงแรม,,
39,คืนนี้ว่างไหมน้า,ไม่มีตังค์ มีแต่ใจ ไปด้วยได้ป่าวจ๊ะ,,
40,คืนนี้ว่างไหมน้า,จะทะเล หรือ ภูเขา เราก็เที่ยวทิพย์,,
41,คืนนี้ว่างไหมน้า,แพลนเที่ยวมีอยู่เต็มหัว ทั้งเนื้อทั้งตัวมีอยู่ร้อยเดียว,,
42,คืนนี้ว่างไหมน้า,ไปเที่ยวต้องคิดถึงวันหยุด ไปกับเธอต้องคิดถึงวันไหนอ่ะ 😝,,
43,คืนนี้ว่างไหมน้า,อยากเที่ยวแบบไร้สาระ แต่เหมือนฐานะไม่ค่อยเข้าใจ,,
44,คืนนี้ว่างไหมน้า,วันหยุดมีน้อย ใช้สอยหมดแล้ว,,
45,คืนนี้ว่างไหมน้า,เรื่องกินเรื่องเที่ยวขอให้บอก ไปด้วยตลอดขอแค่มีตังค์,,
46,เพื่อนรัก ยังจำฉันได้ไหม,ถ้าเธอเป็นทะเล เราจะเป็นปลาเกเรที่ขาดทะเลไม่ได้,ข้อความจากทะเล,
47,เพื่อนรัก ยังจำฉันได้ไหม,ทะเลยังมีคลื่น ทำไมเรายังไม่มีใคร,ข้อความจากทะเล,
48,เพื่อนรัก ยังจำฉันได้ไหม,ยิ้มให้ทะเล ไม่ได้ยิ้มให้เขา,ข้อความจากทะเล,
49,เพื่อนรัก ยังจำฉันได้ไหม,เที่ยวทะเลจะสดใส ถ้าตอนไปมีเธอไปด้วย,ข้อความจากทะเล,
50,เพื่อนรัก ยังจำฉันได้ไหม,ถ้าเบื่อภูเขา หันมาชอบทะเลแบบเราก็ได้นะ,ข้อความจากทะเล,
51,เพื่อนรัก ยังจำฉันได้ไหม,ทะเลที่ว่ามีคลื่น 🌊 ยังไม่สดชื่นเท่าเรามีเธอ,ข้อความจากทะเล,
52,เพื่อนรัก ยังจำฉันได้ไหม,เมื่อเวลาที่เหงา ทะเลกับภูเขาจะโอบกอดเราเอง,ข้อความจากทะเล,
53,เพื่อนรัก ยังจำฉันได้ไหม,รักเขา รักทะเล ไม่รักคนเกเรแบบเราบ้างหรอ,ข้อความจากทะเล,
54,เพื่อนรัก ยังจำฉันได้ไหม,น้ำทะเลยังเค็ม แต่ถ้ามีเธอมาเติมเต็มคงดี,ข้อความจากทะเล,
55,เพื่อนรัก ยังจำฉันได้ไหม,ทะเลเรียกว่า SEA ช่วงเวลาดี ๆ เรียกว่าเธอ,ข้อความจากทะเล,
56,เพื่อนรัก ยังจำฉันได้ไหม,ไปทะเลเจอหาดทราย ใจละลายเจอหน้าเธอ,ข้อความจากทะเล,
57,เพื่อนรัก ยังจำฉันได้ไหม,ทะเลยังมีคลื่น เราคงสดชื่นถ้ามีเธอ,ข้อความจากทะเล,
58,เพื่อนรัก ยังจำฉันได้ไหม,รักเขา รักทะเล ไม่ลองมารักคนเกเรอย่างเราบ้างหรอ?,ข้อความจากทะเล,
59,เพื่อนรัก ยังจำฉันได้ไหม,มาทะเลแล้วได้ยินเสียงคลื่น แต่เราสดชื่นตอนได้ยินเสียงเธอ,ข้อความจากทะเล,
60,เพื่อนรัก ยังจำฉันได้ไหม,ในทะเลมีแต่ปลา ในสายตามีแต่เธอ,ข้อความจากทะเล,
61,เพื่อนรัก ยังจำฉันได้ไหม,เที่ยวทะเลเหมาะกับหน้าร้อน แต่ถ้าเธออ้อนเหมาะกับน่ารัก,ข้อความจากทะเล,
62,เพื่อนรัก ยังจำฉันได้ไหม,ไปทะเลต้องใส่บิกินี แต่ถ้าอยากได้รักดี ๆ ต้องใส่ใจ,ข้อความจากทะเล,
63,เพื่อนรัก ยังจำฉันได้ไหม,พัทยาอะเคยไป แต่พัดเธอออกจากใจไม่เคยทำ,ข้อความจากทะเล,
64,เพื่อนรัก ยังจำฉันได้ไหม,แดดที่ทะเลมันร้อน อยากอ้อนน้องมากเลย,ข้อความจากทะเล,
