签到类型/1七天 2每周 3国庆活动,天数/周几,泰语,泰语
SignInType,WhatDay,RewardName,RewardTips
1,1,พลุฝน-ฟ้าโปร่ง,เก็บเข้าโกดังแล้ว
1,2,ตู้นิรภัย,เก็บเข้าโกดังแล้ว
1,3,กิ๊ฟท์บ็อกซ์ดวงดาว,เก็บเข้าโกดังแล้ว
1,4,พลุดวงดาว(เล็ก),เก็บเข้าโกดังแล้ว
1,5,พลุฝน-ฟ้าโปร่ง,เก็บเข้าโกดังแล้ว
1,6,กิ๊ฟท์บ็อกซ์ดวงดาว,เก็บเข้าโกดังแล้ว
1,7,มินิแพ็ค,เก็บเข้าโกดังแล้ว
2,1,ลัคกี้แบ็คไข่,เก็บเข้าโกดังแล้ว
2,2,ซองสกิน,เก็บเข้าโกดังแล้ว
2,3,กิ๊ฟท์บ็อกซ์ดวงดาว,เก็บเข้าโกดังแล้ว
2,4,ซองสกิน,เก็บเข้าโกดังแล้ว
2,5,กิ๊ฟท์บ็อกซ์ดวงดาว,เก็บเข้าโกดังแล้ว
2,6,ถั่วมินิ,เพิ่มเข้าบัญชีแล้ว
2,7,ถั่วมินิ,เพิ่มเข้าบัญชีแล้ว
3,1,กิ๊ฟท์บ็อกซ์ดวงดาว,เก็บเข้าโกดังแล้ว
3,2,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,3,สมุดวาร์ป,เก็บเข้าโกดังแล้ว
3,4,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,5,พลุดวงดาว,เก็บเข้าโกดังแล้ว
3,6,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,7,เสื้อโค้ทไซส์มินิ,เก็บเข้าโกดังแล้ว
3,8,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,9,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,10,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,11,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,12,การ์ดสกิน,เก็บเข้าโกดังแล้ว
3,13,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,14,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,15,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,16,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,17,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,18,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,19,ถั่วมินิ1ถุง,เก็บเข้าโกดังแล้ว
3,20,หมวกเบเร่ต์,เก็บเข้าโกดังแล้ว
