ID,名字,描述,,
ID,Name,Desc,Order,IsHide
1,50 Mcoin,@Null@,,
2,250 Mcoin,@Null@,,
3,500 Mcoin,แจกอีก 25 Mcoin,,
4,1000 Mcoin,แจกอีก 100 Mcoin,,
5,2500 Mcoin,แจกอีก 500 Mcoin,,
6,5000 Mcoin,แจกอีก 1500 Mcoin,,
7,100 Mcoin,แจกอีก 100 Mcoin (จำกัดการซื้อหนึ่งครั้ง),,
8,300 Mcoin,แจกอีก 300 Mcoin (จำกัดการซื้อหนึ่งครั้ง),,
11,12 Mcoin,แจกอีก 1 Mcoin,3,0
12,14 Mcoin,,1,
13,26 Mcoin,แจกอีก 1 Mcoin,4,0
14,40 Mcoin,แจกอีก 1 Mcoin,5,0
17,20 Mcoin,,,
20,25 Mcoin,,,
21,14400 Mcoin,แจกอีก 4600 Mcoin,,
22,33 Mcoin,แจกอีก 33 Mcoin  (จำกัดการซื้อหนึ่งครั้ง),,
23,150 Mcoin,แจกอีก 150 Mcoin  (จำกัดการซื้อหนึ่งครั้ง),,
