iD,泰语,泰语
ID,Name,AttrDesc
5,ตีบิน,การโจมตีระยะใกล้จะโจมตีเป้าหมายจนบินไปในอากาศ4ช่อง
5,ตีบิน,การโจมตีระยะใกล้จะโจมตีเป้าหมายจนบินไปในอากาศ6ช่อง
5,ตีบิน,การโจมตีระยะใกล้จะโจมตีเป้าหมายจนบินไปในอากาศ8ช่อง
5,ตีบิน,การโจมตีระยะใกล้จะโจมตีเป้าหมายจนบินไปในอากาศ10ช่อง
5,ตีบิน,การโจมตีระยะใกล้จะโจมตีเป้าหมายจนบินไปในอากาศ12ช่อง
6,แหลมคม,ดาเมจจากการโจมตีระยะใกล้ +5
6,แหลมคม,ดาเมจจากการโจมตีระยะใกล้ +10
6,แหลมคม,ดาเมจจากการโจมตีระยะใกล้ +16
6,แหลมคม,ดาเมจจากการโจมตีระยะใกล้ +24
6,แหลมคม,ดาเมจจากการโจมตีระยะใกล้ +35
7,นักล่ามนุษย์,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อมนุษย์ +8
7,นักล่ามนุษย์,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อมนุษย์ +16
7,นักล่ามนุษย์,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อมนุษย์ +25
7,นักล่ามนุษย์,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อมนุษย์ +40
7,นักล่ามนุษย์,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อมนุษย์ +60
8,นักล่าสัตว์,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อสัตว์ +8
8,นักล่าสัตว์,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อสัตว์ +16
8,นักล่าสัตว์,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อสัตว์ +25
8,นักล่าสัตว์,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อสัตว์ +40
8,นักล่าสัตว์,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อสัตว์ +60
9,นักล่าปีศาจ,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อนักธนูกำมะถันและยักษ์ลาวา +8
9,นักล่าปีศาจ,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อนักธนูกำมะถันและยักษ์ลาวา +16
9,นักล่าปีศาจ,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อนักธนูกำมะถันและยักษ์ลาวา +25
9,นักล่าปีศาจ,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อนักธนูกำมะถันและยักษ์ลาวา +40
9,นักล่าปีศาจ,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อนักธนูกำมะถันและยักษ์ลาวา +60
29,นักล่าคนป่า,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อคนป่า +8
29,นักล่าคนป่า,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อคนป่า +16
29,นักล่าคนป่า,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อคนป่า +25
29,นักล่าคนป่า,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อคนป่า +40
29,นักล่าคนป่า,ดาเมจจากการโจมตีระยะใกล้ที่มีต่อคนป่า +60
10,จุดไฟ,หลังโจมตีจะจุดไฟใส่เป้าหมาย3s ดาเมจ5แต้ม/1s
10,จุดไฟ,หลังโจมตีจะจุดไฟใส่เป้าหมาย3s ดาเมจ10แต้ม/1s
10,จุดไฟ,หลังโจมตีจะจุดไฟใส่เป้าหมาย3s ดาเมจ15แต้ม/1s
10,จุดไฟ,หลังโจมตีจะจุดไฟใส่เป้าหมาย3s ดาเมจ20แต้ม/1s
10,จุดไฟ,หลังโจมตีจะจุดไฟใส่เป้าหมาย3s ดาเมจ25แต้ม/1s
11,ตีถอย,หลังโจมตีจะทำให้เป้าหมายถอยไป2ช่อง
11,ตีถอย,หลังโจมตีจะทำให้เป้าหมายถอยไป4ช่อง
11,ตีถอย,หลังโจมตีจะทำให้เป้าหมายถอยไป4ช่อง
11,ตีถอย,หลังโจมตีจะทำให้เป้าหมายถอยไป5ช่อง
11,ตีถอย,หลังโจมตีจะทำให้เป้าหมายถอยไป6ช่อง
12,โชคไล่ล่า,ขณะชนะสิ่งมีชีวิต มีโอกาส20% ได้ของดรอป2เท่า
12,โชคไล่ล่า,ขณะชนะสิ่งมีชีวิต มีโอกาส20/15% ได้ของดรอป2/3เท่า
12,โชคไล่ล่า,ขณะชนะสิ่งมีชีวิต มีโอกาส20/15/15% ได้ของดรอป2/3/4เท่า
13,ยิงสุดแรง,ดาเมจจากการยิงธนู +25%
13,ยิงสุดแรง,ดาเมจจากการยิงธนู +50%
13,ยิงสุดแรง,ดาเมจจากการยิงธนู +75%
13,ยิงสุดแรง,ดาเมจจากการยิงธนู +100%
13,ยิงสุดแรง,ดาเมจจากการยิงธนู +125%
14,ยิงรัว,ไม่ใช้ลูกศรขณะยิงธนูอีก แต่ใช้ค่าทนทานเพิ่ม5แต้ม
14,ยิงรัว,ไม่ใช้ลูกศรขณะยิงธนูอีก แต่ใช้ค่าทนทานเพิ่ม4แต้ม
