ID,名称,描述,说明
ID,Name,Desc,Notes
100001,โหมดสภาพอากาศโลกปัจจุบัน,โหมดสภาพอากาศโลกปัจจุบัน,
100002,ระยะห่างระหว่างสองตำแหน่ง,ระยะห่างระหว่าง%1และ%2,
100006,การตัดสินขอบเขตของตำแหน่ง,%1%2อยู่ใน%3,
100007,ประเภทบล็อกที่อยู่ในตำแหน่งตามที่กำหนด,ประเภทบล็อกของ%1,
100008,ทิศทางจากตำแหน่งไปยังอีกตำแหน่ง,ทิศทางจาก%1ไปยัง%2,
100009,ทิศทางพิกัดสามแกนสัมบูรณ์,"ทิศทางในแกน X%1,Y%2,Z%3",
10001,แปลงตำแหน่งเป็นโซน,"โซนที่มี %1 เป็นจุดศูนย์กลาง ขนาด (%2,%3,%4)",
100010,ทิศทางพิกัดทรงกลมสัมบูรณ์,ทิศทางของมุมทิศ%1 มุมแหงน%2,
100011,ตำแหน่ง,ตำแหน่ง%1,
100012,โซน,โซน%1,
100013,เครื่องจับเวลา,เครื่องจับเวลา%1,
100014,กลุ่มตำแหน่ง,กลุ่มตำแหน่ง%1,
100015,กลุ่มโซน,กลุ่มโซน%1,
100016,กลุ่มเครื่องจับเวลา,กลุ่มเครื่องจับเวลา%1,
100017,สภาพอากาศแบบสุ่ม,สภาพอากาศแบบสุ่ม,
100018,สภาพอากาศของกลุ่มภูมิประเทศ,สภาพอากาศของ%1,
10002,โซนเคลื่อนที่,"%1 เคลื่อนที่ตามแกนพิกัด (%2,%3,%4)",
10003,ขยายโซน,"ขยายขนาดของแกนทั้งสามของ %1 ดังนี้ X%2,Y%3,Z%4 ช่อง",
10005,พิกัดตำแหน่งที่กำหนด,ตำแหน่งของค่าพิกัด X%1Y%2Z%3,
10006,ตำแหน่งออฟเซ็ต (เปลี่ยนตำแหน่งเดิม),"%1 เคลื่อนที่ตามแกนพิกัด (%2,%3,%4)",
10007,ตำแหน่งศูนย์กลางของโซน,ตำแหน่งศูนย์กลางของ%1,
10008,ตำแหน่งสุ่มในโซน,ตำแหน่งสุ่มของ%1,
10009,เวลาเครื่องจับเวลา,เวลาของ%1,
10010,ความยาวของรังสีในทิศทางที่กำหนด,สร้างรังสี%3ช่องจาก%1ถึง%2 ความยาวที่กลับมายังบล็อกที่กั้นขวางถึงจุดเริ่มต้น,
10011,ต่อสตริง,%1และ%2,
10012,แปลงค่าตัวเลขเป็นสตริง,แปลง%1เป็นสตริง,
