ID,名字,类型名称
ID,Name,TypeName
1,หน้า,เคลื่อนไหว
2,ซ้าย,เคลื่อนไหว
3,ขวา,เคลื่อนไหว
4,ถอย,เคลื่อนไหว
5,กระโดด,เคลื่อนไหว
6,เดินเงี่ยบ,เคลื่อนไหว
7,วิ่ง,เคลื่อนไหว
8,เป้,แถบไอเทม
9,ทิ้ง,แถบไอเทม
10,แถบลัด1,แถบไอเทม
11,แถบลัด2,แถบไอเทม
12,แถบลัด3,แถบไอเทม
13,แถบลัด4,แถบไอเทม
14,แถบลัด5,แถบไอเทม
15,แถบลัด6,แถบไอเทม
16,แถบลัด7,แถบไอเทม
17,แถบลัด8,แถบไอเทม
18,จัด,แถบไอเทม
19,กรอบแชท,เล่นหลายคน
20,หน้าโต้ตอบ,เล่นหลายคน
21,หน้าสกอร์,เล่นหลายคน
22,ผลงาน,ฟังก์ชั่น
23,แมพเล็ก,ฟังก์ชั่น
24,สัตว์ขี่,ฟังก์ชั่น
25,ตั้งค่าโหมดอิสระ,ฟังก์ชั่น
26,สถานะ,ฟังก์ชั่น
27,โกดัง,ฟังก์ชั่น
28,สกิน,ฟังก์ชั่น
29,เติมเงิน,ฟังก์ชั่น
30,เปลี่ยนคลิปกระสุน,แถบไอเทม
31,เปิด/ปิดเสียง,เล่นหลายคน
32,เปิด/ปิดไมค์,เล่นหลายคน
33,คลังแบบจำลอง,ฟังก์ชั่น
34,หน้าต่างนักพัฒนา,ฟังก์ชั่น
35,แถบลัดเปลี่ยนหน้าทางซ้าย,ฟังก์ชั่น
36,แถบลัดเปลี่ยนหน้าทางขวา,ฟังก์ชั่น
37,หน้าทรัพยากร,ฟังก์ชั่น
38,สคริปต์,ฟังก์ชั่น
39,แก้ไขขั้นสูง,ฟังก์ชั่น
40,ทริกเกอร์,ฟังก์ชั่น
