id,地形名称
id,Name
-1,จำนวนครั้งการสร้าง
1000,ทะเลตื้น
1001,ทุ่งหญ้า
1002,ทะเลทราย
1003,ป่าไม้
1004,หน้าผา
1005,หนองน้ำ
1006,ป่าสน
1007,ป่าทึบ
1008,แผ่นน้ำแข็ง
1009,มหาสมุทรน้ำแข็ง
1010,แม่น้ำน้ำแข็ง
1011,ดินแดง
1012,ชายฝั่งดินแดง
1013,เนินทราย
1014,ป่าเขา
1015,ป่าสนเขา
1016,ภูเขาน้ำแข็ง
1017,เขาป่าทึบ
1018,แม่น้ำ
1019,ชายหาด
1020,ขอบหน้าผา
1021,ทุ่งลาวา
1022,เกาะว่างเปล่า
1023,ลุ่มน้ำ
1024,ขอบลุ่มน้ำ
1025,ลุ่มน้ำไม้ไผ่
1026,ลุ่นน้ำต้นพีช
1027,ที่ราบ
1028,ทิวเขา
1029,ที่ราบแท่นบูชา
1030,ภูเขา
1031,เนินเขา
1032,เกาะดาวเคราะห์ว่างเปล่า
1033,เกาะดาวเคราะห์ว่างเปล่า
1034,เกาะดาวเคราะห์ว่างเปล่า
1035,เกาะดาวเคราะห์ว่างเปล่า
1036,เกาะดาวเคราะห์ว่างเปล่า
1037,เกาะดาวเคราะห์ว่างเปล่า
1038,ขอบเกาะว่างเปล่า
1039,ป่าดงดิบ
1040,ที่รายเกาะว่างเปล่า
1041,ทุ่งหญ้าเกาะว่างเปล่า
1042,ยอดภูเขาไฟหลัก
1043,ที่ราบภูเขาไฟ
1044,ภูเขาไฟ
1045,แม่น้ำลาวา
1046,ปล่องภูเขาไฟ
1047,โอเอซิส
1048,ทะเลสาบในทะเลทราย
1049,ทะเลลึก
1050,ชายฝั่งเกาะร้าง
1051,ใจกลางเกาะร้าง
1052,ชายฝั่งเกาะดินแดง
1053,ใจกลางเกาะดินแดง
1054,ชายฝั่งเกาะปะการัง
1055,ใจกลางเกาะปะการัง
1056,ป่าสนหิมะ
1057,ยอดเขาหลักของภูเขาหิมะ
1058,ยอดเขารองของภูเขาหิมะ
1059,เทือกเขาหิมะ
1060,ไหล่เขาของภูเขาหิมะ
1061,เชิงเขาของภูเขาหิมะ
1062,ไหล่เขาภูเขาหิมะของยอดเขารอง
1063,ทะเลสาบน้ำแข็ง
1064,หุบผา
1065,ขอบหุบผา
