购买ID,道具ID,泰语
ProductID,ID,Desc
1,24601,เมื่อซื้อแล้ว จะได้รับสิทธิ์การใช้อวตารส่วนใหญ่ฟรี 30 วัน
4,12856,ซื้อและใช้: แก้ไขชื่อเล่น 1 ครั้ง
8,12965,มีสมุดที่พาคุณวาร์ปกลับบ้านได้3เล่ม สะดวกมากๆ
13,10025,ประกอบด้วยตั๋ว 3 ใบ ที่สามารถวาปกลับไปยังตำแหน่งบ้านของดาวเคราะห์ปัจจุบันได้ทันที มันสะดวกมาก
10,1055,ตู้เซฟของเจ้าของห้อง มีรหัสที่เจ้าของห้องตั้งไว้ก็จะเปิดตู้ได้
11,1056,ตู้เซฟของเจ้าของห้อง มีรหัสที่เจ้าของห้องตั้งไว้ก็จะเปิดตู้ได้
5,845,แข็งแรงมาก ใช้ป้องกันหมีได้ดี สำหรับเจ้าของบ้านเท่านั้น
6,846,ทั้งใหญ่และแข็งแรง ใช้ป้องกันหมีได้ดี สำหรับเจ้าของบ้านเท่านั้น
2,12751,หลังจากใช้จะยิงดอกไม้ไฟลายกาชาปองขึ้นไปบนท้องฟ้า (ซื้อและรับ#c0AAA1A  ตั๋วกาชาปอง*1#n)
3,12752,หลังจากใช้จะยิงดอกไม้ไฟลายผลไม้ขึ้นไปบนท้องฟ้า (ซื้อและรับ #c0AAA1A  ตั๋วกิจกรรม*1#n)
7,12831,หลังจุดพลุไปยังท้องฟ้า จะมีEXPตกบ้าง
9,12750,ยิงพลุรอยยิ้มไปสู่ท้องฟ้า(เมื่อซื้อจะแถม#c5aea0aถั่วมินิ#nx300)
12,10023,หลังใช้งาน สามารถรับคะแนนบัตรผ่านซีซั่นได้
