角色ID,泰语,泰语,泰语,泰语,泰语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,หัวหน้าเผ่า,หัวหน้า ชอบผจญภัย บุกเบิกดินแดน,แข็งแกร่ง,เพิ่มดาเมจพื้นฐาน(ยังไม่เปิด),@Null@
2,หัวหน้าเผ่า,หัวหน้า ชอบผจญภัย บุกเบิกดินแดน,แข็งแกร่ง1,เพิ่มดาเมจพื้นฐาน5แต้ม,@Null@
3,หัวหน้าเผ่า,หัวหน้า ชอบผจญภัย บุกเบิกดินแดน,แข็งแกร่ง2,เพิ่มดาเมจพื้นฐาน10แต้ม,@Null@
4,ภรรยาหัวหน้าเผ่า,คุณแม่ เป็นนักล่าฝีมือดีของเผ่า,นักล่า,เพิ่มผลผลิตการล่า(ยังไม่เปิด),@Null@
5,ภรรยาหัวหน้าเผ่า,คุณแม่ เป็นนักล่าฝีมือดีของเผ่า,นักล่า1,ขณะตีคนป่า มีโอกาส25% ได้ของดรอป2เท่า,@Null@
6,ภรรยาหัวหน้าเผ่า,คุณแม่ เป็นนักล่าฝีมือดีของเผ่า,นักล่า2,ขณะตีคนป่า มีโอกาส25/15% ได้ของดรอป2/3เท่า,@Null@
7,คา คา,อาศัยอยู่ในชนเผ่าดึกดำบรรพ์มาตั้งแต่เด็ก ใช้ชีวิตในป่าได้อย่างชำนาญ,หัวแข็ง,ลดดาเมจจากระยะไกลที่ได้รับ(ยังไม่เปิด),@Null@
8,คา คา,อาศัยอยู่ในชนเผ่าดึกดำบรรพ์มาตั้งแต่เด็ก ใช้ชีวิตในป่าได้อย่างชำนาญ,หัวแข็ง1,ลดดาเมจจากระยะไกลที่ได้รับ20%,@Null@
9,คา คา,อาศัยอยู่ในชนเผ่าดึกดำบรรพ์มาตั้งแต่เด็ก ใช้ชีวิตในป่าได้อย่างชำนาญ,หัวแข็ง2,ลดดาเมจจากระยะไกลที่ได้รับ40%,@Null@
10,นี นี่,น้องสาว ขยันขันแข็งทำงาน,ขยัน,เพิ่มความเร็วการเก็บ(ยังไม่เปิด),@Null@
11,นี นี่,น้องสาว ขยันขันแข็งทำงาน,ขยัน1,เก็บเร็วขึ้น50%,@Null@
12,นี นี่,น้องสาว ขยันขันแข็งทำงาน,ขยัน2,เก็บเร็วขึ้น100%,@Null@
13,หมีซน,ทุกๆครอบครัวต่างก็มีเด็กซน แต่เอ๊ะ อะไรอยู่ในมือเขาน่ะ?,ระเบิด,ลดดาเมจจากระเบิดที่ได้รับ(ยังไม่เปิด),@Null@
14,หมีซน,ทุกๆครอบครัวต่างก็มีเด็กซน แต่เอ๊ะ อะไรอยู่ในมือเขาน่ะ?,ระเบิด1,ลดดาเมจจากระเบิดที่ได้รับ20%,@Null@
15,หมีซน,ทุกๆครอบครัวต่างก็มีเด็กซน แต่เอ๊ะ อะไรอยู่ในมือเขาน่ะ?,ระเบิด2,ลดดาเมจจากระเบิดที่ได้รับ40%,@Null@
16,กัปตันทอม,สมาชิกกองกำลังรักษาความสงบของโลก ถนัดทั้งการใช้ปืนและดำรงชีวิตในป่า,นักใช้ชีวิตในป่า,เพิ่มผลของอาหารและหายใจใต้น้ำ(ยังไม่เปิด),รับไอเทมปลดล็อกได้จากผลไม้ในสวน
17,กัปตันทอม,สมาชิกกองกำลังรักษาความสงบของโลก ถนัดทั้งการใช้ปืนและดำรงชีวิตในป่า,นักใช้ชีวิตในป่า1,เพิ่มค่าหิว/ค่าHPที่ฟื้นฟูจากอาหารและระยะเวลาหายใจใต้น้ำ15%,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
18,กัปตันทอม,สมาชิกกองกำลังรักษาความสงบของโลก ถนัดทั้งการใช้ปืนและดำรงชีวิตในป่า,นักใช้ชีวิตในป่า2,เพิ่มค่าหิว/ค่าHPที่ฟื้นฟูจากอาหารและระยะเวลาหายใจใต้น้ำ30%,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
19,สายลับลอร่า,นางฟ้าของบริษัทบริษัท รักษาความปลอดภัย ชอบเจญภัยที่เร้าใจ,ลางสังหรณ์,มีภูมิคุ้มกันต่อการดาเมจถึงชีวิต(ยังไม่เปิด),รับไอเทมปลดล็อกได้จากผลไม้ในสวน
20,สายลับลอร่า,นางฟ้าของบริษัท รักษาความปลอดภัย ชอบผจญภัยที่สะเทือนใจ,สังหรณ์,เมื่อความเสียหายที่ถ่ายมากกว่า 45 คะแนนและทำให้เกิดความตายมันจะงอกใหม่ทันที 25% ของมูลค่าสุขภาพ ช่วงเวลาทริกเกอร์คือ 5 นาที,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
21,สายลับลอร่า,นางฟ้าของบริษัท รักษาความปลอดภัย ชอบผจญภัยที่สะเทือนใจ,สังหรณ์1,เมื่อความเสียหายที่ถ่ายมากกว่า 25 คะแนนและทำให้เสียชีวิตมันจะฟื้นขึ้นมาทันทีด้วยสุขภาพ 50% และช่วงเวลาทริกเกอร์คือ 3 นาที,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
22,ซินดี้,นักบินของทีมนักโบราณคดี เฉียบแหลม มีไหวพริบ,สังหรณ์2,เสริมความสามารถการกระโดด LV2กระโดดได้2ช่วง(ยังไม่เปิด),รับไอเทมปลดล็อกได้จากผลไม้ในสวน
23,ซินดี้,นักบินของทีมนักโบราณคดี เฉียบแหลม มีไหวพริบ,กระโดดสูง1,ความสูงการกระโดด+50% หกล้มดาเมจ-10,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
24,ซินดี้,นักบินของทีมนักโบราณคดี เฉียบแหลม มีไหวพริบ,กระโดดสูง2,ความสูงการกระโดด+50% หกล้มดาเมจ-20 กระโดด2ช่วงได้,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
25,ปีเตอร์,เข้าเป็นสมาชิกทีมนักโบราณคดีเพื่อเขียนธีสิสที่สมบูรณ์แบบที่สุด,พบโดยบังเอิญ,ขณะทำลายโอ่ง มีโอกาสพบสิ่งของต่างๆ(ยังไม่เปิด),รับไอเทมปลดล็อกได้จากผลไม้ในสวน
26,ปีเตอร์,เข้าเป็นสมาชิกทีมนักโบราณคดีเพื่อเขียนธีสิสที่สมบูรณ์แบบที่สุด,พบโดยบังเอิญ1,ขณะทำลายโอ่ง มีโอกาส18% พบวัสดุสุดแรร์,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
27,ปีเตอร์,เข้าเป็นสมาชิกทีมนักโบราณคดีเพื่อเขียนธีสิสที่สมบูรณ์แบบที่สุด,พบโดยบังเอิญ2,ขณะทำลายโอ่ง มีโอกาส27%พบวัสดุสุดแรร์และบล็อกพิเศษเยอะกว่า,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
28,ศจ.สตีเวน,ศาสตราจารย์ของสถาบันวิทยาศาสตร์ปรากฏตัวที่นี่ได้ยังไง,ขยันเรียน,ขณะขุดหิน มีโอกาสพบสิ่งของต่างๆ(ยังไม่เปิด),รับไอเทมปลดล็อกได้จากผลไม้ในสวน
29,ศจ.สตีเวน,ศาสตราจารย์ของสถาบันวิทยาศาสตร์ปรากฏตัวที่นี่ได้ยังไง,ขยันเรียน1,ขณะขุดหิน มีโอกาส4% พบแร่และวัสดุสุดแรร์,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
30,ศจ.สตีเวน,ศาสตราจารย์ของสถาบันวิทยาศาสตร์ปรากฏตัวที่นี่ได้ยังไง,ขยันเรียน2,ขณะขุดหิน มีโอกาส6% พบแร่ วัสดุสุดแรร์และบล็อกพิเศษ,รับไอเทมปลดล็อกได้จากผลไม้ในสวน
