接口ID,泰语,泰语,泰语,泰语,泰语,泰语,泰语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,การจัดการเกม,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,จบเกม,local result = Game:doGameEnd()
10002,การจัดการเกม,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,ตั้งค่าพารามิเตอร์สคริปต์สำหรับการใช้งานที่กำหนดเอง,"local result = Game:setScriptVar(index, val)"
10003,การจัดการเกม,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",รับพารามิเตอร์สคริปต์ การใช้งานที่กำหนดเอง,local result = Game:getScriptVar(index)
10004,การจัดการเกม,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,อัปโหลดพารามิเตอร์สคริปต์ที่ตั้งค่าไว้,local result = Game:sendScriptVars2Client()
10005,การจัดการเกม,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",เพิ่มเอฟเฟ็กต์ทั่วโลก,local result = Game:addRenderGlobalEffect(path)
10006,การจัดการเกม,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,เอาเอฟเฟ็กต์ทั่วโลกออก,local result = Game:removeRenderGlobalEffect(effectid)
10007,การจัดการเกม,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,ตั้งค่าตำแหน่งเอฟเฟ็กต์ทั่วโลก,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,การจัดการเกม,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,ตั้งค่าการปรับสเกลเอฟเฟกต์ทั่วโลก,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,การจัดการเกม,msgBox,Game:msgBox(msg),,,กล่องข้อความ,local result = Game:msgBox(msg)
20001,การจัดการโลก,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",ใช่กลางวันหรือไม่,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,การจัดการโลก,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",ใช่เกมที่กำหนดเองหรือไม่,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,การจัดการโลก,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",ใช่โหมดสร้างสรรค์หรือไม่,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,การจัดการโลก,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",โหมดสร้างสรรค์หลายคนหรือโหมดแก้ไขที่กำหนดวิธีการเล่น,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,การจัดการโลก,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",โหมดจำกัด,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,การจัดการโลก,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",โหมดอิสระของโหมดผจญภัย,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,การจัดการโลก,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",โหมดเล่นเดี่ยวหรือโหมดอิสระของโหมดผจญภัย,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,การจัดการโลก,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",โหมดผจญภัยที่สลับจากโหมดสร้างสรรค์,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,การจัดการโลก,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",โหมดแก้ไขที่กำหนดวิธีการเล่น,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
