ID,任务名
ID,Name
1001,เอาชนะความว่างเปล่า!
1002,เพื่อรุ่งอรุณ
1003,นักสำรวจคนใหม่
1004,การเรียนรู้ไม่มีที่สิ้นสุด
1005,นักสำรวจที่มีทักษะ
1006,วิศวกรห่วงโซ่ดวงดาว
1007,ไขปริศนาในป่าดงดิบ
1008,การทดสอบชั่วนิรันดร์
1009,ช่วยเหลือ'ดวงตามนุษย์หิน
2001,ช่างคราฟต์เครื่องมือ
2002,ผู้พิทักษ์ป่าไม้
2003,ดอกไม้กระซิบ
2004,ยามไร่
2005,เรื่องการเลี้ยงสัตว์
2006,มาสเตอร์การฝึกสัตว์
2007,ความรู้เบื้องต้นเกี่ยวกับการทำอาหาร
2008,เชฟระดับสูง
2009,ซุปเปอร์เชฟ
2010,ศิลปินผู้ยิ่งใหญ่
2011,ตำนานการตกปลา
2012,ผู้เชี่ยวชาญด้านการสำรวจแร่
3001,ช่างคราฟต์อาวุธ
3002,ช่างคราฟต์ชุดเกราะ
3003,ผู้ปรารถนาพลังรูน
3004,นักรบบ้าคลั่ง
3005,นักล่าสัตว์ป่า
4001,พันธมิตรที่เชื่อถือได้
4002,ร่องรอยการมีอยู่ของฉัน
4003,นักเดินทางในทะเลทราย
4004,"30,000 ไมล์ใต้ท้องทะเล"
4005,บันทึกท่องขั้วโลก
4006,วงจรพลังงานสตาร์ (ลงทะเบียน)
4007,ยานพาหนะเครื่องกล (ลงทะเบียน)
