ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,เปลี่ยนตำแหน่งเป็นขอบเขต,ใช้ทั่วไป,"ขอบเขตที่ถือ|@1|เป็นจุดศูนย์กลาง และขนาดคือ(|@2|,|@3|,|@4|)"
10002,ขอบเขตเคลื่อนที่,ใช้ทั่วไป,"@1|เลื่อนที่ตามแกนพิกัด(|@2|,|@3|,|@4|)"
10003,ขยายขอบเขต,ใช้ทั่วไป,"ขยายขนาดสามแกนของ|@1|X|@2|,Y|@3|,Z|@4|บล็อก"
10005,พิกัดตำแหน่งที่กำหนด,ใช้ทั่วไป,ตำแหน่งของค่าพิกัดX|@1|Y|@2|Z|@3
10006,ตำแหน่งเลื่อนที่(เปลี่ยนตำแหน่งเดิม),ใช้ทั่วไป,"@1|เลื่อนที่ตามแกนพิกัด(|@2|,|@3|,|@4|)"
10007,ตำแหน่งศูนย์กลางของขอบเขต,ใช้ทั่วไป,ตำแหน่งศูนย์กลางของ|@1
10008,ตำแหน่งสุ่มของขอบเขต,ใช้ทั่วไป,ตำแหน่งสุ่มของ|@1
10009,เวลาเครื่องจับเวลา,ใช้ทั่วไป,เวลาของ|@1
10010,ความยาวของรังสีที่กำหนดทิศทาง,ใช้ทั่วไป,เริ่มจาก|@1| ยิงรังสีความยาว|@3|บล็อกไปยัง|@2| ส่งคืนความยาวของรังสีระหว่างบล็อกกีดกันและตำแหน่งเริ่มต้น
10011,การเชื่อมต่อของชุดตัวอักษร,ใช้ทั่วไป,@1| และ |@2
10012,เปลี่ยนค่าตัวเลขเป็นชุดตัวอักษร,ใช้ทั่วไป,@1|เปลี่ยนเป็นชุดตัวอักษร
10013,เปรียบเทียบพีชคณิตบูลีน,ใช้ทั่วไป,@1|คือ|@3||@2
10014,เปรียบเทียบค่าตัวเลข,ใช้ทั่วไป,@1||@2||@3
10015,ประเภทบล็อกที่โดนรังสี,ใช้ทั่วไป,เริ่มจาก|@1| ยิงไปยังทิศทาง|@2|ความยาว|@3|บล็อก แสดงประเภทบล็อกที่กีดขวางรังสี
10016,ทิศทางระบบพิกัดสามแกนสัมพันธ์,ใช้ทั่วไป,ทิศทางของX|@2|，Y|@3|，Z|@4|ที่|@1|หันหน้า
10017,ทิศทางระบบพิกัดทรงกลมสัมพันธ์,ใช้ทั่วไป,ทิศทางของมุมทิศ|@2|，มุมเงย|@3|ที่|@1|หันหน้า
10018,เลือกเป้าหมายผู้เล่น,ใช้ทั่วไป,เลือกเป้าหมาย|@1
10019,เลือกเป้าหมายสิ่งมีชีวิต,ใช้ทั่วไป,เลือกเป้าหมาย|@1
10020,เลือกเป้าหมายที่จะโยน,ใช้ทั่วไป,เลือกเป้าหมาย|@1
10021,เลือกเป้าหมายของดรอป,ใช้ทั่วไป,เลือกเป้าหมาย|@1
10022,แปลงท่วงทำนองเสียงเป็นตัวเลข,ใช้ทั่วไป,แปลง|@1|เป็นตัวเลข
10023,เปรียบเทียบชุดตัวอักษร,ใช้ทั่วไป,@1||@2||@3
10024,ตำแหน่งเลื่อนที่(ไม่เปลี่ยนตำแหน่งเดิม),ใช้ทั่วไป,"@1|เลื่อนที่ตามแกนพิกัด(|@2|,|@3|,|@4|)"
10025,ค่าบูลีน,ใช้ทั่วไป,|@1
10026,ราคา,ใช้ทั่วไป,|@1
10027,สายอักขระ,ใช้ทั่วไป,|@1
10028,ประเภทลักษณะ,ใช้ทั่วไป,|@1
10029,กลุ่มบูลีน,ใช้ทั่วไป,|@1
10030,กลุ่มหมายเลข,ใช้ทั่วไป,|@1
10031,กลุ่มสตริง,ใช้ทั่วไป,|@1
10032,รับจำนวนค่าของกลุ่ม,ใช้ทั่วไป,รับค่าจำนวนใน |@1
10033,รับค่าของค่าในกลุ่ม,ใช้ทั่วไป,รับค่าจำนวนของ |@2| ใน |@1
10034,รับ ID ของค่าในกลุ่ม,ใช้ทั่วไป,รับ ID ของ |@2| ใน |@1
10035,ตรวจสอบว่ามีค่าอยู่ในกลุ่มหรือไม่,ใช้ทั่วไป,@2| มีอยู่ใน |@1
10036,ตรวจสอบว่ามี ID เฉพาะในกลุ่มหรือไม่,ใช้ทั่วไป,ตรวจสอบว่า ID |@2| ตำแหน่งใน |@1| มีอยู่.
10037,ตัดสตริง,ใช้ทั่วไป,ตัด |@2| - |@3| สตริงตำแหน่งของ|@1
10038,แปลงสตริงเป็นจำนวนเต็ม,ใช้ทั่วไป,@1| แปลงเป็นจำนวนเต็ม
10039,รับเวลาอุปกรณ์โฮสต์,ใช้ทั่วไป,รับเวลา |@1|ของอุปกรณ์
10040,รับการตั้งค่าเวลาอุปกรณ์หลักที่สมบูรณ์,ใช้ทั่วไป,รับการตั้งค่าเวลาอุปกรณ์หลักแบบเต็ม
10041,ประเภทบล็อกแบบสุ่ม,ใช้ทั่วไป,ประเภทบล็อกแบบสุ่ม
10042,แบ่งสตริง,ทั่วไป,แยก|@1|ด้วยตัวคั่น|@2| และเลือกส่วนที่|@3|หลังการแยก
10043,รับสตริงที่มีเครื่องหมายที่กำหนด,ทั่วไป,รับเนื้อหาของ |@1| ด้วยคีย์ |@2|
10044,รับเวลาเซิร์ฟเวอร์เกม,ทั่วไป,รับเวลา|@1|ของเวลาเซิร์ฟเวอร์เกม
10045,แปลงไทม์แสตมป์เป็นหน่วยเวลา,ทั่วไป,แปลงไทม์แสตมป์|@1|เป็น|@2
10046,รับเวลาเซิร์ฟเวอร์ทั้งหมด,ทั่วไป,รับเวลาเซิร์ฟเวอร์ทั้งหมด
10047,แปลงไทม์แสตมป์เป็นเวลาเต็ม,ทั่วไป,แปลงไทม์แสตมป์|@1|เป็นเวลาเต็ม
20001,การคำนวณเชิงตัวเลข,คณิตศาสตร์,@1||@2||@3
20002,เอาเศษเหลือ,คณิตศาสตร์,@1|Mod|@2
20003,หมายเลขสุ่ม,คณิตศาสตร์,กำเนิดหมายเลขสุ่มระหว่าง|@1|กับ|@2
20004,ค่าสูงสุด,คณิตศาสตร์,@3|ของ|@1|และ|@2
20005,หารลงตัว,คณิตศาสตร์,@1|หาร|@2|ลงตัว
20006,ค่าพิกัดของตำแหน่ง,คณิตศาสตร์,ค่าพิกัด|@2|ของ|@1
20007,มุมแนวนอนระหว่างตำแหน่ง,คณิตศาสตร์,มุมแนวนอนระหว่าง|@1|และ|@2
20008,มุมแนวตั้งระหว่างตำแหน่ง,คณิตศาสตร์,มุมแนวตั้งระหว่าง|@1|และ|@2
20009,การยกกำลัง,คณิตศาสตร์,ยกกำลัง|@2|ของ|@1
20010,กรณฑ์,คณิตศาสตร์,กรณฑ์ที่|@2|ของ|@1
20011,ค่าสัมบูรณ์,คณิตศาสตร์,ค่าสัมบูรณ์ของ|@1
20012,ฟังก์ชั่นตรีโกณเมตริก,คณิตศาสตร์,@1||@2||@3
20013,ฟังก์ชันลอการิทึมฐานคงที่,คณิตศาสตร์,@1||@2
20014,ฟังก์ชันลอการิทึมฐานไม่คงที่,คณิตศาสตร์,Log|@1||@2
20015,เอาจำนวนเต็ม,คณิตศาสตร์,เอาจำนวนเต็มของ|@1|ด้วยวิธี|@2
20016,การเปลี่ยนแปลงระหว่างมุมและเรเดียน,คณิตศาสตร์,เปลี่ยน|@1|เป็น|@2
20017,AND (และ),คณิตศาสตร์,@1|และ|@2
20018,OR (หรือ),คณิตศาสตร์,@1|หรือ|@2
20019,Exclusive OR,คณิตศาสตร์,@1|Exclusive OR|@2
20020,NOT (นิเสธ),คณิตศาสตร์,ไม่ใช่|@1
20021,การเปรียบเทียบค่าสุ่ม,คณิตศาสตร์,@1||@2||@3
30001,เวลาปัจจุบันในเกม,เกม,เวลาปัจจุบันในเกม
30002,ทีมที่กำหนดอันดับ,เกม,ทีมที่อันดับ|@1
30003,ผลคูณแรงโน้มถ่วงปัจจุบัน,เกม,Current gravity multiples
40001,ลักษณะของทีม,ทีม,@2|ของ|@1
40002,เปรียบเทียบทีม,ทีม,@1|คือ|@3||@2
50001,ตำแหน่งของผู้เล่น,ผู้เล่น,ตำแหน่งของ|@1
50002,รับตำแหน่งเป้าเล็งของผู้เล่น,ผู้เล่น,ตำแหน่งเป้าเล็งของ|@1
50003,ลักษณะของผู้เล่น,ผู้เล่น,@2|ของ|@1
50004,จำนวนไอเทมที่มีอยู่,ผู้เล่น,จำนวน|@2|ที่|@1|มีอยู่
50006,มุมที่ผู้เล่นหันหน้า,ผู้เล่น,มุมที่|@1|หันหน้า
50007,ชื่อของผู้เล่น,ผู้เล่น,ชื่อของ|@1
50008,การตัดสินบุคคล,ผู้เล่น,@1|คือ|@3||@2
50009,การตัดสินกลุ่มผู้เล่น,ผู้เล่น,@1|อยู่ใน|@3||@2
50010,การตัดสินขอบเขต,ผู้เล่น,@1|อยู่ใน|@3||@2
50011,การตัดสินสถานะ,ผู้เล่น,@1|มีสถานะ|@3||@2
50012,เจ้าของห้อง,ผู้เล่น,เจ้าของห้อง
50018,ทีมของผู้เล่น,ผู้เล่น,ทีมของ|@1
50019,ตัวแปรส่วนตัวของผู้เล่น(ขอบเขต),ผู้เล่น,@2|ของ|@1|(ขอบเขต)
50020,ตัวแปรส่วนตัวของผู้เล่น(ตำแหน่ง),ผู้เล่น,@2|ของ|@1|(ตำแหน่ง)
50021,ตัวแปรส่วนตัวของผู้เล่น(มูลค่า),ผู้เล่น,@2|ของ|@1|(มูลค่า)
50022,ตัวแปรส่วนตัวของผู้เล่น(ชุดตัวอักษร),ผู้เล่น,@2|ของ|@1|(ชุดตัวอักษร)
50023,ตัวแปรส่วนตัวของผู้เล่น(พีชคณิตบูลีน),ผู้เล่น,@2|ของ|@1|(พีชคณิตบูลีน)
50024,ตัวแปรส่วนตัวของผู้เล่น(ผู้เล่น),ผู้เล่น,@2|ของ|@1|(ผู้เล่น)
50025,ตัวแปรส่วนตัวของผู้เล่น(กลุ่มผู้เล่น),ผู้เล่น,@2|ของ|@1|(กลุ่มผู้เล่น)
50026,ตัวแปรส่วนตัวของผู้เล่น(ประเภทบล็อก),ผู้เล่น,@2|ของ|@1|(ประเภทบล็อก)
50027,ตัวแปรส่วนตัวของผู้เล่น(ประเภทไอเทม),ผู้เล่น,@2|ของ|@1|(ประเภทไอเทม)
