序号,泰语
No,Name
1,UID
2,รหัสผ่าน
3,pluginres\btn_text_tha.png
4,จดจำ UID
5,ฉันเห็นด้วย
6,pluginres\btn_policy_tha.png
7,กรุณาเลือกคำถาม
8,กรุณากรอกคำตอบ
9,pluginres\btn_num_tha.png
10,คนที่ทำให้คุณประทับใจ
11,อาหารโปรดของคุณ
12,สัตว์ที่คุณชอบ
13,ที่ที่คุณอยากไปมากที่สุด
14,ของขวัญชิ้นแรกของคุณ
15,เลขนำโชคของคุณ
16,Quick Play
17,รหัสผ่านไม่ถูกต้อง
18,กำลังเชื่อมต่ออยู่
19,pluginres\ty4.png
20,pluginres\btn_quickplay_en_h.png
21,pluginres\btn_quickplay_en_n.png
22,pluginres\ty1.png
23,pluginres\ty2.png
24,pluginres\ty3.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,รูปแบบเลขไอดีไม่ถูกต้อง
29,กรุณาใส่รหัสผ่านของคุณ
30,คุณยังไม่ได้ตกลงกับข้อตกลงผู้ใช้
31,กรุณาใส่คำตอบของคุณ
32,กำลังอัปเดต คืบหน้า: %d%%
33,pluginres\ty4_h.png
34,pluginres\ty4_s.png
35,14
36,เตือนความปลอดภัย
37,UID:%s ของคุณได้รับการตั้งค่ารหัสผ่านแล้ว เพื่อความปลอดภัยของบัญชีของคุณ โปรดใช้รหัสผ่านเพื่อเข้าสู่เกม!
38,เข้าสู่ระบบ
39,ยืนยันการเข้าสู่ระบบ
40,มือถือ
41,อีเมล์
42,ป้อนรหัสยืนยัน
43,การยืนยันมือถือ
44,การยืนยันอีเมล
45,ส่ง
46,เพื่อความปลอดภัยของบัญชีของคุณ โปรดยืนยันการเข้าสู่ระบบ
47,การยืนยันล้มเหลว โปรดตรวจสอบอีเมลและรหัสยืนยัน
48,การยืนยันล้มเหลว โปรดตรวจสอบเบอร์โทรและรหัสยืนยัน
49,ส่ง（%d）
50,ส่งรหัสยืนยันแล้ว
51,บัญชีที่ข้ามระบบ ล็อกอินไม่ได้
