ID,任务名
ID,Name
1001,Победите пустоту!
1002,Усердно работай до рассвета
1003,Новый исследователь
1004,Бесконечное обучение
1005,Опытный исследователь
1006,Инженер Starlink
1007,Затерянные в тропическом лесу
1008,Вечное испытание
1009,"Супер ""каменное"" пустое спасение"
2001,Инструментальный мастер
2002,Лесная гвардия
2003,Цветочный болтун
2004,Наблюдатель за сельскохозяйственными угодьями
2005,История животноводства
2006,Мастер Тренер
2007,Введение в кулинарию
2008,Старший шеф-повар
2009,Гранд Шеф
2010,Великий художник
2011,Легенда о рыбалке
2012,Горный эксперт
3001,Оружейный мастер
3002,Бронетехника
3003,Rune Power Desirer
3004,Берсерк
3005,Охотник на дикую природу
4001,Надежный партнер
4002,Следы моего существования
4003,Шаюань Путешественник
4004,30 000 миль под водой
4005,Полярная экспедиция
4006,Звездная цепь (зарезервирована)
4007,Механическое транспортное средство (зарезервировано)
