ID,描述
ID,Desc
1,В текущем состоянии нельзя спать
2,"Здесь нельзя спать, тебе нужна кровать"
3,Нельзя спать днем
4,Слишком далеко от кровати
5,"Здесь слишком жарко, чтобы использовать ведро"
6,Невозможно разместить кровать на Фламасе
7,Необходимо больше боеприпасов
8,"Идет загрузка/скачивание карты. Пожалуйста, повторите попытку позже"
9,"Идет загрузка карты. Пожалуйста, повторите попытку позже"
10,"Количество сохранений достигло верхнего предела, удалите ненужные сохранения карт"
11,"Вы успешно поделились картой. Расскажите друзьям, пусть скачивают!"
12,"Соединение прервано, расшаривание проостановлено. Пожалуйста, проверьте подключение и повторите попытку"
13,"Пожалуйста, выберите сначала карту и войдите"
14,"Ваш запрос обрабатывается. Вы не сможете зайти на карту, пока не закончите ее загрузку."
15,Загрузка карты не выполнена. Нельзя зайти
16,"Удалить файл сохранения, который вы загружаете?"
17,"Вы уверены, что хотите навсегда удалить эту карту?#cef2d2d (Резервная копия карты также будет удалена)
(Невозможно восстановить после удаления)#n"
18,"Нет подключения к интернету. Пожалуйста, поделитесь картой через Wifi"
19,"Нет подключения к интернету. Пожалуйста, скачайте карту через Wifi"
20,"Нет подключения к интернету. Пожалуйста, обновите карту через Wifi"
21,"Предупреждение: Вы используете мобильный интернет, игра и голосовые сообщения можгу расходовать трафик, продолжить? 
(Советуем подсоединиться к Wifi)"
22,Загрузка прервана из-за нестабильной сети. Переподключитесь и повторите попытку.
23,"Похоже, пока нет больше карт. Поделитесь своей картой!"
24,Вы не подписались на большее количество карт
25,"Кол-во Моих подписок достигло лимита. Отпишитесь от некоторых карт, прежде чем подписываться на новые"
26,"Карта успешно добавлена, просмотрите в Моих подписках"
27,Отменить подписку?
28,"Количество загруженных сохранений достигло лимита. Удалите некоторые карты, прежде чем добавлять новые"
29,Не удалось загрузить карту. Проверьте сетевое подключение и повторите попытку
30,Вы уже оценили эту карту сегодня. Вы можете оценивать раз в день
31,"Количество лайков на сегодня исчерпано, попробуйте завтра"
32,Небольшая карта: Создайте ограниченную по размерам карту со случайным рельефом. Подходит для устройств средней мощности
33,Сверхбольшая карта: Создайте карту с неограниченным рельефом. Подходит для более мощных устройств
34,Карта с плоским рельефом: Создайте карту с плоским рельефом. Подходит для сооружения постройки
35,Выберите предмет для создания!
36,"Вы уверены, что хотите удалить этого друга?"
37,"Сеть нестабильна, повтрите попытку позже"
38,Вы уже друзья
39,Количество друзей достигло верхнего предела
40,Вы не можете добавить себя в друзья
