签到类型/1七天 2每周 3国庆活动,天数/周几,俄语,俄语
SignInType,WhatDay,RewardName,RewardTips
1,1,Дождь фейерверков,Уже на складе
1,2,Сейф,Уже на складе
1,3,Звездный подарок,Уже на складе
1,4,Звездный фейерверк (М),Уже на складе
1,5,Дождь фейерверков,Уже на складе
1,6,Звездный подарок,Уже на складе
1,7,Гранд Пакет Мини,Уже на складе
2,1,Пакет Счастья Яйца,Уже на складе
2,2,Пакет нарядов,Уже на складе
2,3,Звездный подарок,Уже на складе
2,4,Пакет нарядов,Уже на складе
2,5,Звездный подарок,Уже на складе
2,6,Мини боб,Уже добавлен к аккаунту
2,7,Мини боб,Уже добавлен к аккаунту
3,1,Звездный подарок,Уже на складе
3,2,Пакет Мини бобов,Уже на складе
3,3,Свиток телепорта,Уже на складе
3,4,Пакет Мини бобов,Уже на складе
3,5,Звездный фейерверк,Уже на складе
3,6,Пакет Мини бобов,Уже на складе
3,7,Плащ Мини,Уже на складе
3,8,Пакет Мини бобов,Уже на складе
3,9,Пакет Мини бобов,Уже на складе
3,10,Пакет Мини бобов,Уже на складе
3,11,Пакет Мини бобов,Уже на складе
3,12,Карта наряда,Уже на складе
3,13,Пакет Мини бобов,Уже на складе
3,14,Пакет Мини бобов,Уже на складе
3,15,Пакет Мини бобов,Уже на складе
3,16,Пакет Мини бобов,Уже на складе
3,17,Пакет Мини бобов,Уже на складе
3,18,Пакет Мини бобов,Уже на складе
3,19,Пакет Мини бобов,Уже на складе
3,20,Берет,Уже на складе
