ID,名字,Desc
ID,Name,Desc
1053,,
1054,,
1055,,
1056,Трафаретная аппликация,Заставить персонажа отображать аппликации на экране
1057,Остановить действие,Заставить персонажа останавливаться на текущем кадре
1058,Изменить текстуру,Изменить текстуру персонажа на ледяной материал
1059,Специальный эффект льда,Добавить персонажу спецэффекты льда
1060,Завершить изменение температуры,Установить температуру персонажа на @2 при завершении состояния
1061,Завершить воспроизведение спецэффектов и звуковых эффектов,Воспроизводить спецэффекты и звуковые эффекты при завершении статуса
1062,Температура влияет на продолжительность,Длительность статуса изменяется в зависимости от температуры окружающей среды.
1063,Снять статус при получении кумулятивного урона,"Статус снимается, когда суммарный урон @1 достигает @2"
1064,Изменение температуры с течением времени,Изменение температуры персонажа на @2 каждые @1 с
1065,Видимое изменение температуры,"Изменить температуру окружающей среды, воздействующей на персонажа, на @1"
1066,Изменение температуры окружающей среды,Повысить температуру окружающей среды в пределах @1 сетки вокруг персонажа на @2
1067,Конденсация и таяние блоков,Заставить воду замерзнуть в пределах @1 сетки вокруг персонажа с разницей в высоте на @2 сетки выше и ниже
1068,Случайное образование блоков поблизости,В цилиндрической области вокруг игрока с радиусом @1 и высотой @2 каждые @3 с генерировать @4 на верхней поверхности случайного блока
1069,что будет предоставлять нападающему состояние.,"При получении @1 атаки есть @2% вероятность, что нападающий получит @3,"
1070,Изменение множителя восстановления еды,@1Повышение@2восстановительной способности еды@3
