姓或形容词，显示在前，可以为空，男女都会随机与名匹配,名，只男角色随机，显示在后,名，只女角色随机，显示在后
Surname,Male,Female
Абботин,,
Абидозавр,,
Абриктозавр,,
Авацератопс,,
Авлакоцефалодон,,
Австралобарбар,,
Австрораптор,,
Агами,,
Агилизавр,,
Агносфитис,,
Агономал,,
Агустиния,,
Адазавр,,
Аделоспондил,,
Адинотерий,,
Аист,,
Акантода,,
Акантолида,,
Акантофтальмус,,
Акмеопс,,
Альциона,,
Амазон,,
Анаконда,,
Анчоус,,
Арлекин,,
Астрильд,,
Бабаксы,,
Бабка,,
Бабуин,,
Базилозавр,,
Байдабатыр,,
Баланерпетон,,
Балянус,,
Бандикота,,
Барабуля,,
Барасинга,,
Барбус,,
Барилямбда,,
Барозавр,,
Барсук,,
Бархатница,,
Батимастер,,
Батодоноид,,
Батрахозавр,,
Баурузух,,
Бегемот,,
Бегунчик,,
Безглазка,,
Бейза,,
Бекас,,
Белозубка,,
Бизон,,
Ботропс,,
Бугенвиля,,
Бурозубка,,
Бюльбюль,,
Валёк,,
Вальдшнеп,,
Ванесса,,
Варан,,
Варроа,,
Вдовушка,,
Веероносец,,
Вейгельтизаврид,,
Велоцираптор,,
Венерида,,
Вентогирус,,
Верблюдка,,
Веретенник,,
Вертячка,,
Веслонос,,
Веспина,,
Ветуликолия,,
Виваксозавр,,
Вилорог,,
Виндермерия,,
Вихляй,,
Власоед,,
Водобродка,,
Водомерка,,
Воробей,,
Выдра,,
Гавиал,,
Гагара,,
Гадрозаврид,,
Гадропитек,,
Газозавр,,
Галаго,,
Галактицида,,
Галикт,,
Галлимим,,
Галобатес,,
Гамбела,,
Гапалодект,,
Гарибальдия,,
Гарпактикоида,,
Гастерохизма,,
Гасторнис,,
Гаттерия,,
Гедихрум,,
Абелизавр,,
Абиссобротула,,
Аброзавр,,
Авдотка,,
Авлацида,,
Австралопитек,,
Австрохейрус,,
Агаонид,,
Агиртида,,
Агнотозой,,
Агрозавр,,
Агути,,
Аддакс,,
Адеопаппозавр,,
Адский вампир,,
Айолот,,
Акантокнемид,,
Акантостега,,
Акара,,
Акула,,
Амадина,,
Амбистома,,
Антилопа,,
Ара,,
Арноглосса,,
Афалина,,
Бабблер-капуцин,,
Бабочка,,
Баваризавр,,
Базилозаврид,,
Баклан,,
Баланоглосс,,
Бананница,,
Бандикут,,
Баран,,
Барбурофелида,,
Барибал,,
Барионикс,,
Барракуда,,
Бартрамия,,
Батагур,,
Батинеллацея,,
Батофил,,
Батрахотом,,
Бафетида,,
Бегун,,
Бежука,,
Беззубка,,
Бейра,,
Бекасница,,
Белокровка,,
Блестянка,,
Броненосец,,
Буйвол,,
Бурундук,,
Вакка,,
Валлаби,,
Вампироморф,,
Ванклевея,,
Варанопс,,
Василиск,,
Вегавис,,
Веероус,,
Велифер,,
Вендицератопс,,
Венерин пояс,,
Венюковия,,
Верветка,,
Вертигинида,,
Верховка,,
Веснянка,,
Вестлотиана,,
Вечерница,,
Викториапитек,,
Вилохвост,,
Виреон,,
Влаголюб,,
Воалаво,,
Водожук,,
Волк,,
Ворон,,
Вьюрои,,
Гага,,
Гагарка,,
Гадрозаврин,,
Гадюка,,
Гаичка,,
Галаксиина,,
Галеодида,,
Галиктида,,
Галлица,,
Галстучник,,
Гамбузия,,
Гаплозома,,
Гарна,,
Гарпия,,
Гастеруптиида,,
Гасторнитид,,
Гаур,,
Геерия,,
Абелизаврид,,
Абия,,
Аброния,,
Авимим,,
Аврорина,,
Австриадактиль,,
Агама,,
Агатаум,,
Агностида,,
Агоноксенид,,
Агуйа,,
Агухацератопс,,
Аделобазилевс,,
Адерида,,
Аимофила,,
Айракораптор,,
Акантолабрус,,
Акантофолис,,
Акарихт,,
Альбатрос,,
Амазилия,,
Амфисбена,,
Анциструс,,
Аратинга,,
Астианакс,,
Афодий,,
Бабирусса,,
Бабочница,,
Багацератопс,,
Байбак,,
Бактрозавр,,
Балобан,,
Бананоед,,
Бантенг,,
Барапазавр,,
Барбурула,,
Барида,,
Баритерий,,
Барсболдия,,
Барханный кот,,
Батигнат,,
Батиопсис,,
Батрахогнат,,
Баурия,,
Баэтида,,
Бегунок,,
Безглазик,,
Безушник,,
Бекард,,
Белка,,
Бельдюга,,
Бобр,,
Брохис,,
Буревестник,,
Бычерыл,,
Валаамка,,
Вальватида,,
Вандеру,,
Варакушка,,
Варанопсеид,,
Ваху,,
Веерокрылка,,
Веерохвостка,,
Велия,,
Вендия,,
Венерино ушко,,
Верблюд,,
Веретеница,,
Вертишейка,,
Веслоног,,
Весперида,,
Ветлугазавр,,
Виваксия,,
Викунья,,
Вилохвостк,,
Вислокрылка,,
Власоглав,,
Вобла,,
Водолюб,,
Волкозуб,,
Ворона,,
Вьюрок,,
Гага-гребенушка,,
Гадрозавр,,
Гадрозавроид,,
Газель,,
Гайнозавр,,
Галаксия,,
Галехира,,
Галка,,
Галлюцигения,,
Гамадрил,,
Гаммарус,,
Гаплокантозавр,,
Гарпаголест,,
Гаршнеп,,
Гастония,,
Гастрофолис,,
Гвоздарь,,
Гекарцин,,
