ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,Поместите священный плод,"Поместите@item_587 #@1 на пьедестал жизни #r (""Священный плод"" представляет собой самую блестящую технологию генетической модификации, когда-либо разработанную ""Прошлым"").",Место@item_587 на Камне Жизни
1001002,Поместите пламенный сломанный меч,"Место@item_588 #@1 на #r Камня Мужества (""Осколотый пламенем меч"" представляет собой символ долгосрочного сотрудничества между ""Бывшим"" и ""Черным драконом"").",Место@item_588# на Камне Мужества
1001003,Положите глаз каменного человека,"Место@item_589 #@1 на #r Камня Мудрости (""Глаз каменного человека"" представляет собой искусственный интеллект, которым ""Старик"" когда-то гордился.)",Место@item_589 # на Камне Мудрости
1001004,Призрак боевой пустоты!,Победите Призрака Пустоты! #r (Для мини-вселенной пути назад нет!),Победите призрак пустоты!
1001005,Свяжитесь с пустотой,Получите@item_11333 ##r (Это... новое начало?...),Получить@item_11333 #
1002001,Вернуться в Mira,"Наконец, они благополучно прибыли на планету. #r но когда они прорвали блокаду звездной цепи, вся команда была разбита. Я не знаю, есть ли другие партнеры, прибывшие на планету?",Прибытие в Mira
1002002,мне нужны камни,"Соберите@item_110# Get@item_11627#@1 #r (долго нажмите камень, чтобы собрать, вы также можете открыть панель управления, process@item_104# get@item_11627# на интерфейсе обработки)",Захват@item_110# Захват@item_11627#@1
1002003,Больше материала,"Собирайте ветки, чтобы получить@item_11006#@1#r (долго нажимайте на ветки, чтобы собрать, некоторые ветки деревьев растут на относительно высоком месте, каким образом вы можете подтолкнуть себя)",Получить@item_11006#@1 с дерева
1002004,Начните хорошую жизнь ~,Используйте@item_11627# и@item_11006# для обработки@item_11002#@1#r (удобные инструменты могут быстрее собирать ресурсы),Открытая панель управления Обработка@item_11002#@1
1002005,лесоруб,"Ручной@item_11002#, собирайте сундуки! Получите@item_11323#@1#r (@ item_11323# имеет решающее значение в предстоящем путешествии)",Коллекция рубки деревьев@item_11323#@1
1002006,Строительный эксперт,"Используйте@item_11323 # для обработки@item_206 #@1 #r (кроме@item_206 #, большинству деревянных реквизитов нужно использовать@item_11323 #, вы можете собрать больше)",Обработка@item_206 #@1
1002007,Место для жизни,"Место@item_206 #@1 #r (кажется, рядом со звездной станцией только что появился сломанный дом, возможно, его можно отремонтировать с помощью@item_206 #, так что вам не нужно беспокоиться о жизни)",Место@item_206 #@1
1002008,Arm Yourself,"Use @item_11323# and @item_11627# to craft @item_12012#@1#r (Surviving in the wilderness can be dangerous, so having a handy weapon is essential!)",Craft @item_12012#@1
