id,地形名称
id,Name
-1,Попытки
1000,Мелкое море
1001,Степь
1002,Пустыня
1003,Лес
1004,Утес
1005,Болото
1006,Хвойный лес
1007,Джунгли
1008,Ледник
1009,Замерзший океан
1010,Замерзшая река
1011,Красная почва
1012,Побережье Красной Земли
1013,Песчаная дюна пустыни
1014,Лесной холм
1015,Хвойный лес холм
1016,Айсберг
1017,Холм в джунглях
1018,Река
1019,Пляж
1020,Край утёса
1021,Земля лавы
1022,Небесный остров
1023,Бассейн
1024,Край бассейна
1025,Бассейн бамбуковой рощи
1026,Бассейн персикового дерева
1027,Равнина
1028,Холм
1029,Алтарная равнина
1030,Высокая гора
1031,Холмы
1032,Планета Небесный Остров
1033,Планета Небесный Остров
1034,Планета Небесный Остров
1035,Планета Небесный Остров
1036,Планета Небесный Остров
1037,Планета Небесный Остров
1038,Край Небесного Острова
1039,Тропический лес
1040,Равнина Небесного Острова
1041,Степной остров неба
1042,Главная вершина вулкана
1043,Вулканическая равнина
1044,Вулканический горный хребет
1045,Вулканическая лавовая река
1046,Вулканический кратер
1047,Оазис в пустыне
1048,Озеро в пустыне
1049,Глубокое море
1050,Побережье пустынного острова
1051,Центр пустынного острова
1052,Побережье острова красной земли
1053,Центр острова красной почвы
1054,Побережье кораллового острова
1055,Центр острова Кораллов
1056,Снежный хвойный лес
1057,Пик Снежной горы
1058,Вторичная вершина Снежной горы
1059,Хребет Снежной горы
1060,Центральный хребет Снежной горы
1061,Основание Снежной горы
1062,Вторичный пик Снежной горы Центральный хребет
1063,Замерзшее озеро
1064,Каньон
1065,По краю ущелья.
