ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,Воздух,Ты меня не видишь,@Null@
1,Камень Фламаса,Расположен в самом глубоком регионе Фламаса. Очень твердый. Не может быть потрясен,@Null@
2,Функциональный блок,Магический блок с неизведанной силой.,@Null@
3,Статическая вода,Блок воды в спокойном состоянии,@Null@
4,Вода,Текучая вода,@Null@
5,Статическая лава,"Блок лавы в спокойном состоянии, осторожно, горячо!",@Null@
6,Лава,"Текучая лава. Осторожно, она очень горячая, не обожгись!",@Null@
7,Эффект телепортации,Похоже на магический блок,@Null@
8,Дверная рама Фламаса,"Из-за влияния таинственной силы, связь с внутренним миром исчезла. Сам по себе очень твердый и может быть использован для строительства.",@Null@
9,Блок дверной рамы Фламаса,"Из-за влияния таинственной силы, связь с внутренним миром исчезла. Сам по себе очень твердый и может быть использован для строительства. Пройдя через нее можно прибавить скорость",@Null@
10,@Null@,После размещения можно выводить #c0aba1d целестиевый сигнал#n.,@Null@
11,Статический мед,Статический мед,@Null@
12,Мед,Текучий мед,@Null@
13,Статические зыбучие пески,"""Река"", образованная мелким песком, опасна!",
14,Зыбучие пески,"""Река"", образованная мелким песком, опасна!",
15,Проклятый камень,"Что, если я коснуюсь дрейфового песка, увидев камень странного дыхания? Встречайте проклятие крови при копании!",Внешняя подземная реликвия
16,Проклятый камень активирован,"Что, если я коснуюсь дрейфового песка, увидев камень странного дыхания? Встречайте проклятие крови при копании!",Внешняя подземная реликвия
17,Статический яд,"Жидкости, которые источают опасный запах, держитесь подальше, насколько это возможно.",
18,Высокотоксичные,"Жидкости, которые источают опасный запах, держитесь подальше, насколько это возможно.",
19,Ветер разрушил скалу,"Пустынные породы, разрушенные сильными ветрами, несколько хрупкие.",
20,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
21,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
22,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
23,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
24,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
25,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
26,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
27,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
28,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
29,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
30,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
31,Твердые ледяные шипы,"Ледяные шипы довольно #c0aba1dstable#n. Обязательно надевайте шлем, когда находитесь рядом с ними!",
32,Плавающие ледяные шипы,"Эти ледяные шипы, скорее всего, #c0aba1ddrop#n. Обязательно надевайте шлем, когда находитесь рядом с ними!",
33,Обычная руда с кристаллическим ядром,Нужно собирать с помощью @item_11013# или более продвинутых.,"Редкие руды, которые могут появиться в #c0aba1dSnow горных пещерах#n Ледяного поля и #c0aba1dunderground#n Тропического леса."
34,Руда Frostfire,"Руды, выделяющие леденящий холод. Нужно собирать с @item_11011# или более продвинутыми. Он будет #c0aba1dlower температуру окружающей среды#n.","Редкие руды, которые могут появиться в #c0aba1dSnow горных пещерах#n Ледяного поля."
35,Камень Морозного Огня,"Леденящий душу блок, созданный из множества @item_11824#. Это #c0aba1dsignificantly снизит температуру окружающей среды#n.",
36,Обновление входа в пещеру,,
37,Обновление пещерного туннеля,,
38,Пещера Cave Refresh,,
39,Освежение пещерной дыры,,
40,Пустотный кристаллический блок,"Этот специальный блок, созданный из блоков кристаллов пустоты, освещает окружающее пространство. Будьте осторожны, размещая его под @item_596#, так как он может привлечь самых могущественных монстров во время Ночи Пустоты. Использовать его мудро!",
100,Травянистый почвенный блок,"Блок на поверхности, можно быстро собрать лопатами. #c0aba1dUse Грабли, чтобы превратить его в @item_102#. Используйте Shovels, чтобы сделать его @item_103#.","Получите его, используя @item_11226# на @item_101#."
101,Блок земли,"Блоки, которые можно увидеть повсюду. Можно быстро добыть с помощью лопаты. #r С помощью мотыги можно превратить в пахотную землю. #r С помощью каменной или более совершенной лопаты можно превратить в яму.",@Null@
102,Пахотная земля,"Можно выращивать сельскохозяйственные культуры. Должны находиться близко к воде, чтобы оставаться влажными",@Null@
103,Яма,"Можно садить семена и саженцы. Должны находиться близко к воде, чтобы оставаться влажными",@Null@
104,Скальный камень,"Блоки, которые можно увидеть повсюду. Можно быстро добыть с помощью кирки.",@Null@
105,Мшистый камень,Покрытые мхом камни. Можно быстро добыть с помощью кирки.,@Null@
106,Блок тонкого песка,Распространены в прибрежных и пустынных районах. Можно быстро добыть с помощью лопаты и использовать для создания кварцевого песка и стекла.#r Падает под действием силы тяжести.#r Можно выращивать кактусы циллиндрической формы.,@Null@
107,Каменная осыпь,"Неустойчивая каменная осыпь. Можно быстро добыть с помощью лопаты. #Когда снизу пусто, стоя сверху можно рухнуть.",@Null@
108,Песчаный кирпич,"Строительный материал, собранный тонким песком.",@Null@
