角色ID,俄语,俄语,俄语,俄语,俄语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Вождь,"Вождь первобытного племени, любит повсюду путешествовать и открывать новые территории.",Крепкий,Повыш. базовый урон (не активен),@Null@
2,Вождь,"Вождь первобытного племени, любит повсюду путешествовать и открывать новые территории.",Крепкий 1,Базовый урон повыш. на 5 очков,@Null@
3,Вождь,"Вождь первобытного племени, любит повсюду путешествовать и открывать новые территории.",Крепкий 2,Базовый урон повыш. на 10 очков,@Null@
4,Жена Вождя,"Крепкая женщина, мать всего первобытного племени. Хороший охотник.",Охотоведение,Повышает прибыль от охоты (не активен),@Null@
5,Жена Вождя,"Крепкая женщина, мать всего первобытного племени. Хороший охотник.",Охотоведение 1,"Атакуя монстров, есть 25% вер-сти получить двойной лут",@Null@
6,Жена Вождя,"Крепкая женщина, мать всего первобытного племени. Хороший охотник.",Охотоведение 2,"Атакуя монстров, есть 25/15% вер-сти получить двойной/тройной лут",@Null@
7,Кака,"Живет в первобытном племени с самого детства, обладает талантом выживания в диких условиях.",Упорный,Сниж. получаемый дальний урон на (не активен),@Null@
8,Кака,"Живет в первобытном племени с самого детства, обладает талантом выживания в диких условиях.",Упорный 1,Сниж. получаемый дальний урон на 20%,@Null@
9,Кака,"Живет в первобытном племени с самого детства, обладает талантом выживания в диких условиях.",Упорный 2,Сниж. получаемый дальний урон на 40%,@Null@
10,Нини,"Трудолюбивая девушка первобытного племени, очень прогрессивна в работе.",Трудолюбие,Повышает скорость сбора (не активен),@Null@
11,Нини,"Трудолюбивая девушка первобытного племени, очень прогрессивна в работе.",Трудолюбие 1,Скорость сбора повыш. на 50%,@Null@
12,Нини,"Трудолюбивая девушка первобытного племени, очень прогрессивна в работе.",Трудолюбие 2,Скорость сбора повыш. на 100%,@Null@
13,Шалун,"В каждой семье есть свой шалун. Постойте, что это он держит в руке?",Подрывник,Сниж. получаемый взрывной урон (не активен),@Null@
14,Шалун,"В каждой семье есть свой шалун. Постойте, что это он держит в руке?",Подрывник 1,Получаемый взрывной урон сниж. на 20%,@Null@
15,Шалун,"В каждой семье есть свой шалун. Постойте, что это он держит в руке?",Подрывник 2,Получаемый взрывной урон сниж. на 40%,@Null@
16,Капитан Том,"В прошлом спецназовец миротворческих сил, прекрасно владеет стрелковым оружием и навыками выживания в диких условиях.",Выживание,Повыш. эффект пищи и дыхание под водой (не активен),Предмет активации можно получить из домашних плодов.
17,Капитан Том,"В прошлом спецназовец миротворческих сил, прекрасно владеет стрелковым оружием и навыками выживания в диких условиях.",Выживание 1,"Восстанав. пищей Голод/ЖИЗ, дыхание под водой повышаются на 15%",Предмет активации можно получить из домашних плодов.
18,Капитан Том,"В прошлом спецназовец миротворческих сил, прекрасно владеет стрелковым оружием и навыками выживания в диких условиях.",Выживание 2,"Восстанав. пищей Голод/ЖИЗ, дыхание под водой повышаются на 30%",Предмет активации можно получить из домашних плодов.
19,Спецагент Лола,"Любимица всех в компании по охране безопасности, любит экстремальные приключения.",Предчувствие,Иммунитет от 1 смертельного урона (не активен),Предмет активации можно получить из домашних плодов.
20,Спецагент Лола,"Любимица всех в компании по охране безопасности, любит экстремальные приключения.",Предчувствие 1,"Когда принятый ущерб составляет более 45 очков и вызывает смерть, он будет немедленно регенерировать с 25% ценности здоровья. Интервал триггера составляет 5 минут.",Предмет активации можно получить из домашних плодов.
21,Спецагент Лола,"Любимица всех в компании по охране безопасности, любит экстремальные приключения.",Предчувствие 2,"Когда взятый ущерб превышает 25 очков и вызывает смерть, он будет немедленно восстановлен с помощью 50% здоровья, а промежуток триггера составляет 3 минуты.",Предмет активации можно получить из домашних плодов.
22,Озорная Синди,"Пилот первобытной команды археологов, бдительная и проницательная.",Супер прыжок,"Повышает способность прыгать, на Ур.2 можно совершать двойной прыжок (не активен)",Предмет активации можно получить из домашних плодов.
23,Озорная Синди,"Пилот первобытной команды археологов, бдительная и проницательная.",Супер прыжок 1,"Высота прыжка+50%, урон от падения -10",Предмет активации можно получить из домашних плодов.
24,Озорная Синди,"Пилот первобытной команды археологов, бдительная и проницательная.",Супер прыжок 2,"Высота прыжка+50%, урон от падения -20, можно совершать двойной прыжок",Предмет активации можно получить из домашних плодов.
25,Ассистент Питт,Ради сдачи идеальной выпускной работы присоединился к команде археологов.,Прозорливость,"Разбивая кувшин, есть вер-сть обнаружить различные предметы (не активен)",Предмет активации можно получить из домашних плодов.
26,Ассистент Питт,Ради сдачи идеальной выпускной работы присоединился к команде археологов.,Прозорливость 1,"Разбивая кувшин, есть 18% вер-сти обнаружить редкий материал",Предмет активации можно получить из домашних плодов.
27,Ассистент Питт,Ради сдачи идеальной выпускной работы присоединился к команде археологов.,Прозорливость 2,"Разбивая кувшин, есть 27% вер-сти обнаружить больше редких материалов и особых блоков",Предмет активации можно получить из домашних плодов.
28,Профессор Стивен,Откуда в этом диком месте появился старый профессор Национальной академии наук?,Обширные знания,"Раскапывая камни, есть вер-сть обнаружить различные предметы (не активен)",Предмет активации можно получить из домашних плодов.
29,Профессор Стивен,Откуда в этом диком месте появился старый профессор Национальной академии наук?,Обширные знания 1,"Раскапывая камни, есть 4% вер-сти обнаружить редкие минералы и материалы",Предмет активации можно получить из домашних плодов.
30,Профессор Стивен,Откуда в этом диком месте появился старый профессор Национальной академии наук?,Обширные знания 2,"Раскапывая камни, есть 6% вер-сти обнаружить больше редких минералов, материалов и особых блоков",Предмет активации можно получить из домашних плодов.
