ID,名字,描述
ID,Name,Desc
1,Маунт малыш,Может родить малыша на карте в течение определенного периода времени. Малыша можно отправить другим игрокам по комнате
2,Спринт,Во время накопления силы скорость перемещения +30%
3,Ходьба по воде,"Можно быстро передвигаться по водной поверхности, но нельзя прыгать"
4,Супер прыжок,Способность супер мощного прыжка
5,Парение,Можен летать и парить в воздухе
6,Ходьба по лаве,Может ходить по поверхности лавы
7,Рывок,"Зажми клавишу прыжка после самого прыжка, чтобы мчаться вперёд"
9,Двухместный маунт,Может переносить двоих наездников. Бери с собой друга!
10,Долгий прыжок,"Свободный прыжок в воздухе, но вы упадёте быстрее, чем когда-либо."
11,Стойкий,Больше очков здоровья
12,Плавать,Держиться на воде
13,Плавать под водой,Плавает на глубине
14,Рывок под водой,"Находясь в воде, нажмите кнопку «прыжок», запуская навык Рывок, чтобы ринуться в текущем направлении"
15,Атака робота,Мчаться вперёд и бить
16,Расплавляющая пушка,Стрелять из пушки по прямой
17,Осиное жало,Мчаться некоторое время
18,Пикирование,Зажми прыжок чтобы аккумулировать силы. Это замедлит существо впереди при приземлении
19,Устрашение,Зажми прыжок чтобы аккумулировать силы. Это оттолкнет существо впереди на короткое расстояние при приземлении
20,Держаться на воде,"Можно парить и передвигаться на небольшое расстояние в воздухе. При падении, очки ХП не теряются"
21,Летать,"Можно взлететь на небольшое расстояние в воздух. При падении, очки ХП не теряются"
22,Двухместный маунт,Может переносить двоих наездников. Возьми с собой друга!
23,Энергощит,"Сформировать энергетический щит, чтобы защитить вас и ваших друзей."
24,Одиночный маунт,Может переносить одного наездника
25,Воздушная тревога,"Можно взлететь на небольшое расстояние в воздух. При падении, очки ХП не теряются"
26,Красная молния,Мчаться некоторое время
27,Расплавляющий лазер,Стрелять из пушки по прямой
28,Адское пламя,"Нажми [Атака], чтобы выстрелить пламенем, нанося горящий бафф существу впереди"
29,Призрачное пламя,"Нажми [Атака], чтобы выстрелить пламенем, нанося горящий бафф существу впереди"
30,Пархающие крылья,"Зажми [Прыжок], чтобы пролететь на короткое расстояние. При падении, очки ХП не теряютсяПри падении, очки ХП не теряются"
31,Раскинутые крылья,"Зажми [Прыжок], чтобы пролететь на длинное расстояние. При падении, очки ХП не теряютсяПри падении, очки ХП не теряются"
32,Dragon Roar,Click to roar. Slow down the creature in front of you
33,Swift Wing,Long press Jump to fly for a short distance. Won't lose HP when falling
34,Bone Sweep,"Click attack to shake the tail, causing 3 damage to creatures in the rear fan-shaped area"
35,Звездный свет,"Стрелять звезды вверх для освещения, CD-15s."
36,Лунный свет,Длительное нажатие Перейти летать на короткие расстояния. Не потерять HP при падении
37,Поторопись,Запуск быстрой перемотки вперед на некоторое время
38,Двухместный маунт,Может переносить двоих наездников. Возьми с собой друга!
39,Над снег,Шаг по снегу и ходить в воздухе. Не потерять HP при падении
40,Тук Тук Charge,Позволяет использовать рога автомобиля и прошить передние фары автомобиля
41,Great Harvest,"Когда используют, бросают слитки и монеты в окрестностях."
42,4 Человек Carriage,Может перевозить до 4-х игроков
43,Искривление пространства,"Может поддерживать время полета на заданном расстоянии, падение не вызовет каких-либо повреждений от падения."
44,Остров Leviathan,Может погружаться в воду
45,Сила Быка,Зажми прыжок чтобы аккумулировать силы. Это замедлит существо впереди при приземлении
46,Удар Быка,Зажми прыжок чтобы аккумулировать силы. Это оттолкнет существо впереди на короткое расстояние при приземлении
47,развевающиеся Blossom,"Может скользят в воздухе на определенном расстоянии, не получит повреждений при падении"
48,Рассеяние Swan,"Может скользят в воздухе на определенном расстоянии, не получит повреждений при падении"
49,Лист танец,"При использовании, активирует плавающие листья эффект"
50,вс колеса,"Используйте, чтобы получить Sheild, который будет впитывать 20 повреждений"
51,Божий Луч,Используйте для увеличения урона игрока на 5%
52,Волшебный фейерверк,"После зарядки, спусковой крючок, когда земля после того, как прыжки, фейерверк будет стрелять вокруг горы и музыка будет воспроизводиться"
53,Гламурные Fireworks,"После зарядки, спусковой крючок, когда земля после того, как прыжки, фейерверк будет стрелять вокруг горы и музыка будет воспроизводиться"
54,Заряжать,взыскивать наложенный платеж
55,Knockback,Оплаты вперед и отбрасывание существ перед вами
56,зависать,"При использовании крепления персонаж будет зависеть от земли, а звуковой эффект вращения пропеллера будет воспроизведен автоматически одновременно."
57,Низкое Скольжение,"Скольжение на малой высоте на короткой дистанции, прыжок кнопку проведение во время падения будет не повредить себе"
58,Высокая Скольжение,"Скольжение на малой высоте для большего расстояния, прыжок кнопку проведение во время падения будет не повредить себе"
59,Огни и перья,"Призвать 3 маленьких призрачных лебедя, чтобы поплавать вокруг горы после использования"
60,Лебединое озеро,"Может погрузиться в воду, чтобы плавать"
61,Утренний рейс,Может летать на определенное расстояние в воздухе и не будет истощать здоровье во время осени
62,Супер легкая вовка,"При движении, он автоматически выделяет прохладные световые волны"
63,Рэй разрушения,При перемещении он автоматически излучает прохладный золотой красной светлой волны
64,Божественная легкая вовка,"При движении, он автоматически выделяет прохладные световые волны"
65,Очищающие лучи,При движении он автоматически выделяет крутые серебряные фиолетовые легкие волны
66,Растущее облако,"Может плавать в воздухе на короткое расстояние, и не будет истощаться во время осени"
67,Прорвать,"Может летать на определенное расстояние в воздухе, и не будет истощаться во время осени"
68,Размерный прыжок,Появится 15 кварталов в указанном направлении после использования навыка
69,Вихрь,После использования небольшой торнадо будет следовать за автомобилем
70,Волшебный пузырь,Многие пузыри появятся по всему телу.
71,Зефир Крылья,"Может летать на определенное расстояние в воздухе, и не будет истощаться во время осени"
72,Волшебная рывка,Голубой поток воды появится вокруг вас.
73,Чудо,Энергетический экран может быть сформирован.
74,Красное свечение,"Красное свечение, которое вращается вокруг вас."
75,Золотая луча,"Золотая фасоль, которая вращается вокруг вас."
76,Синее свечение,"Голубое свечение, которое вращается вокруг вас."
77,Падающие лепестки,Небольшие лепестки падают вокруг вас
78,Бабочка флаттер,"Бабочки и цветы, цветущие вокруг вас"
79,Лепестки лепестков,Розовые лепестки и цветы летают вокруг вас
80,Набрасываться,"Нажмите кнопку Jump, чтобы ускорить 20% в течение 10 секунд."
81,Начинающий призыв,"Нажмите на кнопку прыжка, чтобы вызвать 1 маленький Genie, которая следует за вами."
82,Промежуточные призывы,Нажмите кнопку прыжка и появится звездное джин.
83,Расширенные вызывы,"Нажмите кнопку Jump, чтобы следовать жемчужному джину."
84,Скрытый бог,"После нажатия кнопки Jump снова щелкните кнопку «Перейти» в Mid-Air, чтобы ввести невидимое состояние."
85,Унесенные призраками,Золотые шестерни появятся вокруг тела.
86,Фиолетовый молния,Фиолетовая молния появится вокруг тела.
87,Windfury,"Длинный нажмите кнопку прыжка, чтобы накапливать энергию, чтобы призвать торнадо, чтобы вырыть кого-либо перед вами."
88,Спиральный рейс,После нажатия кнопки Jump снова щелкните кнопку «Перейти» в середине воздуха в небо.
89,Звуковые волны,"Эффект лазерного света, окружающий тело."
90,Электронный звук,"Красочная молния, окружающая тело."
91,Ритм качели,"Длительный нажмите кнопку Jump, чтобы увеличить здоровье для себя и товарищей по команде в пределах определенного диапазона."
92,Суперзвезда прибывает,"Длительный нажмите кнопку прыжка, чтобы увеличить здоровье союзников в определенном диапазоне и уменьшить здоровье монстров в пределах диапазона."
93,Развевающиеся цветы,"Есть лепестки, летающие по всему телу."
94,Плавающие облака,"Длинный нажмите клавишу Jump, чтобы пролететь определенное расстояние в воздухе."
95,Линглонг,Вы можете гулять по воде.
96,Нежный ветерок,"Есть лепестки, летающие по всему телу."
97,Танцующий фанат,"Есть лепестки, летающие по всему телу."
98,Качание,"Длинный нажмите кнопку прыжка, чтобы полететь определенное расстояние в воздухе."
99,Экстаз,"Нажмите кнопку «Использовать», чтобы активировать фантомный волшебный круг, а монстры в волшебном круге попадут в оглуша."
100,Счетность,"Нажмите, чтобы использовать клавишу, чтобы сбросить мясные кости в воздухе."
101,Голубое пламя,Стрельба синим пламенем сзади.
102,Пламя Дракона,Оранжевое пламя окружает тело.
103,Император Кэннон,Стреляет из энергетической пушки. После удара будет получен урон.
104,Парящий дракон,Лети в небо. Свободно парит в воздухе.
