ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Панда,"Гордый малыш-панда, который просто обожает бамбук!",Карту скина можно получить из садовых плодов.,Следы: оставляет после себя отпечатки лапок панды,Аватар: разблокировать аватар Панды.,@Null@,,,
2,Король Обезьян,Ограниченная распродажа в честь Весеннего Фестиваля и года Обезьяны! Маленький Король Обезьян станет твоим верным компаньоном по время празднования Фестиваля Весны!,Карту скина можно получить из садовых плодов.,Следы: оставляет узор из маленьких облачков после своих шагов,Аватар: разблокировать аватар Короля Обезьян.,@Null@,,,
3,Банни,Банни - это милый и ласковый кролик. Оставляет следы из маленьких редисок куда бы она ни пошла.,Карту скина можно получить из садовых плодов.,Следы: оставляет узор из маленьких редисок после своих шагов,Аватар: разблокировать аватар Банни.,@Null@,,,
4,Мисра,"Ого! Остерегайтесь отважного Мисры, попавшего в Мини Мир из Доисторического Периода!",Карту скина можно получить из садовых плодов.,Следы: оставляет следы лапок динозавра после своих шагов,Аватар: разблокировать аватар Мисры.,@Null@,,,
5,Милая Официантка,Дзинь! Добро пожаловать в Мяу-Кафе!,Карту скина можно получить из садовых плодов.,Следы: оставляет следы кошачьих лапок после своих шагов,Аватар: разблокировать аватар Милой Официантки.,@Null@,,,
6,Джордж,"Жизнерадостный юноша, который любит музыку и спорт.",Карту скина можно получить из садовых плодов.,Следы: оставляет узор из голубых сердечек после своих шагов,Аватар: разблокировать аватар Джорджа.,@Null@,,,
7,Энни,"Энергетичная девушка, которая обожает сладости и танцы до утра.",Карту скина можно получить из садовых плодов.,Следы: оставляет узор из красных сердечек после своих шагов,Аватар: разблокировать аватар Энни.,@Null@,,,
8,Семья Мо Сяофэй,"Член древней семьи Мо, он мастер производственного механизма.",Еще не доступен.,"Ходячие следы: Крылья ветра останутся там, где вы идете.",Фото профиля: Разблокируйте фотографию профиля разделения механизма.,Создать режим специального полета,Создание эффектов полета режима,,
9,Дракула VI,"Потомок первородных вампиров, всегда элегантный и мрачный.",Карту скина можно получить из садовых плодов.,Эффект: в окружении тумана и черных летучих мышей,Аватар: разблокировать аватар Дракулы,@Null@,,,
10,Оленёнок,"Маленький оленёнок, который живет в Рождественской долине. Озорная и милая.",@Null@,Эффект: в окружении Ауры Рождества,Аватар: разблокировать аватар Оленёнка,Следы: оставляет отпечатки копыт Рождественского оленя,,,
11,Дикий охотник Сноу,"Бравый охотник Сноу добрался в Мини Мир с Северного Полюса, его лучшие друзья - дикие орлы.",@Null@,Эффект: в окружении холодных снежинок,Аватар: разблокировать аватар Сноу,Следы: оставляет отпечатки снежков после своих шагов,,,
12,Фиалка,"Сказочная фея, будто сотканная из фиалковых лепестков.",@Null@,Эффект: в окружении лепестков,Аватар: разблокировать аватар Фиалки,@Null@,,,
13,Муронг,Жизнь живущего в горах отшельника Муронга изменяется навсегда когда он случайно встречает фею Фиалку.,@Null@,Эффект: клубы тумана,Аватар: разблокировать аватар Муронга,Следы: оставляет отпечатки ног после своих шагов,,,
14,Шериф Джоуи,"Ой, извини, похоже ты совсем не нравишься моему револьверу.",@Null@,Эффект: дым и пыль вокруг тела ковбоя,Аватар: разблокировать аватар Офицера Джоуи.,Следы: оставляет отпечатки полицейских звёзд после своих шагов,,,
15,Баскетболист Лукас,"Превосходный интеллект, летящая походка, великолепные подачи, он - звезда баскетбольной площадки.",@Null@,@Null@,Аватар: разблокировать аватар Баскетболиста Лукаса.,Следы: оставляет отпечатки баскетбольных мячей после своих шагов,,,
16,Чирлидерша Клэр,"Как и Лукас, она привлекает взгляды всех вокруг, излучая обаяние.",@Null@,@Null@,Аватар: разблокировать аватар Чирлидерши Клэр,Следы: оставляет отпечатки ленточек после своих шагов,,,
17,Роуз,"Ну что, кто-нибудь хочет отправиться со мной в опасное путешествие  по далеким странам?",@Null@,Эффект: в окружении красных сердечек,Аватар: разблокировать аватар Роуз,@Null@,,,
18,Капитан Дик,Я хочу стать самым известным предводителем пиратов и искать таинственные сокровища в глубинах океанов!,@Null@,@Null@,Аватар: разблокировать аватар Капитана,Следы: оставляет отпечатки ног после своих шагов,,,
19,Крошка Мэри,"Ах, так? Тогда я хочу стать самым известным помощником предводителя пиратов!",@Null@,Эффект: излучает аромат розового моря,Аватар: разблокировать аватар,@Null@,,,
20,Бродяга Блэйд,"Много лет Блэйд скитается по Мини Миру, никогда не задерживаясь на одном месте. Если где-то появился страшный монстр, будьте уверенны, Блэйд уже спешит туда.",@Null@,Следы: ветер под ногами,Аватар: разблокировать аватар,@Null@,,,
21,Дюймовочка,"Для такой маленькой и хрупкой девочки, Дюймовочка невероятно храбрая! Когда-то она сама была ростом с персиковую косточку, но теперь задаст трёпку любому, кто встанет у неё на пути!",@Null@,Эффект: порхающие цветы персика,Аватар: разблокировать аватар,@Null@,,,
22,Лилит,Ну-ка отдавай-ка мне все конфеты! Иначе я за себя не ручаюсь!,@Null@,Эффект: излучает атмосферу колдовства,Аватар: разблокировать аватар,@Null@,,,
23,Шани,"Эту барышню не так то просто обидеть, она супер крутая!",@Null@,Эффект: в окружении синих цветов,Аватар: разблокировать аватар Шани,@Null@,,,
24,Драко,Я буду охранять ваш Мини Мир чего бы мне это ни стоило!,@Null@,Следы: оставляет черный дым после своих шагов,Аватар: разблокировать аватар Драко,@Null@,,,
25,Лорд Эрланг,"Раз уж существует такое прекрасное место как Мини Мир, я буду оберегать его!",@Null@,Эффект: излучает вибрации Полярной Звезды,Аватар: разблокировать аватар Лорда Эрланга.,@Null@,,,
