keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Запуск,Имеет 10% шанс отбросить +
5002,Запуск,Имеет 20% шанс откинуть +
5003,Запустить.,Есть 30% шанс отбросить +
6001,Острый,Ближняя атака+
6002,Острый,Ближняя атака+
6003,Острый,Ближняя атака+
7001,Охотник на людей,Охотник на людей+
7002,Охотник на людей,Охотник на людей+
7003,Охотник на людей,Охотник на людей+
8001,Beast Hunter,Beast Hunter +
8002,Охотник на чудовищ,Охотник на чудовищ +
8003,Охотник на зверей,Охотник на зверей +
9001,Элитный Охотник,Элитный Охотник +
9002,Элитный охотник,Элитный охотник +
9003,Элитный охотник,Элитный охотник +
10001,Жжение,Уровень горения
10002,Жжение,Уровень горения
10003,Жжение,Уровень горения
11001,Увеличено расстояние отбрасывания,Увеличено расстояние отбрасывания
11002,Увеличено расстояние отбрасывания,Увеличено расстояние отбрасывания
11003,Увеличено расстояние отбрасывания,Увеличено расстояние отбрасывания
12001,Удачная охота,Уровень счастливой охоты
12002,Удачная охота,Уровень счастливой охоты
12003,Удачная охота,Уровень счастливой охоты
13001,Мощный выстрел,Урон от лука и стрел+
13002,Мощный выстрел,Урон от лука и стрел+
13003,Мощный выстрел,Урон от лука и стрел+
14001,Неограниченный выстрел,Неограниченный выстрел
14002,Неограниченный выстрел,Неограниченный выстрел
14003,Неограниченный выстрел,Неограниченный выстрел
15001,Долговечность,Долговечность+
15002,Долговечность,Долговечность+
15003,Долговечность,Долговечность+
16001,Сопротивление в ближнем бою,Сопротивление рукопашному бою+
16002,Сопротивление в ближнем бою,Сопротивление рукопашному бою+
16003,Сопротивление в ближнем бою,Сопротивление рукопашному бою+
17001,Дальнобойное сопротивление,Дальнобойное сопротивление+
17002,Дальнобойное сопротивление,Дальнобойное сопротивление+
17003,Дальнобойное сопротивление,Дальнобойное сопротивление+
18001,Взрывостойкость,Взрывостойкость+
18002,Взрывостойкость,Взрывостойкость+
18003,Взрывостойкость,Взрывостойкость+
