iD,俄语,俄语
ID,Name,AttrDesc
5,Отбрасывание,"Ближняя атака, отбрасывает цель на 4 клетки."
5,Отбрасывание,"Ближняя атака, отбрасывает цель на 6 клеток."
5,Отбрасывание,"Ближняя атака, отбрасывает цель на 8 клеток."
5,Отбрасывание,"Ближняя атака, отбрасывает цель на 10 клеток."
5,Отбрасывание,"Ближняя атака, отбрасывает цель на 12 клеток."
6,Острый,Урон от ближней АТК+5%
6,Острый,Урон от ближней АТК+10
6,Острый,Урон от ближней АТК+16
6,Острый,Урон от ближней АТК+24
6,Острый,Урон от ближней АТК+35
7,Охотник на людей,Урон от ближней АТК людей+8
7,Охотник на людей,Урон от ближней АТК людей+16
7,Охотник на людей,Урон от ближней АТК людей+25
7,Охотник на людей,Урон от ближней АТК людей+40
7,Охотник на людей,Урон от ближней АТК людей+60
8,Охотник на зверей,Урон от ближней АТК зверей+8
8,Охотник на зверей,Урон от ближней АТК зверей+16
8,Охотник на зверей,Урон от ближней АТК зверей+25
8,Охотник на зверей,Урон от ближней АТК зверей+40
8,Охотник на зверей,Урон от ближней АТК зверей+60
9,Охотник на монстров,Урон от ближней АТК Серных лучников и Монстров из магмы+8
9,Охотник на монстров,Урон от ближней АТК Серных лучников и Монстров из магмы+16
9,Охотник на монстров,Урон от ближней АТК Серных лучников и Монстров из магмы+25
9,Охотник на монстров,Урон от ближней АТК Серных лучников и Монстров из магмы+40
9,Охотник на монстров,Урон от ближней АТК Серных лучников и Монстров из магмы+60
29,Охотник на дикарей,Урон от ближней АТК всех дикарей+8
29,Охотник на дикарей,Урон от ближней АТК всех дикарей+16
29,Охотник на дикарей,Урон от ближней АТК всех дикарей+25
29,Охотник на дикарей,Урон от ближней АТК всех дикарей+40
29,Охотник на дикарей,Урон от ближней АТК всех дикарей+60
10,Поджог,"Атакуя, поджигает цель на 3 сек., нанося 5 очков урона в сек."
10,Поджог,"Атакуя, поджигает цель на 3 сек., нанося 10 очков урона в сек."
10,Поджог,"Атакуя, поджигает цель на 3 сек., нанося 15 очков урона в сек."
10,Поджог,"Атакуя, поджигает цель на 3 сек., нанося 20 очков урона в сек."
10,Поджог,"Атакуя, поджигает цель на 3 сек., нанося 25 очков урона в сек."
11,Отражение,"Атакуя, отражает цель доп. на 2 клетки."
11,Отражение,"Атакуя, отражает цель доп. на 4 клетки."
11,Отражение,"Атакуя, отражает цель доп. на 6 клеток."
11,Отражение,"Атакуя, отражает цель доп. на 8 клеток."
11,Отражение,"Атакуя, отражает цель доп. на 10 клеток."
12,Удача в охоте,"Побеждая живых существ, есть 20% вер-сти получить двойной лут."
12,Удача в охоте,"Побеждая живых существ, есть 20/15% вер-сти получить двойной/тройной лут."
12,Удача в охоте,"Побеждая живых существ, есть 20/15/15% вер-сти получить двойной/тройной/четверной лут."
13,Мощный выстрел,Урон от выстрела стрел повыш. на 25%.
