序号,俄语
No,Name
1,Введите UID
2,пароль
3,pluginres\btn_text_rus.png
4,Запомнить UID
5,Я согласен
6,pluginres\btn_policy_rus.png
7,Выберите вопросы
8,Введите ответ
9,pluginres\btn_num_rus.png
10,Величайший человек
11,Любимое блюдо
12,Любимое животное
13,Самый нетерпеливый визит место
14,Первый подарок
15,Счастливое число
16,Быстрая игра
17,Неверный пароль
18,Соединительный
19,pluginres\btn_orange_e1_rus.png
20,pluginres\btn_quickplay_rus_h.png
21,pluginres\btn_quickplay_rus_n.png
22,pluginres\option1_1_rus.png
23,pluginres\option1_2_rus.png
24,pluginres\option1_3_rus.png
25,pluginres\en01.png
26,pluginres\en02.png
27,pluginres\en03.png
28,UID не является правильным
29,Введите пароль
30,Ознакомьтесь с правилами пользователя
31,Введите свой ответ
32,Mini World является Обновление:%d%%
33,pluginres\btn_orange_e1_rus_h.png
34,pluginres\btn_orange_e1_rus_s.png
35,14
36,уведомление
37,"Ваш счет установил пароль :%s, чтобы сохранить безопасность аккаунта, пожалуйста, войдите с паролем."
38,Авторизоваться
39,Войти Проверка
40,Моб. тел.
41,Эл. почта
42,Введите Код подтверждения
43,Мобильная Verification
44,Подтверждение по элетронной почте
45,Отправить
46,"Пожалуйста, проверьте логин, чтобы убедиться, что ваша учетная запись является безопасной."
47,"Проверка не удалась. Пожалуйста, проверьте свою электронную почту и код подтверждения."
48,"Проверка не удалась. Пожалуйста, проверьте свой номер мобильного телефона и код подтверждения."
49,Отправить（%d）
50,Код подтверждения уже отправлен
51,"К сожалению, вы не можете войти в учетную запись на этой платформе. (Межплатформенные ошибки)"
