ID,名称,内容,作者,是否匿名
Id,Title,Context,Author,ShouldAnonymity
1,Always be cool,"Treat your friends and strangers like the way you want to be treated. You might just be the coolest guy around! And when someone is angry, solve it with respect and dialogue.",George,
2,Take a look at the ocean,"The ocean is so cool! Friendly creatures and gorgeous coral are waiting for people! But there will be danger, so bring your armor and weapons with you!",Jessie,
3,Save your World!,"Hey... Help me, It's dirty in here! Please, don't throw your garbage into the ocean. Beaches get dirty, fish die, seas are polluted, and many more bad things! Please, stop throwing garbage into the ocean! I'm so sad to see this, I hope this will be the last nightmare.",MisterMini,
4,I love sandworm,"I love my sand worm. He attacks, he protects but most importantly he big long boi. Big long pet bull. I love him.",Paclaicidian3000,
5,Truth about Horas,Horas isnt our Moon Yes it is the truth. It was never our Moon,Horas Researcher,
6,Life & Parkour,"Life is like parkour you fall and get back up again but never give up, keep moving forward no matter how many times you fall and you will reach your goal. You only ever fail when you give up.",LyraNova,
7,Unknown Captain's Message,"Anyone who is reading this, beware of the ocean. You never know what monsters reside there. At this time I am probably gone but stay safe and away from the ocean. Take my warning.",Unknown Captain,
8,Asking for Soap,Hey! Can you deliver some soap at my house? I've asked before so you know my location I'll pay later. Thanks.,Sam,
9,just a for you,"hey if you read this im wanna say if flamas is sun then why in flamas we can,t see the miras?",unknown,
10,3 planet,"hey you yeah you if u read this im wanna say there are 3 planet the name is miras,flamas,and horas",unknown,
11,old man,"old man in horas created a colossus, but the colossus was captured by the void",world traveler,1
12,Pandora,"If you ever come across the walled city of Pandora, There was once a rumor of a secret library room. There are 3 mysterious books hidden inside the library and there you will find the secrets of the ruins of pandora. Within the ruins, the old miras world are all preserved there.",Panda,
13,Max's Quiz,Hey! I have a Quiz for you. What came first! Hydrogen or Oxygen?,Max,
14,Marine mammals,"I want to say u dont make hurt the dolphins, cause u are the monster",Celestial,1
15,My Cake & My Brother,"I will give My Cake to my brother, Because this is his favorite cake....... I love her so much that I made this cake with all my heart . I Miss u Brother",MisterMini,1
16,Our Secret,"Mr.Phantom is not bad guy. He always Taking Care Mrs.Egg , but Humans Are too afraid of them.",Hhuxx1,1
17,Unbending Curse,"Sunflower,Bone,Sea Fish Lantern Seed are The ingridients , At Night Lure And feed Grilled meat to Cursed Tribe Until Sleep Then Purify The Curse. Returned Human Lost Their Memories Give them Guide to life.",Hhuxx1,
18,Blessing Stars,"Ever Wondered How you can Resume even after you died ? that is our creator blessing. Every Stars Represent Our dreams , One dreams die there is others dreams. We cannot stop Until we reach all our dream !!!",Hhuxx1,1
19,Dog Searching Report,Dude I found my dog finally! Thanks for the help I really owe you one for this.,Tank,
20,Reminder to Hydrate,When was the last time you had a nice cold glass of water friend?,LyraNova,1
21,???,"woke up in a strange place, trying to find my way home.. it's too dark here, with the only hope to be near..",Unknown,1
22,Manta Ray Facts #1,"Guess which ray is currently the largest in the ocean, that's right, it's the Manta Ray. Oceanic Mantas can reach 7m across the pectoral fins!",LyraNova,1
23,I'm proud of you,"always remember to take care of yourself. Wash your teeth, take a shower, eat and the most important thing.. rest. Remember, i'm proud of you! : D",Leos,1
24,I forgot my fuel!,"Hey John, can you bring my fuel to get the spaceship working? It does not start up!",Astronaut Tom,1
25,???,"Hello Fellow one, did you see Popo? i can't find him anywhere.. he's usually at Misra's house?",Pandaa,1
