过滤场景ID,过滤框架ID,过滤组件ID,过滤事件码
scene_id,card_id,comp_id,event_code
1003,RESURRECTION_POPUP,RestartButton,view
1003,RESURRECTION_POPUP,StarResurrectionButton,view
1003,RESURRECTION_POPUP,AdPlayResurrectionButton,view
48,MINI_MAP_DETAIL_1,Dislike,view
48,MINI_MAP_DETAIL_1,Like,view
4,MINI_MAPINFO_UPLOAD_DETAIL,PersonInformation,view
4,MINI_MAPINFO_UPLOAD_DETAIL,Setup,view
4,MINI_MAPINFO_UPLOAD_DETAIL,MultiplePlayer,view
6001,PROP_DETAILS,Pulluprecharge,view
412,GAME_DIE_RE,DieRe,view
4,MINI_MAPINFO_UPLOAD_DETAIL,MapShare,view
60,DEVELOPER_SHOP_ALL,Props,view
4,MINI_MAPINFO_UPLOAD_DETAIL,SinglePlayer,view
4,MINI_ARCHIVEMAP_DOWNLOADMAP_1,SmallContentCard,view
4,MINI_MAPINFO_UPLOAD_DETAIL,Upload,view
48,MINI_MAP_NEW_Comment,FirstCommentInput,view
1004,ROOM_LIST,More,view
1004,ROOM_LIST,JoinButton,view
22,SHOP_PREFERENCE_GIFTPACK,GiftButton,view
3,Gallery_Featured_en,MapCard,view
4,MINI_MAPINFO_UPLOAD_DETAIL,CheckMap,view
3,Gallery_Featured_en,DownloadMap,view
1004,ROOM_LIST_CONTAINER,QuickMatch,view
1004,MAP_INTRODUCTION,ViewDetails,view
3,creation_vn,MapCard,view
22,SHOP_WELFARE_DRAW,PropButton,view
3,creation_en,MapCard,view
7,PERSONAL_INFO_HOMEPAGE,MyMapCard,view
3,critic,MapCard,view
4,MINI_MAPINFO_UPLOAD_DETAIL,MapStatus,view
1003,MINI_GAMEOPEN_GAME_1,MoreTelescopicBar,view
3,critic,DownloadMap,view
22,SHOP_AVATAR_OWNEDHOUSE,CombinaDressShow,view
10000,MINI_LANDINGPAGE_START_1,UID,view
3,Subject_1_en,MapCard,view
3,Subject_1_en,DownloadMap,view
1003,MINI_VOICE_CHAT,MicButton,view
1003,MINI_VOICE_CHAT,SpeakerButton,view
4,MINI_MAPINFO_UPLOAD_DETAIL,Comments,view
48,MINI_MAP_NEW_Comment,FirstCommentCard,view
48,MINI_MAP_NEW_Comment,FirstCommentDislike,view
48,MINI_MAP_NEW_Comment,FirstCommentLike,view
1003,EXIT_POPUP,ExitPopup,view
48,MINI_MAP_Comment_1,PersonInformation,view
48,MINI_MAP_Comment_1,CommentLike,view
48,MINI_MAP_Comment_1,CommentDislike,view
22,SHOP_WELFARE_SHOP,DressTab,view
4,MINI_ARCHIVEMAP_MYMAP_1,AddCapacity,view
4,MINI_MAPINFO_UPLOAD_TOP,GameProgress,view
4,MINI_MAPINFO_UPLOAD_TOP,AccountManage,view
4,MINI_MAPINFO_UPLOAD_TOP,StarStorage,view
4,MINI_MAPINFO_UPLOAD_TOP,PluginStorage,view
4,MINI_MAPINFO_UPLOAD_TOP,Action,view
4,MINI_MAPINFO_UPLOAD_TOP,MyAvatar,view
4,MINI_MAPINFO_NODOWMLOAD_TOP,MapDetail,view
