id,地形名称
id,Name
-1,생성 시도 횟수
1000,얕은 바다
1001,초원
1002,사막
1003,숲
1004,절벽
1005,늪
1006,침엽수림
1007,정글
1008,빙하
1009,얼어붙은 바다
1010,얼어붙은 강
1011,적토
1012,적토 해안
1013,사막 모래언덕
1014,숲 언덕
1015,침엽수림 언덕
1016,빙산
1017,정글 언덕
1018,강
1019,해변
1020,절벽 가장자리
1021,용암 땅
1022,하늘의 섬
1023,분지
1024,분지 가장자리
1025,대나무 숲 분지
1026,복숭아 나무 분지
1027,평원
1028,언덕
1029,제단 평원
1030,높은 산
1031,언덕
1032,행성 스카이 아일랜드
1033,행성 스카이 아일랜드
1034,행성 스카이 아일랜드
1035,행성 스카이 아일랜
1036,행성 스카이 아일랜드
1037,행성 스카이 아일랜드
1038,스카이 아일랜드 가장자리
1039,열대 우림
1040,스카이 아일랜드 평원
1041,초원의 스카이 아일랜드
1042,화산 주봉
1043,화산 평원
1044,화산 산맥
1045,화산 용암 강
1046,화산 분화구
1047,사막 오아시스
1048,사막 호수
1049,깊은 바다
1050,버려진 섬 해안
1051,버려진 섬 중심
1052,적토 슬인섬 해안
1053,적토사지 섬의 중심
1054,산호섬 해안
1055,산호섬 중심
1056,눈 덮인 침엽수림
1057,눈 덮인 봉우리
1058,눈 덮인 산봉우리
1059,눈 덮인 산맥
1060,중앙 설산
1061,설산 하단
1062,설산 중산간
1063,얼어붙은 호수
1064,협곡
1065,협곡의 가장자리
