ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,공기,넌 날 볼 수 없어,
1,지구 중심 초석,지구의 가장 깊은 중심에 위치하며 매우 단단하고 흔들리지 않습니다.,
2,기능 블록,"매직 큐브, 알 수 없는 힘",
3,정적인 물,스틸 워터 큐브,
4,역동적인 물,유동수,
5,정적 마그마,"여전히 용암 큐브, 뜨거워 조심하세요!",
6,다이나믹 마그마,"흐르는 마그마 큐브, 이것은 뜨겁고 아플 것입니다!",
7,변속기 조명 효과,마법의 큐브처럼 보입니다.,
8,조각된 벽돌,단단한 질감의 엠보싱 빌딩 블록,
9,이동 블록 속도 향상,이 블록을 통과하는 사람들은 설명할 수 없는 추진력을 받게 될 것입니다.,
10,별 에너지 블록,배치 후 항성 에너지 신호#c0aba1d 연속적으로 출력할 수 있습니다#n,
11,정적 꿀,여전히 꿀,
12,다이나믹 꿀,유동형 꿀,
13,정적 퀵샌드,"고운 모래로 구성된 ""강""은 위험합니다!",
14,다이나믹 퀵샌드,"고운 모래로 구성된 ""강""은 위험합니다!",
15,만트라 록,모래를 만지면 이상한 기운을 내는 바위는 어떻게 될까요? 땅을 파면 피비린내 나는 저주를 받게 될 거예요!,지하 유적의 외벽
16,만트라 록 - 활성화,모래를 만지면 이상한 기운을 내는 바위는 어떻게 될까요? 땅을 파면 피비린내 나는 저주를 받게 될 거예요!,지하 유적의 외벽
17,정적 독,"위험한 액체, 가능한 한 멀리 떨어져",
18,다이나믹 독,"위험한 액체, 가능한 한 멀리 떨어져",
19,바람이 침식된 바위,"강한 바람에 침식된 사막 암석, 다소 깨지기 쉬운",
20,외계인 공기,가서 최신 게임 버전을 다운로드하세요!,
21,게임 버전이 너무 낮습니다.,가서 최신 게임 버전을 다운로드하세요!,
22,게임 버전이 너무 낮습니다.,가서 최신 게임 버전을 다운로드하세요!,
23,하이드라이트,심해에서 수만 년 동안 압착하여 형성된 적층 구조에는 심해 조류에 필요한 모든 종류의 영양소가 포함되어 있어 야광 조류 및 적조 재배에 매우 적합합니다.,아크레틱 암석의 파괴
24,망간 결절 광석,"잠수 장비를 #c0aba1d 강화하기 위해 사용되며, 심해의 고압을 견딜 #n 단단한 유리 블록을 만듭니다.",망간금속은 깊은 암석에 망간금속이 계속 응축되어 생성되는 광물로 심해에서 약간만 생성되며 파괴 후 떨어지는 망간결절도 있다
25,암초,산호 성장에 매우 적합합니다. 산호가 성숙함에 따라 암초의 색상도 변경됩니다.,
26,드리프트 병,바다와 강 생태에서#c0aba1d#n 버리면 물살이 당신의 소원을 멀리까지 가져갈 것입니다. 언젠가는 멀리서 발견될 것입니다.,작은 유리병 사각형에 가죽 스크롤을 놓습니다.
27,멀리 드리프트 병,표류하는 병에 봉인된 메모에는 종종 중요한 정보나 진심 어린 축복이 담겨 있습니다. 물론 특정 시간에 누군가의 생각일 수도 있습니다. 산과 바다를 건너 시간을 넘긴 것 같습니다... 병을 바닥에 놓고 메모를 꺼내서 확인하십시오. ..,낚시와 바다 탐험은 얻을 기회가 있습니다
28,작은 유리병(사각형),그것을 놓고 쓰여진 가죽 두루마리를 넣으십시오.,
29,황사,수변 및 사막 지역에서 흔히 볼 수 있는 삽 도구는 신속하게 채굴할 수 있으며 유리를 발사하는 데 자주 사용되는 석영 모래를 처리하는 원료입니다.,#c0aba1d #n 및 #c0aba1d 사막 지역에서 흔히 볼 수 #n
30,게임 버전이 너무 낮습니다.,가서 최신 게임 버전을 다운로드하세요!,
31,강한 얼음 가장자리,매우 #c0aba1d #n 얼음 가장자리를 안정화시키고 헬멧을 가까이에 가져 오십시오.,
32,바삭바삭한 얼음 가장자리,#n의 얼음 가장자리를 #c0aba1d 떨어뜨리기 쉽기 때문에 헬멧을 근처에 가져오세요,
33,사소한 결정 핵 형성 광석,@item_11013# 이상의 곡괭이로 채굴,"얼음 밭#c0aba1d 눈 덮인 산 동굴 #n, 열대 우림 #c0aba1d 지하 #n에 나타날 수 있는 희귀 광석"
34,서리 부싯돌 광산,찬 공기를 방출하고 @item_11011# 이상의 곡괭이로 채굴하는 Oore는 #c0aba1d 주변의 온도를 #n 낮춥니다,눈 동굴 #n 얼음 #c0aba1d 나타날 수 있는 희귀 광석
35,서리 부싯돌,@item_11824# 처리하고 차가운 빛을 방출하는 많은 수의 블록은 주변 온도를 크게 낮춥니다#c0aba1d #n,0
36,동굴 입구가 상쾌합니다,,0
37,동굴 통로 새로 고침,,0
38,동굴이 새로워집니다,,0
39,동굴이 새로워집니다,,0
40,공허 수정 블록,공허 수정 블록을 사용하여 제작된 이 특수 블록은 주변 공간을 비춥니다. 공허의 밤 동안 가장 강력한 몬스터를 유인할 수 있으므로 @item_596# 아래에 배치할 때는 주의하세요. 현명하게 사용하세요!,
100,긴 잔디 덩어리,"표면 블록, 빠른 채굴을 위한 삽 도구, #c0aba1d使用耙类工具可变为@item_102#은 삽 도구를 사용하여 @item_103로 변경할 수 있습니다. #",@item_101 #에 @item_11226#을 사용하여
101,구름,"그것은 표면 아래에서 쉽게 구할 수 있습니다. 비가 온 후, 그것은 녹지를 발아시키고 잔디 블록이 될 수 있습니다. 삽 도구는 빠르게 채굴할 수 있습니다. #c0aba1d 갈퀴 도구를 사용하여 경작지가 되고 삽 도구를 사용하여 흙 구덩이가 됩니다.",표면 아래에서 사용 가능
102,경작지,작물은 수분을 유지하고 작물 성장을 촉진하기 위해 심거나 물에 가깝거나 수원으로 관개할 수 있습니다.,
103,흙 구덩이,꽃 씨앗과 묘목을 심거나 수원에 가깝거나 물로 관개하여 촉촉하고 식물 성장에 도움이 되도록 할 수 있습니다.,
104,바위,지하 어디에서나 볼 수 있으며 곡괭이 도구를 빠르게 채굴할 수 있습니다.,
105,블루스톤,돌과 이끼로 만든 건축 재료,
106,고운 황사,수변과 사막 지역에서 흔히 볼 수 있는 삽 도구는 빠르게 채굴할 수 있으며 석영 모래를 처리하는 원료이며 석영 모래는 종종 유리를 발사하는 데 사용되며 #r 중력의 영향을 받습니다.,수변 및 사막 지역에서 흔히 볼 수 있는
