keyid,名字,属性描述
keyid,Name,AttrDesc
5001,발사,10%의 확률로 +
5002,발사,20%의 확률로 밀어내기 +
5003,발사,30%의 확률로 제거합니다. +
6001,날카로운,근접 공격+
6002,날카로운,근접 공격+
6003,날카로운,근접 공격+
7001,인간 사냥꾼,휴먼 헌터+
7002,인간 사냥꾼,휴먼 헌터+
7003,인간 사냥꾼,휴먼 헌터+
8001,비스트 헌터,비스트 헌터+
8002,비스트 헌터,비스트 헌터 +
8003,비스트 헌터,비스트 헌터 +
9001,엘리트 헌터,엘리트 헌터 +
9002,엘리트 헌터,엘리트 헌터 +
9003,엘리트 헌터,엘리트 헌터+
10001,점화하다,점화 등급
10002,점화하다,점화 등급
10003,점화하다,점화 등급
11001,넉백 거리 증가,넉백 거리 증가
11002,넉백 거리 증가,넉백 거리 증가
11003,넉백 거리 증가,넉백 거리 증가
12001,행운의 사냥,사냥 행운의 수준
12002,행운의 사냥,사냥 행운의 수준
12003,행운의 사냥,사냥 행운의 수준
13001,강력한 슈팅,활과 화살 피해+
13002,강력한 슈팅,활과 화살 피해+
13003,강력한 슈팅,활과 화살 피해+
14001,무제한 촬영,무제한 촬영
14002,무제한 촬영,무제한 촬영
14003,무제한 촬영,무제한 촬영
15001,튼튼한,내구성+
15002,튼튼한,내구성+
15003,튼튼한,내구성+
16001,근접 저항,근접 저항+
16002,근접 저항,근접 저항+
16003,근접 저항,근접 저항+
17001,장거리 저항,원격 저항 +
17002,장거리 저항,원격 저항 +
17003,장거리 저항,원격 저항 +
18001,폭발 저항,폭발 저항 +
18002,폭발 저항,폭발 저항 +
18003,폭발 저항,폭발 저항 +
19001,연소 저항,연소 저항 +
19002,연소 저항,연소 저항 +
19003,연소 저항,연소 저항 +
20001,독소 저항성,독소 저항성 +
20002,독소 저항성,독소 저항성 +
20003,독소 저항성,독소 저항성 +
21001,혼돈 저항,혼돈의 저항 +
21002,혼돈 저항,혼돈의 저항 +
21003,혼돈 저항,혼돈의 저항 +
22001,반격,근접 유닛에 대한 15% 반격 기회가 있습니다 +
22002,반격,근접 유닛의 반격 확률이 30%입니다. +
22003,Counterstrike,근접 유닛에 대한 반격 확률이 45%입니다.+
23001,넉백 거리 축소됨,넉백 거리 감소됨
23002,넉백 거리 축소,넉백 거리 감소
23003,넉백 거리가 줄었습니다.,넉백 거리가 감소되었습니다
24001,모든 것을 바로잡으세요,모든 것을 바로잡으세요
24002,모든 것을 바로잡으세요,모든 것을 바로잡으세요
24003,모든 것을 바로잡으세요,모든 것을 바로잡으세요
25001,디깅 속도,디깅 속도 +
25002,Digging Speed,Digging Speed +
25003,굴기 속도,굴기 속도 +
26001,행운을 파헤쳐 라.,행운의 레벨을 활용하세요
26002,행운을 파헤쳐 라.,행운의 레벨을 활용하세요
26003,행운을 파헤쳐 라.,행운의 레벨을 활용하세요
27001,폭발적인 샷,폭발 사격 +
27002,폭발적인 샷,폭발 사격 +
27003,폭발적인 샷,폭발 사격 +
28001,용은 서서히 떨어진다,낙하 피해-
28002,용은 서서히 떨어진다,낙하 피해-
28003,용은 서서히 떨어진다,낙하 피해-
29001,야만인 사냥꾼,새비지 헌터+
29002,야만인 사냥꾼,새비지 헌터+
29003,야만인 사냥꾼,새비지 헌터+
30001,내리막(레그 가드),"공중에 쪼그리고 앉기, 낙하 속도 +"
30002,내리막(레그 가드),"공중에 쪼그리고 앉기, 낙하 속도 +"
30003,내리막(레그 가드),"공중에 쪼그리고 앉기, 낙하 속도 +"
31001,벽 등반 (신발),벽은 오를 수 있지만 속도는 빠릅니다.
31002,벽 등반 (신발),벽은 오를 수 있지만 속도는 빠릅니다.
31003,벽 등반 (신발),벽은 오를 수 있지만 속도는 빠릅니다.
32001,피를 흘리다,출혈 수준
32002,피를 흘리다,출혈 수준
