ID,名字,描述
ID,Name,Desc
1,환영하다,파도와 인사말을 말하십시오
2,의심,"작은 두뇌, 큰 의심"
3,울다,얼굴을 덮고 울다
4,화난,화가 났고 쾅쾅
5,뻗기,조금 졸린 게으른 스트레칭
6,행복하다,해피 보인다
7,고마워하는,활을 진심으로
8,여가,주위를 둘러보고 휴식을 취하십시오
9,쓰러 뜨리다,갑자기 땅에 떨어지다
10,포즈,매력적인 서명 이동을하십시오
11,독점적 인 행동,Fluttershy 독점적 인 행동
12,독점적 인 행동,루나 공주 독점 행동
13,독점적 인 행동,핑키 파이 독점적 인 행동
14,독점적 인 행동,별빛은 독점적 인 조치를 취합니다
15,독점적 인 행동,무지개 대시 독점적 인 행동
16,독점적 인 행동,공주 Cadence 독점 조치
17,독점적 인 행동,꽃 듀이 독점적 인 행동
18,독점적 인 행동,공주 서리 독점 행동
19,독점적 인 행동,Rory 독점 조치
20,테스트 상호 작용 1.,사쿠라와 번개의 대화 형 행동
21,테스트 상호 작용 2.,사쿠라와 사쿠라의 대화 형 행동
22,테스트 상호 작용 3.,사쿠라를위한 공통 대화 형 행동
23,급증한 Warbler-Air Marsall.,하프를 재생하십시오
24,급증한 Warbler - Newbie.,소용돌이와 춤
25,무술 정신을 보여 주세요.,탕산 독점 액션
26,무술 정신을 보여 주세요.,스몰 댄스 전용 액션
27,무술 정신을 보여 주세요.,바이원 바이동 단독 액션
28,영혼의 기술을 발휘하십시오.,오스카 독점 액션
29,무술 정신을 보여 주세요.,마홍준 단독 액션
30,영혼의 능력을 풀어라.,다이 무바이 독점 액션
31,무술 정신을 보여 주세요.,주주칭 독점 액션
32,무술 보여주기,닝룽의 독점 액션
33,무술 보여주기,주주칭 독점 액션
34,무술 보여주기,닝룽의 독점 액션
