ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,포동포동,"츤데레 남자 판다, 바삭바삭한 대나무가 최고!","터전 열매에서 얻을 수 있는 분장 카드! 
 (적절한 오락 이성 소비)",걷기 발자국: 걸어가는 곳에 판다 발자국이 남습니다.,프로필 사진: 뚱딴지 프로필 사진 잠금 해제.,@Null@,,,
2,제천소성,"원숭이 해 설날 한정 판매, 제천소성님과 함께 즐거운 봄을 보내겠습니다!","터전 열매에서 얻을 수 있는 분장 카드! 
 (적절한 오락 이성 소비)",걷기 발자국: 걸어가는 곳에는 상운이 남습니다.,프로필 사진: 제천소성 프로필 사진 잠금 해제.,@Null@,,,
3,토끼미미,"귀요미 토끼걸, 걸어다닌 곳에는 무 발자국이 남습니다.","터전 열매에서 얻을 수 있는 분장 카드! 
 (적절한 오락 이성 소비)",걷기 발자국: 걸어가는 곳에는 당근 발자국이 남습니다.,프로필 사진: 토끼미미 프로필 사진 잠금 해제.,@Null@,,,
4,미스라,주르륵주르륵 원시세계에서 미스라를 조심하세요!,"터전 열매에서 얻을 수 있는 분장 카드! 
 (적절한 오락 이성 소비)",걷기 발자국: 걸어가는 곳에는 공룡 발자국이 남습니다.,프로필 사진: 미스라 프로필 사진 잠금 해제.,@Null@,,,
5,유리장,띵!링~야옹카페에 오신 것을 환영합니다!,"잠금해제 소품은 터전 열매에서 얻을 수 있습니다. 
 (적절한 오락 이성 소비)",걷기 발자국: 걸어가는 곳에는 고양이 발자국이 남습니다.,프로필 사진: 유리장 프로필 사진 잠금 해제.,@Null@,,,
6,조지,운동과 음악을 좋아하는 소년.,"잠금해제 소품은 터전 열매에서 얻을 수 있습니다. 
 (적절한 오락 이성 소비)",걷기 발자국: 걸어가는 곳에는 불루하트가 남습니다.,프로필 사진: 조지 프로필 사진 잠금 해제.,@Null@,,,
7,앤,춤과 과자를 좋아하는 원기 소녀.,"잠금해제 소품은 터전 열매에서 얻을 수 있습니다. 
 (적절한 오락 이성 소비)",걷기 발자국: 걸어가는 곳에는 레드하트가 남습니다.,프로필 사진: 앤 프로필 사진 잠금 해제.,@Null@,,,
8,묵가소비,오래된 묵가의 일원으로 제작기관의 고수였습니다.,@Null@,걷기 발자국: 걸어가는 곳에는 풍익이 남습니다.,프로필 사진: 기관사 프로필 사진 잠금 해제.,트랜스포머 모드 특수 비행.,모드 비행 효과 생성,,
9,드라큘라 6세,처음 추켜세운 왕실의 후예들을 받아들였으니 언제나 고상하고 냉혹했습니다.,"잠금해제 소품은 터전 열매에서 얻을 수 있습니다. 
 (적절한 오락 이성 소비)",신체 특수 효과: 몸에는 피안개와 검은 박쥐가 풍깁니다.,프로필 사진: 백작 프로필 사진 잠금 해제.,@Null@,,,
10,띵띵,크리스마스 골짜기에 사는 아기 곰팡이.,@Null@,신체 특수 효과: 몸에 크리스마스 아우라 발산!,프로필 사진: 사슴나비 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 성록 발자국이 남습니다,,,
11,황야 사냥꾼 쉐노,용감한 쉐노는 극지방에서 왔고 독수리는 모두 그의 친구가 되었습니다.,@Null@,신체 특수 효과: 차가운 눈송이를 풍깁니다,프로필 사진: 시노 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에 눈덩이 발자국이 남습니다,,,
12,우희,세상에 떨어진 선자는 우연히 모용소천을 만났습니다.,@Null@,신체 특수효과:몸에 꽃잎이 흩날립니다,프로필 사진: 우희 프로필 사진 잠금 해제.,@Null@,,,
13,모용소천,산을 나와 수행하던 은자가 우연히 우희를 만났습니다.,@Null@,신체 특수효과:몸에서 진기가 풍깁니다,프로필 사진: 모용소천 프로필 사진 잠금 해제.,걷기 발자국: 걸은 곳에 발자국이 남습니다,,,
14,서부 경장 조이,오 미안해 내 총알이 널 좋아하지 않을 수도 있어,@Null@,신체 특수 효과:발이 서부 카우보이의 매연을 풍깁니다,프로필 사진: 서부 경장 조이 프로필 사진 잠금 해제.,걷기 발자국: 걸은 곳에는 경성 발자국이 남습니다,,,
15,농구팀장 루카스,"날카로운 의식과 찰랑찰랑한 동선, 화려한 덩크슛으로 스타를 장악했습니다.",@Null@,@Null@,프로필 사진: 스몰포워드 루카스 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 큐빅 발자국이 남습니다,,,
