接口ID,韩语,韩语,韩语,韩语,韩语,韩语,韩语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,경기,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,게임을 종료,local result = Game:doGameEnd()
10002,경기,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,사용자 정의를위한 스크립트의 속성을 설정합니다,"local result = Game:setScriptVar(index, val)"
10003,경기,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",사용자 정의를위한 스크립트 속성을 수신,local result = Game:getScriptVar(index)
10004,경기,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,스크립트의 속성을 업로드,local result = Game:sendScriptVars2Client()
10005,경기,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",새로운 글로벌 효과,local result = Game:addRenderGlobalEffect(path)
10006,경기,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,클리어 글로벌 효과,local result = Game:removeRenderGlobalEffect(effectid)
10007,경기,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,글로벌 효과의 위치를 ​​설정합니다,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,경기,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,설정 글로벌 줌 효과,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,경기,msgBox,Game:msgBox(msg),,,메세지 박스,local result = Game:msgBox(msg)
20001,세계,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",이 낮 여부,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,세계,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",이 게임을 사용자 정의 여부,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,세계,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",여부는 생성 모드,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,세계,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",멀티 플레이어 생성 모드 또는 사용자 정의 편집 모드,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,세계,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",하드 코어,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,세계,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",서바이벌 모드 - 무료 모드,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
