ID,名字,描述
ID,Name,Desc
1,승마용 아기,이 스킬을 가진 탈것들은 지도에서 일정 기간 플레이한 후 1개의 탈것 아기를 산출해 방의 다른 작은 파트너에게 선물할 수 있다.
2,스퍼트,축력 기간 동안 이동 속도가 30% 증가합니다.
3,물을 밟다,물 위를 빠르게 걸을 수는 있지만 물 위를 뛰어다닐 수는 없다.
4,오버 점프,뛰어난 점프 능력을 가지고 있습니다.
5,활공하다,공중에서 바람을 타고 활공할 수 있다.
6,염주,마그마 표면을 걸을 수 있습니다.
7,돌진하다,점프 후 공중에서 점프 키를 누르면 페이스 북으로 질속 스퍼트를 한다.
9,쌍승마,2명의 승객을 태울 수 있으니 파트너를 데리고 가세요~.
10,껑충껑충 뛰다,"점프키를 계속 사용하여 위로 날아올릴 수 있지만, 매우 빠르게 떨어집니다."
11,완강하다,높은 생명력을 가지고 있다.
12,부유한 물 위에 뜬 물,수면 위로 떠오를 수 있습니다.
13,잠영,물속으로 잠수하여 헤엄칠 수 있다.
14,급류,물 속에서 점프키를 누르면 면 북측으로 질속돌진한다.
15,자동차 돌격,앞으로 스퍼트하여 충돌하다.
16,패천호 미사일,직선으로 미사일을 발사하다.
17,나나니벌이 갑자기 가시에 찔리다.,한동안 앞으로 전력질주하다.
18,날아서 덮치다,점프키를 길게 눌러 만력을 축조하고 점프 착지 시 전방 생물에 감속 buff를 가한다.
19,위협하다,점프키를 길게 눌러 만력을 축조하면 점프 착지 시 단거리에서 전방 생물을 격퇴할 수 있다.
20,둥둥 떠다니다,공중에 떠다니며 짧은 거리를 비행할 수 있어 낙하과정에 피가 빠지지 않는다.
21,비행하다,"공중에서 어느 정도 거리를 비행할 수 있고, 낙하 과정에서 피가 빠지지 않는다."
22,쌍승마,2명의 승객을 태울 수 있으니 파트너를 데리고 가세요~.
23,에너지 방패,당신과 당신의 동료를 보호하는 에너지 방패를 형성할 수 있습니다.
24,1인승,한 명의 승객을 태울 수 있다.
25,공중 경보,"공중에서 어느 정도 거리를 비행할 수 있고, 낙하 과정에서 피가 빠지지 않는다."
26,레드 번개,한동안 앞으로 전력질주하다.
27,핵융합 레이저,직선으로 미사일을 발사하다.
28,염옥화,화염을 뿜어내고 전방 생물에 이글거리는 데버프를 가하려면 공격키를 클릭.
29,명화,화염을 뿜어내고 전방 생물에 이글거리는 데버프를 가하려면 공격키를 클릭.
30,날개를 치다,"점프키를 길게 누르면 공중에서 짧은 거리를 비행할 수 있으며, 낙하과정에 피가 빠지지 않습니다."
31,날개를 펼치다,"점프 키를 길게 누르면 공중에서 긴 거리를 비행할 수 있으며, 낙하 과정에서 피가 빠지지 않습니다."
32,사나운 용이 포효하다.,공격키를 눌러 으르렁거리면 전방 생물에 감속 버프를 가한다.
33,날갯짓,"점프키를 길게 누르면 공중에서 짧은 거리를 비행할 수 있으며, 낙하과정에 피가 빠지지 않습니다."
