ID,名称,描述,说明
ID,Name,Desc,Notes
100001,현재 글로벌 날씨 모드,현재 글로벌 날씨 모드,
100002,위치에서 위치까지의 거리,%1과 %2 사이의 거리,
100006,위치는 영역 판단에 있습니다.,%1 %2 in%3,
100007,지정된 위치의 블록 유형,%1에 대한 블록 유형,
100008,위치 대 위치 방향,%1에서 %2로의 방향,
100009,절대 3축 좌표 방향,"X%1, Y%2, Z%3의 방향",
10001,위치를 영역으로 변환,"크기 영역(%2, %3, %4) %1을 중심점으로 합니다.",
100010,절대 구형 좌표 방향,"방위각%1, 고도 방향%2",
100011,위치,위치%1,
100012,지역,영역%1,
100013,타이머,타이머%1,
100014,위치 그룹,위치 그룹%1,
100015,지역 그룹,지역 그룹%1,
100016,타이머 그룹,타이머 그룹%1,
100017,임의의 날씨,임의의 날씨,
100018,지형 그룹을 위한 날씨,%1의 날씨,
10002,면적 간격띄우기,"%1 축을 따라 오프셋 (%2,%3,%4)",
10003,영역 확장,"%1의 세 축의 크기를 각각 X%2, Y%3, Z%4 제곱으로 확장합니다.",
10005,좌표 위치 지정,좌표 값의 위치 X%1Y%2Z%3,
10006,위치 이동(원래 위치 변경),"%1 축을 따라 오프셋 (%2,%3,%4)",
10007,지역의 중앙 위치,%1의 중앙 위치,
10008,해당 지역의 임의의 위치,%1의 임의의 위치,
10009,타이머 시간,%1 회,
10010,방향 광선의 길이 지정,%1에서 %2로 %3 광선을 주조하여 블록과 시작 위치 사이의 광선 길이를 반환합니다.,
10011,끈 꿰매기,%1 및%2,
10012,값을 문자열로 변환,%1을 문자열로 변환,
10015,광선에 맞은 정사각형 유형,%1에서 %2로 %3 제곱을 발사하여 적중 한 정사각형 유형,
10016,삼축 좌표계에 상대적인 방향,"X%2, Y%3, Z%4의 방향%1",
10017,구형 좌표계에 상대적인 방향,"방위각%2가 %1을 향하고, 고도 방향%3",
10018,플레이어 개체,%1 개체,
10019,생물학적 물체,%1 개체,
10020,던지는 물체,%1 개체,
10021,드롭 오브젝트,%1 개체,
10022,톤을 값으로 변환,%1을 값으로 변환,
10024,위치 오프셋(원래 위치를 변경하지 않고),"%1 축을 따라 오프셋 (%2,%3,%4)",
10025,부울,부울%1,
10026,숫자 값,값%1,
10027,끈,문자열%1,
10028,외모 유형,외모 유형%1,
10029,부울 값 그룹,부울 그룹%1,
10030,숫자 그룹,숫자 그룹%1,
10031,문자열 그룹,문자열 그룹%1,
10032,모든 그룹의 값 수 가져오기,%1에서 중위수 값 수 가져오기,
10033,모든 그룹의 임의 값 수 가져오기,%1에서 %2의 번호를 가져옵니다.,
10034,모든 그룹의 값 수 가져오기,%1에서 %2의 번호를 가져옵니다.,
10035,모든 가치 판단은 모든 그룹에 존재합니다.,%1의 %2,
10036,모든 그룹 지정 숫자 존재 값 판단,%1의 위치 번호%2에 값이 존재합니다.,
10037,문자열 가로채기,%1의 %2-%3 자리 가로채기,
10038,문자열을 값으로 변환,%1을 값으로 변환,
10039,호스트 장치 시간 가져오기,장치의%1 번 받기,
10040,전체 호스트 장치 시간 가져오기,전체 장치 시간 확보,
10041,랜덤 블록 유형,랜덤 블록 유형,
