iD,韩语,韩语
ID,Name,AttrDesc
5,공중 공격,근접 공격은 목표를 공중으로 4의 높이로 날려 버립니다.
5,공중 공격,근접 공격은 목표를 공중으로 6의 높이로 날려 버립니다.
5,공중 공격,근접 공격은 목표를 공중으로 8의 높이로 날려 버립니다.
5,공중 공격,근접 공격은 10거리 높이로 목표를 공중으로 밀어냅니다.
5,공중 공격,근접 공격은 12 거리 높이로 목표를 공중으로 밀어 냅니다.
6,예리한,근접 공격 대미지 +5
6,예리한,근접 공격 대미지 +40
6,예리한,근접 공격 대미지 +16
6,예리한,근접 공격 대미지 +24
6,예리한,근접 공격 대미지 +35
7,인간 사냥꾼,인간에 대한 근접 공격 대미지 +8
7,인간 사냥꾼,인간에 대한 근접 공격 대미지 +16
7,인간 사냥꾼,인간에 대한 근접 공격 대미지 +25
7,인간 사냥꾼,인간에 대한 근접 공격 대미지 +40
7,인간 사냥꾼,인간에 대한 근접 공격 대미지 +60
8,동물 사냥꾼,동물에 대한 근접 공격 대미지 +8
8,동물 사냥꾼,동물에 대한 근접 공격 대미지 +16
8,동물 사냥꾼,동물에 대한 근접 공격 대미지 +25
8,동물 사냥꾼,동물에 대한 근접 공격 대미지 +40
8,동물 사냥꾼,동물에 대한 근접 공격 대미지 +60
9,데몬 사냥꾼,분노한 슈터와 마그마 몬스터에 대한 근접 공격 대미지 +8
9,데몬 사냥꾼,분노한 슈터와 마그마 몬스터에 대한 근접 공격 대미지+16
9,데몬 사냥꾼,분노한 슈터와 마그마 몬스터에 대한 근접 공격 대미지 +25
9,데몬 사냥꾼,분노한 슈터와 마그마 몬스터에 대한 근접 공격 대미지 +40
9,데몬 사냥꾼,분노한 슈터와 마그마 몬스터에 대한 근접 공격 대미지 +60
29,야만인 사냥꾼,야만인에 대한 근접 공격 대미지 +8
29,야만인 사냥꾼,야만인에 대한 근접 공격 대미지 +16
29,야만인 사냥꾼,야만인에 대한 근접 공격 대미지 +25
29,야만인 사냥꾼,야만인에 대한 근접 공격 대미지 +40
29,야만인 사냥꾼,야만인에 대한 근접 공격 대미지 +60
10,점화,공격으로 목표를 3초간 불태우고 초당 5의 대미지를 줍니다.
10,점화,공격으로 목표를 3초간 불태우고 초당 10의 대미지를 줍니다.
10,점화,공격으로 목표를 3초간 불태우고 초당 15의 대미지를 줍니다.
10,점화,공격으로 목표를 3초간 불태우고 초당 20의 대미지를 줍니다.
10,점화,공격으로 목표를 3초간 불태우고 초당 25의 대미지를 줍니다.
11,밀어내기,본 공격은 목표를 2거리 만큼 추가로 밀어냅니다.
11,밀어내기,본 공격은 목표를 4거리 만큼 추가로 밀어냅니다.
11,밀어내기,본 공격은 목표를 6거리 만큼 추가로 밀어냅니다.
11,밀어내기,본 공격은 목표를 8거리 만큼 추가로 밀어냅니다.
11,밀어내기,본 공격은 목표를 10거리 만큼 추가로 밀어냅니다.
12,행운의 사냥,생명체를 처치시 더블 드롭을 얻을 확률 20%
12,행운의 사냥,생명체를 처치 시 더블/트리플 드롭을 얻을 확률 20%/15%
12,행운의 사냥,생명체를 처치 시 더블/트리플/쿼드러플 드롭을 얻을 확률 20%/15%/15%
13,강력한 총쏘기,활 공격 대미지 25% 증가
13,강력한 총쏘기,활 공격 대미지 50% 증가
13,강력한 총쏘기,활 공격 대미지 75% 증가
13,강력한 총쏘기,활 공격 대미지 100% 증가
13,강력한 총쏘기,활 공격 대미지 125% 증가
14,무제한 총쏘기,화살 없이 활을 쏠 수도 있습니다. 각 샷은 내구성을 1 소비합니다.
14,무제한 총쏘기,화살 없이 활을 쏠 수도 있습니다. 각 샷은 내구성을 2 소비합니다.
14,무제한 총쏘기,화살 없이 활을 쏠 수도 있습니다. 각 샷은 내구성을 3 소비합니다.
14,무제한 총쏘기,화살 없이 활을 쏠 수도 있습니다. 각 샷은 내구성을 4 소비합니다.
14,무제한 총쏘기,화살 없이 활을 쏠 수도 있습니다. 각 샷은 내구성을 5 소비합니다.
