ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Mode météorologique mondial actuel,Mode météorologique mondial actuel,
100002,Distance d'un endroit à l'autre,Distance entre %1 et %2,
100006,La position est dans le jugement de zone,%1 %2 dans %3,
100007,Type de bloc à l'emplacement spécifié,Type de bloc pour %1,
100008,Orientation de position à position,Direction de %1 vers %2,
100009,Coordonnées triaxiales absolues,"Orientation de X %1, Y %2, Z %3",
10001,Convertir l'emplacement en zone,"Zone de taille ( %2, %3, %4) avec %1 comme point central",
100010,Direction absolue des coordonnées sphériques,"Azimut %1, direction de l'élévation %2",
100011,emplacement,Position %1,
100012,zone,Zone %1,
100013,minuterie,Minuterie %1,
100014,Groupe de localisation,Groupe d'emplacements %1,
100015,Groupe régional,Groupe régional %1,
100016,Groupe de minuterie,Groupe de minuterie %1,
100017,Météo aléatoire,Météo aléatoire,
100018,Météo pour les groupes de terrain,Météo pour %1,
10002,Décalage de surface,"%1 décalage le long de l'axe ( %2, %3, %4)",
10003,Agrandir la zone,"Agrandir la taille des trois axes de %1 de X %2, Y %3, Z %4 carrés respectivement",
10005,Spécifier la position des coordonnées,Position de la valeur de la coordonnée X %1Y %2Z %3,
10006,Décalage de position (changer la position d'origine),"%1 décalage le long de l'axe ( %2, %3, %4)",
10007,Situation centrale de la zone,Emplacement central de %1,
10008,Emplacement aléatoire dans la région,Emplacement aléatoire de %1,
10009,Temps de minuterie,%1 fois,
10010,Spécifier la longueur du rayon directionnel,"Lancez %3 rayons de %1 à %2, en retournant la longueur de rayon entre le bloc et la position de départ",
10011,Couture ficelle,%1 et %2,
10012,Convertir la valeur en chaîne,Convertir %1 en chaîne,
10015,Type de carré touché par un rayon,Type de case touchée par le tir de %3 cases de %1 à %2,
10016,Direction par rapport au système de coordonnées triaxiales,"Orientation de X %2, Y %3, Z %4 face à %1",
10017,Direction par rapport au système de coordonnées sphériques,"Azimut %2 face à %1, direction de l'élévation %3",
10018,Objet joueur,Objet %1,
10019,objet biologique,Objet %1,
10020,Lancer un objet,Objet %1,
10021,Déposer un objet,Objet %1,
10022,Convertir les tons en valeurs,Convertir %1 en valeur,
10024,Décalage de position (sans changer la position d'origine),"%1 décalage le long de l'axe ( %2, %3, %4)",
10025,Booléen,Booléen %1,
10026,valeur numérique,Valeur %1,
10027,String,Chaîne %1,
10028,Type d'apparence,Type d'apparence %1,
10029,Groupe de valeurs booléennes,Groupe booléen %1,
10030,Groupe numérique,Groupe numérique %1,
10031,Groupe de cordes,Groupe de chaînes %1,
