ID,名字,Desc
ID,Name,Desc
1053,,
1054,,
1055,,
1056,Screen Applique,Faire apparaître des appliques sur l'écran du personnage
1057,Arrêter l'action,Faire en sorte que le personnage s'arrête à l'image en cours
1058,Changer la texture,Changer la texture du personnage en un matériau de glace
1059,Effet spécial glace,Ajouter des effets spéciaux de glace au personnage
1060,Fin du changement de température,Régler la température du personnage sur @2 lorsque l'état se termine
1061,Fin des effets spéciaux et des effets sonores,Jouer des effets spéciaux et des effets sonores à la fin de l'état
1062,La température affecte la durée,La durée de l'état varie en fonction de la température ambiante.
1063,Suppression de l'état en cas de dommages cumulés,L'état est supprimé lorsque les dégâts cumulés de @1 atteignent @2
1064,Changement de température dans le temps,Modifie la température du personnage de @2 toutes les @1s
1065,Changement de température apparent,Modifie la température ambiante affectant le personnage de @1
1066,Changement de la température environnante,Augmente la température ambiante dans @1 grille autour du personnage de @2
1067,Condensation et fonte des blocs,"Faire geler l'eau dans un rayon de @1 grille autour du personnage, avec une différence de hauteur de @2 grilles au-dessus et au-dessous."
1068,Génération aléatoire de blocs à proximité,"Dans la zone cylindrique autour du joueur avec un rayon de @1 et une hauteur de @2, générer @4 sur la surface supérieure d'un bloc aléatoire toutes les @3s."
1069,donner à l'attaquant un statut.,"En cas d'attaque @1 fois, il y a @2% de chances que l'attaquant obtienne @3"
1070,Le taux de récupération alimentaire a été modifié,@1L'apport de @2nourriture rétabli@3 a été augmenté
