ID,名字,描述
ID,Name,Desc
1,Saluer,Vague et dire bonjour
2,Doute,"Petit cerveau, gros doutes"
3,Cri,Couvrir votre visage et pleurer
4,En colère,En colère et piétinant
5,S'étirer,"Un peu somnolent, un étirement paresseux"
6,Content,Semble heureux
7,Reconnaissant,Arc sincèrement
8,Loisirs,Regardez autour de vous et détendez-vous
9,Est tombée,Tomber au sol soudainement
10,Pose,Mettre sur une charmante mouvement de signature
11,Action exclusive,Action exclusive à fluttershy
12,Action exclusive,Princesse Luna Action exclusive
13,Action exclusive,Pinkie tarte Action exclusive
14,Action exclusive,Action exclusive exclusive de Starlight Stright Slimmer
15,Action exclusive,Actions exclusives exclusives d'arc-en-ciel
16,Action exclusive,Princesse Cadence Action exclusive
17,Action exclusive,Action exclusive de Dewie Flower Dewie
18,Action exclusive,Action exclusive de princesse Frost
19,Action exclusive,Rory Action exclusive
20,Interaction test 1,L'action interactive de Sakura et de la foudre
21,Interaction de test 2,L'action interactive de Sakura et Sakura
22,Interaction de test 3,Actions interactives communes pour Sakura
23,Seabler de la florard-air Marsall,Play Harp
24,Sorant Warbler - Newbie,Tourbillon et danse
25,Montrer l'esprit martial,Tang San action exclusive
26,Montrer l'esprit martial,Petite danse action exclusive
27,Montrer l'esprit martial,Bi Bidong action exclusive
28,Libérez les compétences de l'âme,Action exclusive aux Oscars
29,Montrer l'esprit martial,Ma Hongjun action exclusive
30,Libérer les capacités spirituelles,Dai Mubai action exclusive
31,Montrer l'esprit martial,Zhu Zhuqing action exclusive
32,Afficher les arts martiaux,Ning Rongrong action exclusive
33,Afficher les arts martiaux,Zhu Zhuqing action exclusive
34,Afficher les arts martiaux,L'action exclusive de Ning Rongrong
