ID,任务名
ID,Name
1001,Vaincre le vide!
1002,Travaille dur pour l'aube
1003,Nouvel explorateur
1004,Apprentissage sans fin
1005,Explorateur qualifié
1006,Ingénieur Starlink
1007,Perdu dans la forêt tropicale
1008,Épreuve éternelle
1009,"Super sauvetage vide ""pierre"""
2001,Artisan de l'outillage
2002,Garde forestier
2003,Parleur de fleurs
2004,Farmland Watcher
2005,Histoire d'élevage
2006,Maître formateur
2007,Introduction à la cuisine
2008,Chef principal
2009,Grand Chef
2010,Grand artiste
2011,Légende de la pêche
2012,Expert minier
3001,Artisan d'armes
3002,Technicien en blindage
3003,Rune Power Desirer
3004,Berserker
3005,Chasseur sauvage
4001,Un partenaire fiable
4002,Les traces de mon existence
4003,Shayuan Traveler
4004,30 000 milles sous la mer
4005,Expédition polaire
4006,Circuit stellaire (Réservé)
4007,Véhicule mécanique (Réservé)
