ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,air,Tu ne peux pas me voir,
1,pierre angulaire géocentrique,"Situé au centre le plus profond de la terre, super dur et inébranlable",
2,Bloc fonction,"Cube magique, puissance inconnue",
3,eau statique,Cube d'eau calme,
4,Eau dynamique,Eau fluide,
5,magma statique,"Encore des cubes de lave, attention c'est chaud!",
6,Magma dynamique,"Cubes de magma qui coulent, attention c'est chaud et ça va faire mal!",
7,Effet lumineux de transmission,On dirait un cube magique,
8,Brique sculptée,Blocs de construction en relief à texture dure,
9,Accélérer le bloc de déplacement,Les gens qui traversent ce bloc recevront une poussée inexplicable,
10,bloc d'énergie étoile,"Après le placement, il peut émettre en continu #c0aba1d un signal d'énergie stellaire #n",
11,Miel statique,Encore du miel,
12,Miel dynamique,Miel fluide,
13,sable mouvant statique,"La ""rivière"" composée de sable fin est dangereuse!",
14,Sables mouvants dynamiques,"La ""rivière"" composée de sable fin est dangereuse!",
15,Mantra Rock,Qu'arrive-t-il aux roches qui dégagent une étrange aura lorsqu'elles touchent des sables mouvants? Vous obtiendrez une malédiction sanglante lorsque vous creuserez!,Les murs extérieurs des ruines souterraines
16,Mantra Rock - Activer,Qu'arrive-t-il aux roches qui dégagent une étrange aura lorsqu'elles touchent des sables mouvants? Vous obtiendrez une malédiction sanglante lorsque vous creuserez!,Les murs extérieurs des ruines souterraines
17,Poison statique,"Liquides dangereux, restez à l'écart le plus possible",
18,Poison dynamique,"Liquides dangereux, restez à l'écart le plus possible",
19,Roche érodée par le vent,"Rochers du désert érodés par des vents violents, quelque peu fragiles",
20,Air extraterrestre,Allez télécharger la dernière version du jeu!,
21,La version du jeu est trop basse,Allez télécharger la dernière version du jeu!,
22,La version du jeu est trop basse,Allez télécharger la dernière version du jeu!,
23,Hydrite,"La structure stratifiée formée en étant pressée pendant des dizaines de milliers d'années dans les grands fonds contient toutes sortes de nutriments nécessaires aux algues des grands fonds, ce qui convient parfaitement à la culture d'algues fluorescentes et d'algues rouges",Destruction de roches accrétiques
24,minerai de nodule de manganèse,"Utilisé pour #c0aba1d renforcer l'équipement de plongée, faire des blocs de verre trempé #n résister à la haute pression de la mer profonde","Le manganèse métal est un minéral produit par la condensation continue du manganèse métal dans les roches profondes, il n'est donc que légèrement produit dans les grands fonds, et les nodules de manganèse qui tombent après destruction"
25,récif,"Très approprié pour la croissance des coraux, à mesure que le corail mûrit, la couleur du récif changera également",
26,Bouteille à la dérive,"Dans l'écologie océanique et fluviale #c0aba1d #n jetée, le courant portera votre souhait au loin, peut-être qu'un jour il se retrouvera au loin",Placez le rouleau de cuir dans un petit carré de bouteille en verre pour obtenir
27,Bouteille à la dérive au loin,"La note scellée dans la bouteille dérivante contient souvent des informations importantes ou des bénédictions sincères. Bien sûr, il peut aussi s'agir des pensées de quelqu'un à un certain moment. On dirait qu'elle a traversé montagnes et mers et traversé le temps... Posez la bouteille sur le sol et sortez la note pour voir...",La pêche et l'exploration de l'océan ont une chance d'obtenir
28,Petite bouteille en verre (carré),Disposez-le et mettez le rouleau de cuir écrit,
29,sable jaune,"Communément trouvés dans les zones riveraines et désertiques, les outils de pelle peuvent être rapidement extraits et sont des matières premières pour le traitement du sable de quartz, qui est souvent utilisé pour tirer du verre.",Commun dans #c0aba1d les zones riveraines #n et #c0aba1d désertiques #n
30,La version du jeu est trop basse,Allez télécharger la dernière version du jeu!,
31,Pointes de glace solide,Les pointes de glace sont tout à fait #c0aba1dstable#n. Assurez-vous de porter un casque lorsque vous êtes près d'eux !,
32,Pointes de glace flottantes,Ces pointes de glace sont très susceptibles de #c0aba1ddrop#n. Assurez-vous de porter un casque lorsque vous êtes près d'eux !,
33,Minerai ordinaire de noyau cristallin,Besoin d'être collecté avec @item_11013# ou plus avancé.,Minerais rares qui peuvent apparaître dans les grottes de montagne #c0aba1dSnow#n du champ de glace et le #c0aba1dunderground#n de la forêt tropicale.
34,Minerai de feu de givre,Minerais qui émettent un froid glacial. Doivent être collectés avec @item_11011# ou des plus avancés. Il #c0aba1dlower la température ambiante #n.,Minerais rares qui peuvent apparaître dans les grottes de montagne #c0aba1dSnow#n du champ de glace.
35,Pierre Frostfire,Un bloc effrayant fabriqué à partir de beaucoup de @item_11824#. Cela #c0aba1dsignificantly abaissera la température ambiante#n.,
36,Rafraîchissement de l'entrée de la grotte,,
37,Actualisation du tunnel de la grotte,,
38,Remise à jour de la caverne,,
39,Rafraîchissement du trou de la grotte,,
40,Bloc de cristal du Vide,"Fabriqué à partir de blocs de cristal du Vide, ce bloc spécial illumine l'espace environnant. Soyez prudent lorsque vous le placez sous @item_596#, car il peut attirer les monstres les plus puissants pendant la Nuit du Vide. Fais-en bon usage!",
100,Bloc de sol herbeux,"Un bloc à la surface, peut être rapidement collecté avec des pelles. #c0aba1dUse Rakes pour en faire @item_102#. Utilisez des pelles pour en faire un @item_103#.",Obtenez-le en utilisant @item_11226# sur @item_101#.
101,motte,"Il est facilement disponible sous la surface. Après la pluie, il peut germer de la verdure et devenir des blocs d'herbe. Les outils de pelle peuvent être rapidement extraits. #c0aba1d utiliser des outils de râteau pour devenir des terres cultivées et utiliser des outils de pelle pour devenir des fosses de sol",Disponible sous la surface
102,terres arables,"Les cultures peuvent être plantées, près de l'eau ou irriguées avec des sources d'eau pour les garder humides et faciliter la croissance des cultures",
103,fosse de terre,"Les graines de fleurs et les jeunes arbres peuvent être plantés, près de la source d'eau ou irrigués avec de l'eau pour la garder humide et propice à la croissance des plantes.",
104,rock,"Peut être vu partout sous terre, les outils de pioche peuvent être rapidement extraits",
105,pierre bleue,Matériaux de construction en pierre et mousse,
106,sable fin jaune,"Communément trouvé dans les zones riveraines et désertiques, les outils de pelle peuvent être rapidement extraits, est la matière première pour le traitement du sable de quartz, le sable de quartz est souvent utilisé pour tirer du verre #r tombera sous l'influence de la gravité",Commun dans les zones riveraines et désertiques
107,tas de gravier,"Des tas de gravier non fermes, des outils de pelle peuvent être rapidement extraits. #r vide ci-dessous, se tenir dessus s'effondrera, faites attention à rester ferme",
108,Brique jaune unie,Des matériaux de construction tirés du sable jaune,
109,sable,"Mottes stériles sur lesquelles les plantes ne peuvent pas pousser, les outils de pelle peuvent être rapidement extraits",
110,Pierres éparses,"Petite roche usée par le vent, obtenue après l'exploitation minière, utilisée pour traiter les outils en pierre",
111,La version du jeu est trop basse,Allez télécharger la dernière version du jeu!,
112,longeron noir,"Affecté par le fantôme du vide, la structure géologique a radicalement changé, et le minerai n'existe plus",
113,Glace croustillante,"La glace cassante sur l'eau, après s'être brisée, se transforme en étoiles et se dissipe entre ciel et terre",
114,limon,"Les mottes sous-marines, les outils de pelle peuvent être rapidement extraits",
115,Neige moelleuse,Une fine lame de neige molle à la hauteur d'un quart de grille. Peut être empilé pour changer l'épaisseur.,
116,Jolie pierre d'étoile pour les yeux,"Les pierres spéciales de Cute Eye Star ont une forte capacité anti-explosion, et elles doivent être exploitées avec #c0aba1d une pioche en argent secrète #n ou des outils de pioche plus avancés",
117,Bloc d'herbe étoilée aux yeux mignons,L'herbe de l'étoile oeil mignon contient les nutriments nécessaires à la croissance des plantes. Utilisez #c0aba1d pelle en mithril #n ou des outils de pelle plus avancés pour miner,
118,Nuage d'étoiles aux yeux mignons,Les nuages autour de Cute Eye Star Island commenceront à se briser lorsque vous marcherez dessus,
119,sol sec,"Sur Cute Eye, les mottes de Myra doivent être placées sur le milieu de culture des plantes de la planète pour maintenir les nutriments, sinon elles perdront des nutriments et deviendront un sol sec",
120,Sol gelé,"Dans les environnements froids, @item_100# et @item_101# se transformeront en @item_120#. Les plantes qui prospèrent dans des environnements froids doivent pousser sur ce type de sol.",
121,Fosse gelée,Des graines et des jeunes arbres de fleurs et d'arbres qui préfèrent les environnements froids peuvent être plantés ici.,
122,Neige épaisse,Neige épaisse qui fond dans l'eau lors de la rencontre #c0aba1dlava#n. Cela va #c0aba1dslightly abaisser la température ambiante #n.,
123,Glace naturelle,"Il est couramment vu dans les régions froides et enneigées, et fondra dans l'eau dans les environnements à #c0aba1dhigh température #n. Peut être rapidement collecté avec des pioches. Cela va #c0aba1dslightly abaisser la température ambiante#n.",
124,pyroxène,"Roche commune de l'étoile enflammée, qui peut être rapidement exploitée avec des outils de pioche",
