角色ID,法语,法语,法语,法语,法语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Chef,Chef d'une tribu primitive qui aime s'aventurer partout et étendre les terres de sa tribu.,Robustesse,Augmente les dégâts de base (non activé),@Null@
2,Chef,Chef d'une tribu primitive qui aime s'aventurer partout et étendre les terres de sa tribu.,Robustesse1,Dégâts de base +5,@Null@
3,Chef,Chef d'une tribu primitive qui aime s'aventurer partout et étendre les terres de sa tribu.,Robustesse2,Dégâts de base +10,@Null@
4,Femme du chef,Mère tribale musclée qui excelle dans la chasse.,Maître de chasse,Augmente les gains de chasse (non activé)  ,@Null@
5,Femme du chef,Mère tribale musclée qui excelle dans la chasse.,Maître de chasse1,A 25% de chance d'obtenir le double de drops en vainquant des monstres.,@Null@
6,Femme du chef,Mère tribale musclée qui excelle dans la chasse.,Maître de chasse2,A 25%/15% de chance d'obtenir le double/triple de drops en vainquant des monstres.,@Null@
7,Kane,Il a grandi dans la tribu primitive et peut survivre dans la nature.,Obstination,Réduire les dégâts encaissés par les ATQ à distance (non activé),@Null@
8,Kane,Il a grandi dans la tribu primitive et peut survivre dans la nature.,Obstination1,Réduire les dégâts encaissés par les ATQ à distance de 20% ,@Null@
9,Kane,Il a grandi dans la tribu primitive et peut survivre dans la nature.,Obstination2,Réduire les dégâts encaissés par les ATQ à distance de 40% ,@Null@
10,Niur,Une sœur primitive travailleuse qui est particulièrement active en labeur.,Travailleuse,Augmenter la vitesse de ramassage (non activé),@Null@
11,Niur,Une sœur primitive travailleuse qui est particulièrement active en labeur.,Travailleuse1,La vitesse de ramassage augmente de 50%.,@Null@
12,Niur,Une sœur primitive travailleuse qui est particulièrement active en labeur.,Travailleuse2,La vitesse de ramassage augmente de 100%.,@Null@
13,Enfant sauvage,Chaque famille a un enfant surexcité. Attendez ! Qu'a-t-il à la main ?,Génie des bombes,Réduire les dégâts d'explosion (non activé),@Null@
14,Enfant sauvage,Chaque famille a un enfant surexcité. Attendez ! Qu'a-t-il à la main ?,Génie des bombes1,Réduire les dégâts d'explosion de 20%,@Null@
15,Enfant sauvage,Chaque famille a un enfant surexcité. Attendez ! Qu'a-t-il à la main ?,Génie des bombes2,Réduire les dégâts d'explosion de 40%,@Null@
16,Capitaine Tom,"Ancien soldat des forces mondiales de maintien de la paix, bon en survie sur le champ et en tir.",Survie sur le champ,Améliorer les effets de la nourriture et la respiration sous l'eau (non activé),Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
17,Capitaine Tom,"Ancien soldat des forces mondiales de maintien de la paix, bon en survie sur le champ et en tir.",Survie sur le champ1,La récupération de la satiété/santé et le temps de respiration sous l'eau augmentent de 15%,Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
18,Capitaine Tom,"Ancien soldat des forces mondiales de maintien de la paix, bon en survie sur le champ et en tir.",Survie sur le champ2,La récupération de la satiété/santé et le temps de respiration sous l'eau augmentent de 30%,Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
19,Agent Laura,Déesse d'une entreprise de sécurité qui aime les aventures passionnantes.,Prophétie,Immunisé contre les dégâts mortels une fois (non activé),Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
20,Agent Laura,Déesse d'une entreprise de sécurité qui aime les aventures passionnantes.,Prophétie1,"Lorsque les dommages prises sont supérieurs à 45 points et provoquent la mort, il se régénérera immédiatement avec 25% de la valeur de la santé. L'intervalle de déclenchement est de 5 minutes.",Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
21,Agent Laura,Déesse d'une entreprise de sécurité qui aime les aventures passionnantes.,Prophétie2,"Lorsque les dommages prises sont supérieurs à 25 points et provoquent la mort, il se régénérera immédiatement avec une santé de 50% et l'intervalle de déclenchement est de 3 minutes.",Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
22,Cindy coquine,Une pilote maligne de l'équipe d'archéologie primitive.,Super saut,Renforcer la capacité de saut. Elle peut faire un double saut au niveau II (non activé),Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
23,Cindy coquine,Une pilote maligne de l'équipe d'archéologie primitive.,Super saut1,"Hauteur de saut +50%, dégâts de chute -10.",Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
24,Cindy coquine,Une pilote maligne de l'équipe d'archéologie primitive.,Super saut2,"Hauteur de saut +50%, dégâts de chute -20. Peut faire un double saut",Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
25,Peter l'assistant,Il a rejoint l'équipe d'archéologie pour un diplôme parfait.,Hereux hasard,Il a a chance de trouver divers objets en brisant les pots (non activé),Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
26,Peter l'assistant,Il a rejoint l'équipe d'archéologie pour un diplôme parfait.,Hereux hasard1,Il a 18% de chance de trouver des matériaux rares en brisant les pots,Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
27,Peter l'assistant,Il a rejoint l'équipe d'archéologie pour un diplôme parfait.,Hereux hasard2,Il a 27% de chance de trouver plus de matériaux rares et de cubes spéciaux en brisant les pots,Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
28,Professeur Stephen,Pourquoi un ancien professeur de l'Académie nationale des sciences apparaît-il dans ces terres sauvages ?,Apprentissage de qualité,Il a une chance de trouver divers objets en déterrant les pierres (non activé),Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
29,Professeur Stephen,Pourquoi un ancien professeur de l'Académie nationale des sciences apparaît-il dans ces terres sauvages ?,Apprentissage de qualité1,Il a 4% de chance de trouver des minerais et des matériaux rares en déterrant les pierres,Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
30,Professeur Stephen,Pourquoi un ancien professeur de l'Académie nationale des sciences apparaît-il dans ces terres sauvages ?,Apprentissage de qualité2,Il a 6% de chance de trouver plus des minerais et des matériaux rares ainsi que des cubes spéciaux en déterrant les pierres,Les accessoires débloquées peuvent être obtenus à partir des fruits du jardin.
