id,地形名称
id,Name
-1,Tentatives
1000,Mer Peu Profond
1001,Steppe
1002,Désert
1003,Forêt
1004,Falaise
1005,Marécage
1006,Forêt de Conifères
1007,Jungle
1008,Champ de Glace
1009,Océan Gelé
1010,Rivière Gelée
1011,Terre rouge
1012,Côte de Terre Rouge
1013,Dune du Désert
1014,Colline de Forêt
1015,Colline de Forêt de Conifères
1016,Iceberg
1017,Colline de Jungle
1018,Rivière
1019,Plage
1020,Bord de Falaise
1021,Terre de Lave
1022,Île du Ciel
1023,Bassin
1024,Bord de Bassin
1025,Bassin de Bambou
1026,Bassin du Pêcher
1027,Plaine
1028,Colline
1029,Plaine de l'Autel
1030,Haute Montagne
1031,Collines
1032,Planète Île Céleste
1033,Planète Île Céleste
1034,Planète Île Céleste
1035,Planète Île Céleste
1036,Planète Île Céleste
1037,Planète Île Céleste
1038,Bord de l'Île Céleste
1039,Forêt Tropicale
1040,Plaine de l'Île Céleste
1041,Île Céleste de la Prairie
1042,Pic Principal Volcanique
1043,Plaine Volcanique
1044,Chaîne de Montagnes Volcaniques
1045,Rivière de Lave Volcanique
1046,Cratère Volcanique
1047,Oasis du Désert
1048,Lac du Désert
1049,Mer Profonde
1050,Côte de l'Île Déserte
1051,Centre de l'Île Déserte
1052,Côte de l'Île de Terre Rouge
1053,Centre de l'Île de Terre Rouge
1054,Côte de l'Île de Corail
1055,Centre de l'Île de Corail
1056,Forêt de conifères
1057,Pic de la montagne de neige
1058,Pic secondaire de la montagne de neige
1059,Crête de la montagne de neige
1060,Chaîne centrale de la montagne de neige
1061,Base de la montagne de neige
1062,Pic secondaire de la montagne de neige Chaîne centrale
1063,Lac gelé
1064,Gorge
1065,Le bord du canyon.
