keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Lancement.,A 10% de chance de repousser +
5002,Lancement,A 20% de chance de faire reculer +
5003,Lancement,A 30% de chances de repousser +
6001,Tranchant,Attaque de mêlée+
6002,Tranchant,Attaque de mêlée+
6003,Tranchant,Attaque de mêlée+
7001,Chasseur humain,Chasseur humain+
7002,Chasseur humain,Chasseur humain+
7003,Chasseur humain,Chasseur humain+
8001,Chasseur de bêtes.,Chasseur de bêtes +
8002,Chasseur de bêtes,Chasseur de bêtes+
8003,Chasseur de bêtes,Chasseur de bêtes+
9001,Chasseur d'élite,Chasseur d'élite +
9002,Elite Hunter,Elite Hunter +
9003,Chasseur d'élite,Chasseur d'élite+
10001,Brûlure,Niveau de combustion
10002,Brûlure,Niveau de combustion
10003,Brûlure,Niveau de combustion
11001,Distance de recul augmentée.,Distance de recul augmentée.
11002,Distance de recul accrue,Distance de recul augmentée
11003,Distance de recul augmentée.,Distance de recul augmentée.
12001,Chasse chanceuse,Niveau de chasse chanceux
12002,Chasse chanceuse,Niveau de chasse chanceux
12003,Chasse chanceuse,Niveau de chasse chanceux
13001,Tir puissant,Dégâts d'arc et de flèche+
13002,Tir puissant,Dégâts d'arc et de flèche+
13003,Tir puissant,Dégâts d'arc et de flèche+
14001,Prise de vue illimitée,Prise de vue illimitée
14002,Prise de vue illimitée,Prise de vue illimitée
14003,Prise de vue illimitée,Prise de vue illimitée
15001,Durabilité,Durabilité+
15002,Durabilité,Durabilité+
15003,Durabilité,Durabilité+
16001,Résistance au corps à corps,Résistance au corps à corps+
16002,Résistance au corps à corps,Résistance au corps à corps+
16003,Résistance au corps à corps,Résistance au corps à corps+
17001,Résistance à distance,Résistance à distance+
17002,Résistance à distance,Résistance à distance+
17003,Résistance à distance,Résistance à distance+
18001,Résistance aux explosions,Résistance aux explosions+
18002,Résistance aux explosions,Résistance aux explosions+
18003,Résistance aux explosions,Résistance aux explosions+
19001,Résistance aux brûlures,Résistance à la brûlure+
19002,Résistance aux brûlures,Résistance à la brûlure+
19003,Résistance aux brûlures,Résistance à la brûlure+
20001,Résistance au poison,Résistance aux poisons+
20002,Résistance au poison,Résistance aux poisons+
20003,Résistance au poison,Résistance aux poisons+
21001,Résistance au chaos,Résistance au chaos+
21002,Résistance au chaos,Résistance au chaos+
21003,Résistance au chaos,Résistance au chaos+
22001,contre-attaque.,A une chance de 15% de contre-attaquer les unités de mêlée +
22002,Contre-attaque.,A une chance de 30% de contre-attaquer les unités en mêlée +
22003,Counterstrike,A une chance de contre-attaquer de 45% contre les unités de mêlée +
23001,La distance de recul est diminuée.,La distance de recul est réduite
23002,La distance de recul est diminuée.,La distance de recul est réduite
23003,La distance de repoussement est réduite.,La distance de recul est réduite
24001,Acquisition complète,Acquisition complète
24002,Acquisition complète,Acquisition complète
24003,Acquisition complète,Acquisition complète
25001,Vitesse d'extraction,Vitesse d'extraction +
25002,+ Vitesse d'extraction,Vitesse d'extraction +
25003,Vitesse d'extraction,Vitesse d'extraction +
26001,Lucky Digging,Niveau de creusement chanceux
26002,Lucky Digging,Niveau de creusement chanceux
26003,Lucky Digging,Niveau de creusement chanceux
27001,Tir explosif,Blast Shot+
27002,Tir explosif,Blast Shot+
27003,Tir explosif,Blast Shot+
28001,La chute du dragon,Dommages chute-
28002,La chute du dragon,Dommages chute-
28003,La chute du dragon,Dommages chute-
29001,Bouffon lanceur,Lance-Gobelins+
29002,Bouffon lanceur,Lance-Gobelins+
29003,Bouffon lanceur,Lance-Gobelins+
30001,Descente (Greaves),"Accroupi en l'air, vitesse de chute +"
30002,Descente (Greaves),"Accroupi en l'air, vitesse de chute +"
30003,Descente (Greaves),"Accroupi en l'air, vitesse de chute +"
31001,Escalade de mur (chaussures),"Activer l'escalade de murs, mais la vitesse"
31002,Escalade de mur (chaussures),"Activer l'escalade de murs, mais la vitesse"
31003,Escalade de mur (chaussures),"Activer l'escalade de murs, mais la vitesse"
32001,Saigner,Niveau de saignement
32002,Saigner,Niveau de saignement
32003,Saigner,Niveau de saignement
33001,Fouet de foudre,Fouet de foudre Lvl 1
33002,Fouet de foudre,Foudre Lvl 2
33003,Fouet de foudre,Fouet foudroyant Lvl 3
34003,Fouet de foudre,Fouet de foudre Lvl 4
35003,Fouet de foudre,Foudre Lvl 5
36001,Pêche chanceuse,Niveau de pêche chanceux
36002,Pêche chanceuse,Niveau de pêche chanceux
36003,Pêche chanceuse,Niveau de pêche chanceux
37001,Résistant au froid,Résistant au froid+
37002,Résistant au froid,Résistant au froid+
37003,Résistant au froid,Résistant au froid+
38001,Résistance au gel,Résistance au gel+
38002,Résistance au gel,Résistance au gel+
