ID,名字,描述
ID,Name,Desc
1,Bébé monture,Peut donner naissance à un bébé monture au bout d'une période de temps sur la carte. Le bébé sera envoyé à d'autres joueurs dans la salle.
2,Course,La vitesse de mouvement augmente de 30% durant la recharge.
3,Marche sur l'eau,"Marcher rapidement sur la surface de l'eau, mais impossible d'y faire des sauts."
4,Super sauts,Capacité de saut supérieure
5,Planer,Peut voler et planer dans les airs
6,Marche sur le magma,Peut marcher sur le magma
7,Précipitation,Appuyez sur la touche Sauter après avoir sauté pour avancer rapidement.
9,Double monture,Peut transporter deux cavaliers. Invitez un amis à chevaucher avec vous.
10,Saut d'air,"Sauter librement dans les airs, mais cela vous fera chuter plus rapidement que jamais."
11,Tenace,Avoir plus de points de santé
12,Flotte,Flotter sur l'eau
13,Se plonger,Plonger dans l'eau
14,se ruer,"Appuyez sur le bouton de saut lorsque vous êtes dans l'eau, relâchez la compétence de précipitation pour foncer dans la direction actuelle"
15,Robots Attack,Sprint and hit forward
16,Fusion Cannon,Fire the Cannon in straight lines
17,Bumblebee Slash,Sprint for a while
18,descente en piqué,Appuyez longuement sur saut au pouvoir accumuler. Il décélérer la créature avant quand il atterrit.
19,Intimider,Appuyez longuement sur saut au pouvoir accumuler. Il repousser l'avance de créature à une courte distance quand il atterrit.
20,Flotte,Flotter dans l'air et se déplacer sur une courte distance. Ne perdre HP quand il tombe.
21,Voler,Voler sur une distance dans l'air. Ne perdre HP quand il tombe.
22,Double monture,Peut transporter deux cavaliers. Invitez un amis à chevaucher avec vous.
23,Bouclier d'énergie,Générer un bouclier d'énergie pour vous protéger et vos amis.
24,Monocorps,Peut porter un cavalier
25,Air Alert,Voler sur une distance dans l'air. Ne perdre HP quand il tombe.
26,Red Lightening,Sprint for a while
27,Fusion Laser,Fire the Cannon in straight lines
28,Inferno feu,"Cliquez sur [Attaque] pour tirer sur la flamme, infligeant un mordu de brûlure sur la créature devant vous"
29,Feu Ghost,"Cliquez sur [Attaque] pour tirer sur la flamme, infligeant un mordu de brûlure sur la créature devant vous"
30,flutter Wing,Appuyez longuement sur [Aller] pour voler une courte distance. Vous ne perdrez pas HP lorsque vous tombez
31,Étaler Wing,Appuyez longuement sur [Aller] pour voler sur une longue distance. Vous ne perdrez pas HP lorsque vous tombez
32,dragon Roar,Cliquez pour rugir. Ralentir la créature devant vous
33,Swift Wing,Appui long saut à voler sur une courte distance. Ne perdre HP en cas de chute
34,os de balayage,"Cliquer attaque pour serrer la queue, ce qui provoque des dommages à 3 créatures dans la zone arrière en forme d'éventail"
35,Lumière des étoiles,"Tirer vers le haut les étoiles pour l'éclairage, 15 CD."
36,Clair de lune,Appui long saut à voler sur une courte distance. Ne perdre HP en cas de chute
37,Dépêchez-vous,Courir vite vers l'avant pendant un certain temps
38,Double monture,Peut transporter deux cavaliers. Invitez un amis à chevaucher avec vous.
39,Au-dessus de la neige,Étape sur la neige et promenade dans l'air. Ne perdre HP en cas de chute
40,Tuk Tuk Charge,vous permet d'utiliser les klaxons et flash les feux avant de la voiture
41,Great Harvest,"Lorsque l'utilisation, des lingots et des pièces de jeter dans les environs."
42,4 Man transport,Peut transporter jusqu'à 4 joueurs
43,espace chaîne,"Peut maintenir le temps de vol pour une distance de jeu, la chute ne causera aucun dommage à l'automne."
44,Léviathan île,Peut plonger dans l'eau
45,La force du taureau,Appuyez longuement sur saut au pouvoir accumuler. Il décélérer la créature avant quand il atterrit.
46,Frappe du Taureau,Appuyez longuement sur saut au pouvoir accumuler. Il repousser l'avance de créature à une courte distance quand il atterrit.
47,Blossom Fluttering,"Peut glisser dans l'air pendant une certaine distance, ne sera pas obtenir des dommages en tombant"
48,Swan Scattering,"Peut glisser dans l'air pendant une certaine distance, ne sera pas obtenir des dommages en tombant"
49,feuille de danse,"Lorsqu'il est utilisé, active feuilles flottantes effet"
50,Sun Wheel,Utilisez pour obtenir un bouclier qui absorbe 20 points de dégâts
51,Ray de Dieu,Utiliser pour augmenter les dégâts des joueurs de 5%
52,Feux d'artifice magique,"Après la charge, déclenchement lorsque la terre après le saut, feu d'artifice va tirer sur et monter autour de la musique sera jouée"
