接口ID,法语,法语,法语,法语,法语,法语,法语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Jeu,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,La fin du jeu,local result = Game:doGameEnd()
10002,Jeu,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,Définir l'attribut pour la coutume du script,"local result = Game:setScriptVar(index, val)"
10003,Jeu,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",Recevoir attribut de script pour personnalisés,local result = Game:getScriptVar(index)
10004,Jeu,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Téléchargez l'attribut du script,local result = Game:sendScriptVars2Client()
10005,Jeu,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",Nouvel effet global,local result = Game:addRenderGlobalEffect(path)
10006,Jeu,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,effet global Effacer,local result = Game:removeRenderGlobalEffect(effectid)
10007,Jeu,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Régler la position de l'effet global,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Jeu,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Définition de l'effet de zoom global,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Jeu,msgBox,Game:msgBox(msg),,,messagerie,local result = Game:msgBox(msg)
20001,Monde,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Que ce soit le jour,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,Monde,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Que ce soit personnaliser jeu,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,Monde,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Que ce soit le mode de création,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
