购买ID,道具ID,法语
ProductID,ID,Desc
1,24601,Utilisation après l'achat: Peut utiliser la plupart des Skins personnalisés bricolage pour 30 jours
4,12856,Utiliser après l'achat: Renommer une fois
8,12965,Contient 3 parchemins qui peuvent vous transporter directement vers votre maison. Très pratique.
13,10025,"Contient 3 billets qui peuvent être utilisés instantanément téléporter à l'emplacement de la maison de la planète actuelle, ce qui est très pratique"
10,1055,"Small Code Case, entrez le code correct que l'hôte a défini pour s'ouvrir."
11,1056,"Big Code Case, saisissez le code correct que l'hôte a défini pour s'ouvrir."
5,845,"Dédié au propriétaire de la maison.
Très dur. Anti-ours."
6,846,"Dédié au propriétaire de la maison.
Grand et solide. Anti-ours."
2,12751,"Après utilisation, tirez un feu d'artifice avec un motif de gashapon dans le ciel (achat et obtenez #c0aaa1a GASHAPON Ticket * 1 #n)"
3,12752,"Après utilisation, tirez un feu d'artifice avec un motif de fruits dans le ciel (achat et obtenez un ticket d'événement #c0aaa1a * 1 #n)"
7,12831,Tirez des feux d'artifice dans le ciel pour obtenir de l'EXP !
9,12750,"Peut tirer des feux d'artifice à motifs de sourire dans le ciel.
(Obtenez 300 #c5aea0aMini Beans # n pour tout achat)"
12,10023,"Après utilisation, vous pouvez obtenir des points la saison Passe"
