ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,Placez le fruit sacré,"Placez @item_587#@1 sur le piédestal de la vie #r (""Sacred Fruit"" représente la technologie de modification génétique la plus brillante jamais réalisée par ""The Past"".)",Placer @item_587 sur la Pierre de Vie
1001002,Placez l'épée brisée enflammée,"Placez @item_588#@1 sur la Pierre du Courage #r (""Flame Broken Sword"" représente le symbole de la coopération à long terme entre ""The Former"" et ""Black Dragon"".)",Placer @item_588 sur la Pierre du Courage
1001003,Mettre l'oeil de l'homme de pierre,"Placez @item_589#@1 sur la Pierre de Sagesse #r (""L'Œil de l'Homme de Pierre"" représente l'intelligence artificielle dont ""Le Vieil Homme"" était autrefois fier.)",Placez @item_589#sur la Pierre de Sagesse
1001004,Battle Void Phantom!,"Vaincre le Fantôme du Vide! #r (Il n'y a pas de retour en arrière, pour le mini univers!)",Vaincre le fantôme du vide!
1001005,Contacter le vide,Get @item_11333 ##r (C'est... un nouveau départ?...),Obtenez @item_11333 #
1002001,Retour à Mira,"Enfin, ils sont arrivés sains et saufs sur la planète. #r mais quand ils ont franchi le blocus de la chaîne des étoiles, toute l'équipe a été éclatée. Je ne sais pas s'il y a d'autres partenaires qui sont arrivés sur la planète?",Arrivée à Mira
1002002,J'ai besoin de pierres,"Collect @item_110#Get @item_11627#@1 #r (appuyez longuement sur la pierre pour collecter, vous pouvez également ouvrir le panneau de configuration, traiter @item_104#get @item_11627#sur l'interface de traitement)",Capture @item_110#Capture @item_11627#@1
1002003,Plus de matériel,"Collectez des branches pour obtenir @item_11006#@1#r (appuyez longuement sur les branches pour collecter, certaines branches d'arbres poussent dans un endroit relativement élevé, de quelle manière pouvez-vous vous pousser vers le haut)",Obtenez @item_11006#@1 de l'arbre
1002004,Commencez une bonne vie ~,Utilisez @item_11627#et @item_11006#pour traiter @item_11002#@1#r (des outils pratiques peuvent collecter des ressources plus rapidement),Ouvrir l'usinage du panneau de commande @item_11002#@1
1002005,bûcheron,"Portable @item_11002#, collectionnez les malles! Obtenez @item_11323#@1#r (@item_11323#est crucial pour le voyage à venir)",Collection d'arbres à couper @item_11323#@1
1002006,Expert en construction,"Utilisez @item_11323#pour traiter @item_206#@1 #r (sauf @item_206 #, la plupart des accessoires en bois doivent utiliser @item_11323 #, vous pouvez en collecter plus)",Usinage @item_206#@1
1002007,Lieu de vie,"Place @item_206#@1 #r (il semble y avoir une maison cassée près de la gare des étoiles qui vient de venir, peut-être qu'elle peut être réparée avec @item_206 #, donc vous n'avez pas à vous soucier de vivre)",Place @item_206#@1
1002008,Arm Yourself,"Use @item_11323# and @item_11627# to craft @item_12012#@1#r (Surviving in the wilderness can be dangerous, so having a handy weapon is essential!)",Craft @item_12012#@1
1002009,Fais-le!,Vaincre n'importe quelle créature @1 #r (La meilleure défense est l'attaque? Essayez l'arme fraîchement fabriquée. Qu'est-ce que ça fait),Vaincre n'importe quelle créature @1
1002010,Lumière dans le noir!,"Utilisez @item_11006#et @item_11226#pour traiter @item_298#@1#r (Remarque! La petite torche a une durée de combustion limitée et doit être rallumée si elle est éteinte, mais il n'y a absolument aucun problème à agir comme un outil d'éclairage temporaire)",Usinage @item_298#@1
1002011,feu de joie,"Utilisez @item_298#pour allumer @item_1200#@1 #r (il peut y avoir des @item_1200#prêts à l'emploi dans la maison brisée près de la station stellaire, ou vous pouvez en traiter un vous-même.)",Allumer @item_1200#@1
1002012,Artisan,"Utilisez @item_11323#et @item_11627#pour traiter @item_800#@1 #r (table d'artisan, un must pour le voyage et la maison! Wow ~ peut traiter plus d'articles)",Usinage @item_800#@1
1002013,Un must pour la survie,"Utilisez @item_12600#et @item_11226#pour traiter @item_828#@1 #r (vous devez utiliser @item_800#lors du traitement. Après le traitement, n'oubliez pas de mettre @item_828#dans un endroit sûr, s'il y a une menace à proximité, vous ne pouvez pas dormir!)",Usinage @item_828#@1
1002014,Bon repos,"Utilisez @item_828#pour dormir #r (cliquez sur @item_828#pour vous allonger, mais vous ne pouvez pas dormir pendant la journée, vous devez attendre la nuit. La nuit sur Mira commence à 20 : 00, faites attention à l'heure)",Cliquez sur le @item_828#sleep placé
1003001,"BBQ, parfumé!","Mettez @item_12513#sur le feu de camp et obtenez @item_12514#@1 #r (la plupart de la viande laissée tomber par les animaux peut être rôtie, et il est également très dangereux de manger de la viande crue directement dans la nature, veuillez la rôtir avant de manger!)",Utilisez @item_1200#pour obtenir @item_12514#@1
1003002,Conquis par le barbecue,Mangez un peu @item_12514#retrouvez vos forces @1 #r (sentez-vous plein de force après avoir mangé!),Nourriture @item_12514#@1
1003003,némésis minéral,"Traitement de @item_11012##r avec @item_11627#et @item_11006#(avec @item_11012#pour collecter les minéraux plus rapidement, l'exploitation minière les mains vides est trop douloureuse!)",Usinage @item_11012#@1
1003004,Une nouvelle énergie?,"Tenez @item_11012#dig @item_402#get @item_11201#@1 #r (@item_11201#est le combustible de fusion le plus courant sur Myra, à la fois au-dessus et au-dessous du sol, n'oubliez pas de faire attention.)",Capture @item_402#@1
1003005,De nouveaux minéraux!,"Handheld @item_11012#digging @item_451#@1 #r (@item_451#est largement diffusé sur Myra, et il y a beaucoup de production au-dessus et en dessous du sol)",Capture @item_451#@1
1003006,Processeur de table de fusion,"Utilisez @item_11226#et @item_101#pour traiter @item_802#@1 #r (avec @item_802#vous pouvez fondre du métal, il est temps de mettre à niveau l'outil à l'heure)",Usinage @item_802#@1
1003007,Fusion de métaux : laiton,Utilisez du carburant pour faire fondre @item_451#dans @item_802#afin de raffiner @item_11329#@1#r (@item_11329#est un métal très basique avec une grande variété d'utilisations. Il peut être utilisé pour améliorer les outils afin d'améliorer l'efficacité),Faites fondre pour obtenir @item_11329#@1
1003008,Des outils plus pratiques,"Utilisez @item_11329#et @item_11006#pour traiter @item_11011#@1#r (vous devez utiliser @item_800#lors du traitement. Avec @item_11011#, la vitesse d'extraction ne peut pas être la même!)",Usinage @item_11011#@1
1003009,La première leçon de survie dans la nature,"Terminez toutes les tâches dans l'objectif ""Nouvel explorateur"". #r (J'ai appris les moyens de survie les plus élémentaires dans la nature, il est temps de tirer des inférences les uns des autres. Les astuces du fantôme du vide n'ont pas été brisées, alors travaillez plus dur!)",Terminer toutes les missions de l'objectif Nouvel explorateur
1004001,Le début de l'agriculture,"Utilisez @item_11627#et @item_11006#pour traiter @item_11032#@1#r (avec lui, vous pouvez cultiver des terres agricoles)",Usinage @item_11032#@1
1004002,Mise en culture des terres arables,"Handheld @item_11032#use @item_100#or @item_101#to make it into cultivated land @1 #r (PC end aligns with the square and long press the right button, mobile end long press the square to cultivated land)",Portable @item_11032#Culture @1
1004003,Grain King,Semez @item_11400#sur @item_102#@1 #r (maintenez @item_11400#et cliquez sur @item_102#pour planter),Semis @item_11400#@1
1004004,fertilisation,"Utiliser @item_11311#@1 sur les cultures #r (@item_11311#peut accélérer la croissance de la plupart des plantes, mais toutes les fertilisations ne peuvent pas réussir...)",Utilisez @item_11311#@1 sur les cultures
1004005,Grande récolte!,Récolte mûre @item_229#@1 #r (la première récolte est toujours inoubliable),Récolte @item_229#@1
