ID,描述
ID,Desc
1000,Météo
1001,Région
1002,Emplacement
1003,Orientation
1004,Vue
1005,Valeur
1006,Composant de coordonnées
1007,Unité de mesure d'angle
1008,Logarithme à base fixe
1009,Conversion d'entier
1010,Chaîne de caractères
1011,Type de dommage
1012,Oui Non
1013,Basculer
1014,Valeur booléenne
1015,Max. et min.
1016,Opérateur de comparaison
1017,Opérateur mathématique
1018,Joueur
1019,Ensemble de joueur
1020,Attributs du joueur
1021,Statut de mouvement
1022,Réglage du joueur
1023,Équipe
1024,Attributs d'équipe
1025,Type de bloc
1026,Blocage
1027,Article
1028,Type d'élément
1029,Type de projectile
1030,Lacher un objet
1031,Créature
1032,Type de créature
1033,Ensemble de créatures
1034,Statut de mouvement de créature
1035,Attribut de créature
1036,Réglage de la créature
1037,Statut
1038,Déclencheur
1039,Trigger Set
1040,Minuteur
1041,Emoji
1042,Variable privée
1043,Trigonométrique
1044,Projectile
1045,Type d'effet spécial
1046,Effet sonore
1047,Direction
1048,Objet
1049,Ton
1050,Scénario
1051,Clé
1052,Barre de raccourcis
1053,Valeur aléatoire
1054,Equip Bar
1055,Équipé de type
1056,Couleur
1057,affichage infos
1058,Afficher info type
1059,Produit
1060,Type d'apparence
1061,tout groupe
1062,groupe Emplacement
1063,groupe régional
1064,groupe numérique
1065,groupe String
1066,Groupe booléen
1067,Type de bloc Groupe
1068,Type d'article Groupe
1069,Créature Type de groupe
1070,Groupe minuterie
1071,Effet spécial Type de groupe
1072,Sorte
1073,Lien vidéo
1074,Interface
1075,Composant
1076,Modèle d'image
1077,Mode de mouvement
1078,Unité de temps
1079,Statut de page
1080,Musique
1081,Pause CV
1082,Fenêtre d'affichage
1083,Objet global
1084,Classement
1085,Table
1086,Mode de lecture
1101,Spécifier la page
1137,Groupe Terrain
